rule_id,module_id,layer,tariff_id,rule_type,valid_from,valid_to,condition,action,status,source_ids,notes
RULE-B04-A1-THRESHOLD,B04,REGULATED_RESIDENTIAL_ELECTRICITY,A1,threshold,2026-03-01,,meter and use location annual allocation,Apply 2523 kWh discounted cap then higher price to excess,OBS,SRC-B04-MVM-M1-2026;SRC-B04-MVM-H-FAQ-2026,Annual window is Aug 1-Jul 31 and is prorated.
RULE-B04-H-SEASON,B04,H_TARIFF,H,season,2026-03-01,,date between October 15 and April 15 inclusive,Apply H heating-season price,OBS,SRC-B04-MVM-H-FAQ-2026;SRC-B04-MVM-M1-2026,Outside season use A1 higher rate.
RULE-B04-H-ELIGIBILITY,B04,H_TARIFF,H,eligibility,2026-03-01,,heat pump or renewable heat device and seasonal factor >=3.4 and dedicated measured circuit,Allow H tariff only for directly serving eligible loads,OBS,SRC-B04-MVM-H-FAQ-2026;SRC-B04-MVM-M1-2026,Separate permanently connected circuit; not plug-in.
RULE-B04-H-BATTERY-FAIL-CLOSED,B04,H_TARIFF,H,load_scope,2026-03-01,,battery charging or export is not explicitly proven,Do not assign H tariff; retain Q,Q,SRC-B04-MVM-H-FAQ-2026;SRC-B04-MVM-TARIFF-OVERVIEW-2026,No automatic battery/VPP use.
RULE-B04-H-BATTERY-CHARGE-GATE,B04,H_TARIFF,H,battery_charge_authorization,2026-08-24,,H_TARIFF_BATTERY_CHARGE_ALLOWED requires current explicit legal and metering evidence for the actual topology,Do not price or dispatch battery charge on H; retain Q when evidence is absent,Q,SRC-B04-NJT-H-TARIFF-2026;SRC-B04-MVM-H-FAQ-2026;SRC-B04-MVM-HALOZAT-H-DATA-2026,"Snapshot applicability 2026-08-24. H-only dedicated circuit is limited by source to eligible heat-pump/direct auxiliary loads; normal/A1-only, H-side battery and hybrid/common-bus configurations are not interchangeable."
RULE-B04-H-BATTERY-DISCHARGE-GATE,B04,H_TARIFF,H,battery_discharge_authorization,2026-08-24,,H_TARIFF_BATTERY_DISCHARGE_ALLOWED requires current explicit legal and metering evidence for discharge into or through H,Do not let physical battery discharge create H-tariff or cross-meter eligibility; retain Q,Q,SRC-B04-NJT-H-TARIFF-2026;SRC-B04-MVM-H-FAQ-2026;SRC-B04-MVM-HALOZAT-H-DATA-2026,"Snapshot applicability 2026-08-24. Charge and discharge are separate gates; physical capability is not a legal status."
RULE-B04-H-EXPORT-GATE,B04,H_TARIFF,H,export_authorization,2026-08-24,,H_TARIFF_EXPORT_ALLOWED requires explicit H/DSO/HMKE evidence for the actual POD and wiring,Do not permit H-side or H-charged-battery export; retain Q,Q,SRC-B04-NJT-H-TARIFF-2026;SRC-B04-MEKH-HMKE-EXPORT-2026;SRC-B04-MVM-H-FAQ-2026,"Snapshot applicability 2026-08-24. Export is a distinct gate from charge and discharge; HMKE portal evidence is procedural and not an H-battery authorization."
RULE-B04-H-TOPOLOGY-H-ONLY-DEDICATED,B04,H_TARIFF,H,topology_boundary,2026-08-24,,separate permanently connected non-plugged H circuit serving eligible heat-pump/renewable-heat equipment and direct auxiliaries,Apply H only to the evidenced eligible load scope,OBS,SRC-B04-NJT-H-TARIFF-2026;SRC-B04-MVM-H-FAQ-2026,"Current legal/customer wording proves this boundary; it does not classify an energy storage device."
RULE-B04-H-TOPOLOGY-NORMAL-A1,B04,H_TARIFF,H,topology_boundary,2026-08-24,,normal/A1 household circuit is not the H dedicated circuit,Do not transfer H eligibility to normal/A1 battery flows,Q,SRC-B04-NJT-H-TARIFF-2026;SRC-B04-MVM-H-FAQ-2026,"Boundary distinction only; no separate battery tariff permission is inferred."
RULE-B04-H-TOPOLOGY-BATTERY-NORMAL-ONLY,B04,H_TARIFF,H,topology_boundary,2026-08-24,,battery connected only on normal/A1 side,Route battery to normal/A1 contract inputs; do not label it H,Q,SRC-B04-NJT-H-TARIFF-2026;SRC-B04-MVM-H-FAQ-2026,"Model topology is distinct from H-side wiring; tariff/legal status of the battery remains outside this evidence."
RULE-B04-H-TOPOLOGY-BATTERY-H-SIDE,B04,H_TARIFF,H,topology_boundary,2026-08-24,,battery physically connected to H-side circuit,Block H battery charge/discharge assignment until explicit current authority is supplied,Q,SRC-B04-NJT-H-TARIFF-2026;SRC-B04-MVM-HALOZAT-H-DATA-2026,"No explicit source authorization; fail closed."
RULE-B04-H-TOPOLOGY-HYBRID-COMMON-BUS,B04,H_TARIFF,H,topology_boundary,2026-08-24,,hybrid inverter or common AC bus can couple H and normal/A1 paths,Block tariff assignment and cross-meter dispatch until wiring and authority are explicit,Q,SRC-B04-NJT-H-TARIFF-2026;SRC-B04-MVM-H-FAQ-2026,"Physical possibility does not establish contractual permission."
RULE-B04-H-TOPOLOGY-HMKE-EXPORT,B04,H_TARIFF,H,topology_boundary,2026-08-24,,HMKE/inverter/export-capable connection,Require POD-specific DSO/MGT evidence; do not infer H export permission,Q,SRC-B04-MEKH-HMKE-EXPORT-2026;SRC-B04-MVM-H-FAQ-2026,"MEKH portal describes a POD/DSO process, not a blanket H-tariff export rule."
RULE-B04-HMKE-CONNECTION,B04,H_TARIFF,H,HMKE,2026-03-01,,HMKE connection,Do not infer B/H use on the same connection,OBS,SRC-B04-MVM-TARIFF-OVERVIEW-2026,PV/HMKE restriction is separate from battery economics.
RULE-B04-DYNAMIC-AVAILABILITY,B04,DYNAMIC_ELECTRICITY,DYNAMIC,availability,2026-08-22,,household product and legal measurement not evidenced,Keep dynamic price Q and do not use HUPX wholesale as retail,Q,SRC-B04-HUPX-DATA-2026,Wholesale spot is not a household tariff.
