source_token,source_occurrence_count,residual_class,admission_status,required_authority,notes
Ács-Jegespuszta,1,SPECIAL_OR_MIXED_GRAIN,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_GRAIN_OR_USAGE_LOCATION_AUTHORITY,"P49 already classifies this source form among special/mixed administrative grains; P51 does not promote it to whole-settlement membership."
Dunakilti,1,STANDALONE_NONEXACT_IDENTITY,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_SPECIFIC_CANONICAL_AUTHORITY,"Current M1 standalone source form was not admitted by the P49 exact KSH identity path and is outside the P50 30-edge spelling set."
Ferőhomok,1,STANDALONE_NONEXACT_IDENTITY,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_SPECIFIC_CANONICAL_AUTHORITY,"Current M1 standalone source form was not admitted by the P49 exact KSH identity path and is outside the P50 30-edge spelling set."
Fertőújlak,1,STANDALONE_NONEXACT_IDENTITY,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_SPECIFIC_CANONICAL_AUTHORITY,"Current M1 standalone source form was not admitted by the P49 exact KSH identity path and is outside the P50 30-edge spelling set."
Gánt Vérteskozma,1,SPECIAL_OR_MIXED_GRAIN,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_GRAIN_OR_USAGE_LOCATION_AUTHORITY,"P49 already classifies this source form among special/mixed administrative grains; P51 does not promote it to whole-settlement membership."
Iklóbördöce,1,STANDALONE_NONEXACT_IDENTITY,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_SPECIFIC_CANONICAL_AUTHORITY,"Current M1 standalone source form was not admitted by the P49 exact KSH identity path and is outside the P50 30-edge spelling set."
Isztimér-Királysz.,1,SPECIAL_OR_MIXED_GRAIN,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_GRAIN_OR_USAGE_LOCATION_AUTHORITY,"P49 already classifies this source form among special/mixed administrative grains; P51 does not expand the abbreviation or infer a whole-settlement identity."
Jóbháza,1,STANDALONE_NONEXACT_IDENTITY,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_SPECIFIC_CANONICAL_AUTHORITY,"Current M1 standalone source form was not admitted by the P49 exact KSH identity path and is outside the P50 30-edge spelling set."
Kajérpéc,1,STANDALONE_NONEXACT_IDENTITY,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_SPECIFIC_CANONICAL_AUTHORITY,"Current M1 standalone source form was not admitted by the P49 exact KSH identity path and is outside the P50 30-edge spelling set."
Kecséd,1,STANDALONE_NONEXACT_IDENTITY,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_SPECIFIC_CANONICAL_AUTHORITY,"Current M1 standalone source form was not admitted by the P49 exact KSH identity path and is outside the P50 30-edge spelling set."
Kerkateskánd-hegy,1,SPECIAL_OR_MIXED_GRAIN,UNRESOLVED_AUTHORITY_REQUIRED,IDENTITY_GRAIN_OR_USAGE_LOCATION_AUTHORITY,"P49 already classifies this source form among special/mixed administrative grains; suffix stripping is not authorized."
