item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P97-T01,CURRENT_STANDARD_ZONE_SET,QUALIFIED_SET_VALUED_INPUT,-12,-10,degC,POL/DER/SCN,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026;B02-P86;B02-P97,NATIONAL_REFERENCE_PROGRAMME_DESIGN_LOAD,EXACT_SETTLEMENT_ZONE;PROJECT_DESIGN_AUTHORITY,,"Full current F1 baseline zone set is preserved as {-12,-11,-10} C with no midpoint or prevalence assumption."
B02-P97-T02,CURRENT_STANDARD_ZONE_VALUES,QUALIFIED_ENUMERATED_SET,-12,-10,degC,POL/DER,SRC-B02-BIMLINE-MSZ24140-2026,NATIONAL_BOUNDED_PROPAGATION,NATIONAL_SINGLE_POINT,,"Current public interpretation reports exactly three baseline zone values: -12, -11 and -10 C."
B02-P97-T03,CANONICAL_WBL_LOCATION_GRAIN,QUALIFIED_NON_POINT_GRAIN,,,county+settlement_type,OBS/DER,SRC-B02-KSH-CENSUS-API-2022;B02-P78;B02-P97,NATIONAL_POPULATION_INFERENCE,EXACT_SETTLEMENT_COORDINATE,,"Canonical WBL population cells carry county and settlement type rather than exact settlement coordinates. P97 refuses false exact settlement-zone joins on this grain."
B02-P97-T04,REFERENCE_DESIGN_INDOOR_TEMPERATURE,QUALIFIED_METHOD_VALUE,20,20,degC,POL,SRC-B06-HU-ENERGY-METHOD-2023;B02-P87,NATIONAL_REFERENCE_PROGRAMME_DESIGN_LOAD,OBSERVED_HOUSEHOLD_SETPOINT,,"Current residential service reference remains 20 C; it is not a household-observed thermostat setting."
B02-P97-T05,REFERENCE_PROGRAMME_DELTA_T_ENVELOPE,MATERIALIZED_BOUNDED,30,32,K,POL/DER/SCN,B02-P86;B02-P97,NATIONAL_REFERENCE_PROGRAMME_DESIGN_LOAD,EXACT_PROJECT_DELTA_T,,"theta_i=20 C combined with theta_e set {-12,-11,-10} C yields exact set {32,31,30} K and bounded envelope 30..32 K."
B02-P97-T06,LOCATION_ONLY_DESIGN_LOAD_SPREAD,MATERIALIZED_BOUNDED,1,1.066666666667,ratio,DER/SCN,B02-P97,NATIONAL_SENSITIVITY,PROBABILITY;CONFIDENCE_INTERVAL,,"For fixed H, Q=H*DeltaT. Full baseline-zone location spread is 32/30=1.066666666667, i.e. 6.6666666667% from warmest to coldest admitted zone condition."
B02-P97-T07,FOURTEEN_STRATUM_DESIGN_TEMPERATURE_ENVELOPE,MATERIALIZED,14,14,strata,POL/DER/SCN,B02-P79;B02-P86;B02-P97,NATIONAL_REFERENCE_PROGRAMME_DESIGN_LOAD,BUILDING_AGE_TO_CLIMATE_ZONE_CAUSALITY,,"All 7 WBL periods x 2 P21 building groups carry the same current-standard zone set because no evidence links age/building group to climate zone."
B02-P97-T08,COMPLETE_LOCATION_TO_CURRENT_STANDARD_ZONE_MAPPING_REQUIRED,SUPERSEDED_FOR_NATIONAL_REFERENCE_PROGRAMME,,,state,DER/SCN,B02-P82;B02-P86;B02-P97,NATIONAL_BOUNDED_DESIGN_LOAD,CLAIM_OF_EXACT_SETTLEMENT_MAP;PROJECT_COMPLIANCE,REALIZED_LOCATION_STANDARD_ZONE_VERIFICATION_REQUIRED,"Exact settlement-zone mapping is not required to propagate bounded national design load on county+settlement-type grain. The full current-standard zone set is used instead; project-level exactness remains fail-closed."
B02-P97-T09,DESIGN_OUTDOOR_TEMPERATURE,QUALIFIED_REFERENCE_PROGRAMME_STANDARD_ZONE_ENVELOPE,-12,-10,degC,POL/DER/SCN,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026;B02-P82;B02-P86;B02-P97,NATIONAL_REFERENCE_PROGRAMME_DESIGN_LOAD,REALIZED_PROJECT_ZONE;LOCAL_COMPLIANCE_OUTSIDE_BASELINE_SCOPE,REALIZED_LOCATION_STANDARD_ZONE_VERIFICATION_REQUIRED,"National reference-programme input is now set-valued and non-blocking. P86 project-level resolver remains unchanged for exact location, altitude, small-settlement and local adjustment authority."
B02-P97-T10,REALIZED_LOCATION_STANDARD_ZONE_VERIFICATION_REQUIRED,RECORD_LEVEL_RESIDUAL,,,state,Q,B02-P86;B02-P97,PROJECT_OR_EX_POST_DESIGN_AUTHORITY,NATIONAL_REFERENCE_PROGRAMME_BLOCKER,,"Specific projects still require exact current-standard/local design authority and applicable local adjustments; P97 cannot pass a project."
B02-P97-T11,Q-B02-004,OPEN_NARROWED,,,state,Q,B02-P97,BOUNDED_PHYSICAL_RESPONSE_COMPLETION,CLAIM_OF_COMPLETE_NATIONAL_RESPONSE,"DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED","P97 removes the exact national location-zone mapping requirement from the reference-programme branch by set-valued propagation. Independent supply-temperature and fresh action-evidence residuals remain."
