item_id,legacy_blocker,current_requirement,plane,status,exact_household_data_required_for_national,record_level_exactness_preserved,notes
B02-P82-R01,WITHIN_TYPE_GEOMETRY_DISTRIBUTION_REQUIRED,DEFENSIBLE_WITHIN_ARCHETYPE_GEOMETRY_INFERENCE_REQUIRED,POPULATION_INFERENCE,REFRAMED_AS_DEFENSIBLE_INFERENCE,NO,YES,"Representative/calibrated geometry distribution with uncertainty is admissible nationally."
B02-P82-R02,COMPONENT_AREA_GEOMETRY_SURFACE_REQUIRED,DEFENSIBLE_COMPONENT_AREA_GEOMETRY_INFERENCE_REQUIRED,POPULATION_INFERENCE,REFRAMED_AS_DEFENSIBLE_INFERENCE,NO,YES,"National component areas need defensible bounded inference, not exhaustive dwelling-by-dwelling geometry."
B02-P82-R03,GEOMETRY_INVARIANCE_BY_ACTION_REQUIRED,EXPLICIT_ACTION_GEOMETRY_RULE_REQUIRED,SCENARIO_MODEL_CONTRACT,RETIRED_AS_POPULATION_EVIDENCE_BLOCKER,NO,YES,"Action geometry behavior is a transition-rule contract with sensitivity."
B02-P82-R04,CURRENT_NO_ACTION_BASELINE_U_SURFACE_REQUIRED,DEFENSIBLE_CURRENT_BASELINE_U_INFERENCE_REQUIRED,POPULATION_INFERENCE,REFRAMED_AS_DEFENSIBLE_INFERENCE,NO,YES,"Historical KEOP values remain calibration; current national U may be a bounded calibrated distribution."
B02-P82-R05,TABLE_9_1_HAS_NO_EXPLICIT_PITCHED_ROOF_ROW,PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED,SOURCE_METHOD_EVIDENCE,RETAINED_BUT_GENERALIZED,NO,YES,"Need a defensible pitched-roof post-state U bound; not necessarily an exact Table 9.1 row."
B02-P82-R06,POST_RETROFIT_VENTILATION_SURFACE_REQUIRED,DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED,POPULATION_INFERENCE,REFRAMED_AS_DEFENSIBLE_INFERENCE,NO,YES,"Representative post-retrofit ventilation distributions are admissible nationally."
B02-P82-R07,POST_RETROFIT_THERMAL_BRIDGE_SURFACE_REQUIRED,DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED,POPULATION_INFERENCE,REFRAMED_AS_DEFENSIBLE_INFERENCE,NO,YES,"A bounded thermal-bridge correction model may support national inference; hidden zero remains forbidden."
B02-P82-R08,DESIGN_OUTDOOR_TEMPERATURE_MAPPING_REQUIRED,DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED,SOURCE_METHOD_EVIDENCE,RETAINED_BUT_GENERALIZED,NO,YES,"Requires reproducible climate/location methodology rather than household microdata."
B02-P82-R09,DESIGN_INDOOR_SERVICE_CONDITION_REQUIRED,EXPLICIT_DESIGN_INDOOR_SERVICE_SCENARIO_REQUIRED,SCENARIO_MODEL_CONTRACT,RETIRED_AS_POPULATION_EVIDENCE_BLOCKER,NO,YES,"Indoor design temperature is an explicit service/design scenario, not stock prevalence."
B02-P82-R10,ACTION_TO_POST_STATE_PHYSICAL_MAPPING_REQUIRED,EXPLICIT_ACTION_TO_POST_STATE_MODEL_REQUIRED,SCENARIO_MODEL_CONTRACT,RETIRED_AS_POPULATION_EVIDENCE_BLOCKER,NO,YES,"The transition mapping may be bounded/set-valued nationally; a specific building transition remains record-level."
B02-P82-R11,NATIONAL_P65_SUPPLY_TEMPERATURE_SURFACE_REQUIRED,DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED,POPULATION_INFERENCE,REFRAMED_AS_DEFENSIBLE_INFERENCE,NO,YES,"National supply-temperature distribution may be inferred; specific P65 building decisions remain exact/fail-closed."
B02-P82-R12,FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED,FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED,POPULATION_INFERENCE,UNCHANGED_FROM_P81,NO,YES,"P81 already repaired this blocker; no further semantic change."
B02-P82-R13,Q-B02-004,Q-B02-004,STATE,OPEN_NARROWED,NO,YES,"Physical-state residuals are now evidence-plane correct. No missing physical evidence is fabricated and B05/CAPEX/emitter-room residuals remain outside this P82 repair."
