item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P95-F01,TABULA_SIMPLIFIED_FACADE_ESTIMATOR,QUALIFIED_METHOD_AUTHORITY,,,formula,DER/POL,SRC-B02-EU-TABULA-DATABASE-EVALUATION-2015,REFERENCE_PROGRAMME_FACADE_ESTIMATION,OBSERVED_FACADE_POINT,,"Official simplified method: A_facade=b+0.7*A_C_Ref with b=50/25/5 m2 for 0/1/2 attached neighbours. The report describes the procedure as suitable for plausibility control and rough assessment of large housing portfolios."
B02-P95-F02,TABULA_REFERENCE_AREA_HANDOFF,QUALIFIED_SET_VALUED_PROXY,,,m2,DER/SCN_PROXY,SRC-B02-EU-TABULA-REFERENCE-AREA-WEB;SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022;B02-P95,REFERENCE_PROGRAMME_FACADE_ESTIMATION,EXACT_A_C_REF_IDENTITY,,"TABULA A_C_Ref is conditioned reference floor area. Exact semantic identity with KEOP23 is not proven. P95 therefore preserves A_C_Ref proxy as [heated_floor_area,total_floor_area] rather than using a point equality."
B02-P95-F03,ATTACHED_NEIGHBOUR_CLASS,SET_VALUED_UNRESOLVED,0,2,count,DER/SCN_PROXY,SRC-B02-EU-TABULA-DATABASE-EVALUATION-2015;B02-P95,REFERENCE_PROGRAMME_FACADE_ESTIMATION,DETACHED_DEFAULT;INVENTED_NEIGHBOUR_PREVALENCE,,"KEOP23 synthetic geometry has no attached-neighbour field and some FAMILY_HOUSE source notes include family/row-house semantics. P95 preserves all TABULA classes 0/1/2 as a set."
B02-P95-F04,P85_BBOX_STRICT_TABULA_AUDIT,FAILED_CANONICAL_VALIDATION,2,23,types,DER,SRC-B02-EU-TABULA-DATABASE-EVALUATION-2015;B02-P85;B02-P95,MODEL_DIAGNOSTIC,CLAIM_BBOX_VALIDATED,,"Using KEOP heated floor as the closest single A_C_Ref proxy and varying only neighbour class, only 2 of 23 P85 bbox facade values overlap the TABULA estimator set. The bbox route is not certified."
B02-P95-F05,P85_BBOX_WIDENED_AREA_PROXY_AUDIT,FAILED_CANONICAL_VALIDATION,11,23,types,DER/SCN_PROXY,SRC-B02-EU-TABULA-DATABASE-EVALUATION-2015;B02-P85;B02-P95,MODEL_DIAGNOSTIC,CLAIM_BBOX_VALIDATED,,"Even after widening A_C_Ref to [heated,total] floor area and neighbour class to 0..2, only 11 of 23 bbox facade proxies overlap. This remains insufficient for canonical facade use."
B02-P95-F06,TOTAL_ENVELOPE_ESTIMATOR_QUALITY,QUALIFIED_SOURCE_QUALITY,0.40,0.80,fraction,DER,SRC-B02-EU-TABULA-DATABASE-EVALUATION-2015,ESTIMATOR_QUALITY_CONTEXT,FACADE_SPECIFIC_PM30_ERROR_BOUND,,"Source reports 40% of buildings within +/-0.1 and 80% within +/-0.3 for TOTAL envelope actual/estimated relation, with no relevant systematic deviation. P95 explicitly forbids relabelling +/-0.3 as a facade-specific uncertainty interval."
B02-P95-F07,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED,SUPERSEDED_BY_TABULA_FACADE_ESTIMATOR,,,state,DER/SCN_PROXY,B02-P95,REFERENCE_PROGRAMME_FACADE_ROUTE,CLAIM_BBOX_PASSED,,"The bbox facade route failed independent validation and is removed from the canonical reference-programme facade path. Historical P85 bbox data remain for diagnostics/provenance. No PASS is minted for the bbox proxy."
B02-P95-F08,FOURTEEN_STRATUM_TABULA_FACADE_SURFACE,MATERIALIZED_BOUNDED,38.526111111111,238.58,m2/dwelling,DER/SCN_PROXY,SRC-B02-EU-TABULA-DATABASE-EVALUATION-2015;SRC-B02-EU-TABULA-REFERENCE-AREA-WEB;B02-P79;B02-P92;B02-P95,REFERENCE_PROGRAMME_GROSS_FACADE_GEOMETRY,HOUSEHOLD_GEOMETRY;OBSERVED_NATIONAL_DISTRIBUTION,,"All 14 WBL-period x P21-building-group strata receive gross facade intervals from candidate-type TABULA estimator sets. P92 opening-share calibration is then applied to this new canonical gross facade surface."
B02-P95-F09,REFERENCE_PROGRAMME_FACADE_SPLIT_AFTER_SUPERSESSION,MATERIALIZED_BOUNDED,4.88501016703,212.071111111111,m2/dwelling,DER/SCN_PROXY,B02-P92;B02-P95,REFERENCE_PROGRAMME_OPENING_AND_NET_WALL_GEOMETRY,WINDOW_ONLY_POINT_AREA;REALIZED_PROJECT_GEOMETRY,,"Global opening proxy is 4.88501016703..26.508888888889 m2/dwelling and net-wall proxy is 29.637374678663..212.071111111111 m2/dwelling. The registry lower/upper fields span the union only; exact component bounds are preserved in the processed surface."
B02-P95-F10,POST_RETROFIT_ENVELOPE_GEOMETRY_SURFACE_REQUIRED,RESOLVED_FOR_REFERENCE_PROGRAMME_ENVELOPE_GEOMETRY_PROXY,,,state,DER/SCN_PROXY,B02-P92;B02-P93;B02-P94;B02-P95,REFERENCE_PROGRAMME_DESIGN_LOAD,REALIZED_PROJECT_GEOMETRY;HOUSEHOLD_OBSERVATION,REALIZED_ENVELOPE_GEOMETRY_VERIFICATION_REQUIRED,"Reference-programme facade/opening/net-wall, top-envelope and bottom-envelope geometry are now materialized without the failed bbox route. Realized/project geometry remains separately evidence-gated."
