question_id,module_id,priority,current_status,reaudit_classification,global_blocker,consolidated_track,immediate_action,reason
Q-B01-001,B01,CRITICAL,OPEN,DEPENDENCY_AFTER_UPSTREAM,yes,B01_TARGET_STOCK,"Continue after Q-B02-001 and legal/programme eligibility binding","Technical target-stock inference must exist before legal/programme eligibility can define a defensible programme ceiling."
Q-B01-002,B01,HIGH,OPEN,CONTRACT_FROM_EXISTING,no,GEOGRAPHY_DUAL_GRAIN,"Resolve as dual-grain architecture: county/statistical population grain plus DSO/network grain with explicit handoff mapping","B08-P3 and B09-P3 prove national control-area modelling does not require regional data; B10 already has operational DSO service-area authority. One universal geography is not required."
Q-B08-001,B08,HIGH,OPEN,ACTIVE_EXTERNAL_ACQUISITION,yes,ENTSOE_NUMERIC_ACQUISITION,"Acquire real A65 Hungarian control-area panel with source-specific model-use authority and complete provenance","Source family, grain, time and parser contract are already fixed; remaining national gap is numeric acquisition/use authority, not regionalisation."
Q-B09-001,B09,HIGH,OPEN,ACTIVE_EXTERNAL_ACQUISITION,yes,ENTSOE_NUMERIC_ACQUISITION,"Acquire real A75 Hungarian control-area panel plus expected production-type manifest, use authority and provenance","Regional generation is no longer a national-baseline prerequisite after B09-P3."
Q-B02-001,B02,CRITICAL,OPEN,ACTIVE_EXISTING_COMPUTE,yes,B02_ELIGIBILITY_INFERENCE,"Build bounded national terminal technical PASS/FAIL inference from existing transition gates and population controls","B02-P61 explicitly states Q-B02-004 is not an aggregate eligibility prerequisite. The remaining blocker is a defensible population inference over terminal transition outcomes."
Q-B02-004,B02,CRITICAL,OPEN,ACTIVE_EXISTING_THEN_EXTERNAL,yes,B02_PHYSICAL_RESPONSE,"Continue bounded physical-state/action-response materialisation; search only residual geometry/ventilation/thermal-bridge/supply-temperature/action-frequency gaps","P83 already materialises the reference-retrofit surface. The question now blocks programme response/COP/CAPEX uncertainty, not aggregate technical eligibility."
Q-B03-001,B03,CRITICAL,OPEN,ACTIVE_EXTERNAL_MARKET,yes,TTF_MARKET_DATA,"Acquire current/licensed TTF spot-forward evidence and long-run scenario authority","Cannot be reconstructed from repository physics; needed for gas-price and exposure economics."
Q-B03-002,B03,CRITICAL,OPEN,ACTIVE_EXTERNAL_MARKET,yes,TTF_MARKET_DATA,"Establish reproducible licensed EEX/ICE data channel, latency, product and snapshot rules","Product semantics exist but no admissible numeric market feed."
Q-B03-003,B03,HIGH,OPEN,ACTIVE_EXTERNAL_MARKET,yes,GAS_FINAL_PRICE_BRIDGE,"Collect current commodity/network/storage/margin/tax authorities","Needed for market-residential final-price decomposition; separate from regulated tariff."
Q-B03-004,B03,CRITICAL,OPEN,ACTIVE_EXTERNAL_MARKET,yes,TTF_MARKET_DATA,"Capture licensed historical/forward numeric export with checksum lineage","Source gate exists; local admissible numeric export remains absent."
Q-B03-006,B03,HIGH,OPEN,ACTIVE_EXTERNAL_MARKET,yes,GAS_FINAL_PRICE_BRIDGE,"Complete current Hungarian market-residential component bridge","Missing component keeps final price Q."
Q-B04-001,B04,CRITICAL,OPEN,ACTIVE_EXTERNAL_LEGAL,yes,H_TARIFF_BATTERY_LEGAL,"Research jointly with Q-B07-001 using current MVM/DSO rules, metering scheme and legal authority","H-tariff plus battery/VPP interaction is a legal/metering claim and cannot be inferred statistically."
Q-B07-001,B07,CRITICAL,OPEN,ACTIVE_EXTERNAL_LEGAL,yes,H_TARIFF_BATTERY_LEGAL,"Research jointly with Q-B04-001","Same legal/metering boundary as B04."
Q-B07-002,B07,HIGH,OPEN,NONBLOCKING_PROCUREMENT,no,BATTERY_SUPPLY_CHAIN,"Defer until procurement/industrial-policy analysis; collect cell/inverter/upstream origin only for supply-chain claims","B07-P3 correctly separates upstream origin from SOC physics."
Q-B07-003,B07,HIGH,OPEN,ACTIVE_EXTERNAL_PRODUCT,yes,BATTERY_RUNTIME_PHYSICS,"Seek product-specific AC/grid charge and discharge efficiency evidence","Existing VARTA battery-only and sonnen whole-system figures are not semantically comparable."
Q-B07-004,B07,MEDIUM,OPEN,ACTIVE_EXTERNAL_PRODUCT,no,BATTERY_RUNTIME_PHYSICS,"Seek measured degradation authority only when runtime-aging sensitivity is required","P3 already provides bounded warranty lifecycle sensitivity; degradation law remains a refinement, not a core SOC blocker."
Q-B04-002,B04,CRITICAL,OPEN,ACTIVE_EXISTING_THEN_EXTERNAL,yes,ELECTRICITY_FINAL_PRICE_BRIDGE,"Finish the 2026 legal component bridge from already-canonical MVM/M.1 material before broader search","Substantial current official numeric tariff evidence already exists."
Q-B04-003,B04,HIGH,OPEN,DOWNSTREAM_EXTERNAL,no,DYNAMIC_TARIFF,"Defer until dynamic-tariff scenario is actively modelled","Current physical programme modelling does not require a dynamic retail product."
Q-B05-001,B05,CRITICAL,OPEN,ACTIVE_EXISTING_THEN_EXTERNAL,yes,B05_PRODUCT_DOMAIN,"Exhaust current product documentation for cold W45/continuous W55/below-minus15 W35; then search only uncovered coordinates","P7 removed the requirement for one universal reference product and already provides multi-product common-coordinate envelopes."
Q-B05-002,B05,CRITICAL,OPEN,ACTIVE_EXISTING_COMPUTE,yes,B05_EXTREME_WEATHER,"Derive a transparent return-period/stress distribution from the existing HungaroMet hourly panel with uncertainty; do not label it official HungaroMet 1-in-10","Observed hourly panel and 72-hour extreme event are already canonical; the remaining gap is statistical methodology."
Q-B05-003,B05,HIGH,OPEN,ACTIVE_EXTERNAL_PRODUCT,yes,B05_PRODUCT_RUNTIME,"Search source-native defrost inclusion/energy evidence","Existing manufacturer material gives defrost constraints but not runtime energy accounting."
Q-B05-004,B05,HIGH,OPEN,ACTIVE_EXTERNAL_PRODUCT,yes,B05_PRODUCT_RUNTIME,"Search measured modulation/part-load/cycling evidence","EU Cdh compliance default cannot be promoted to runtime observation."
Q-B05-005,B05,HIGH,OPEN,ACTIVE_EXTERNAL_PRODUCT,yes,B05_PRODUCT_RUNTIME,"Search controller/DHW priority and high-supply operating evidence","Simultaneous supply-temperature demand remains Q without product-controller authority."
Q-B05-006,B05,MEDIUM,OPEN,CONDITIONAL_CLAIM_ONLY,no,B05_OPTIONAL_DIMENSION,"Retire as universal blocker; require return/delta-T only for claims whose source/test boundary materially depends on it","Current V1 outdoor×supply grid is valid for its declared boundary; return/delta-T is an optional/claim-specific dimension."
Q-B06-010,B06,MEDIUM,OPEN,DOWNSTREAM_EXTERNAL,no,CAPEX_MARKET_LAYER,"Move to cost/procurement layer; collect official/market CAPEX when monetary outputs are required","P1 defines the CAPEX interface; missing price evidence does not block B06 physical runtime."
Q-B01-003,B01,HIGH,OPEN,DOWNSTREAM_MODEL_COMPUTE,no,PROGRAMME_PATHWAY_ANALYSIS,"Run only after physical/CAPEX/cash-flow models are populated","Phased-versus-once comparison is a derived model result."
Q-B01-004,B01,HIGH,OPEN,DOWNSTREAM_MODEL_COMPUTE,no,SOCIAL_DISTRIBUTIONAL_ANALYSIS,"Defer until energy, income/vulnerability and health layers exist","Not a current physical-data blocker."
Q-B01-005,B01,MEDIUM,OPEN,DOWNSTREAM_MODEL_COMPUTE,no,PROGRAMME_PATHWAY_ANALYSIS,"Run integrated annual phase/capacity/cost model later","Requires common canonical upstream outputs."
Q-B10-001,B10,CRITICAL,OPEN,ACTIVE_EXISTING_THEN_EXTERNAL,yes,B10_NETWORK_POPULATION_INFERENCE,"Materialise representative programme-demand/headroom/reinforcement/CAPEX cohorts and calibration; acquire additional evidence only where cohort coverage is insufficient","P67 retires complete national node inventory and exact entity-to-node mapping as national expected-impact prerequisites."
Q-B01-006,B01,CRITICAL,OPEN,OWNER_POLICY_DECISION,no,PROGRAMME_OBJECTIVE_POLICY,"Joseph/owner must set objective function and hard minima; model should only stress-test choices","This is normative policy, not discoverable evidence."
Q-B12-001,B12,HIGH,OPEN,DOWNSTREAM_MODEL_COMPUTE,no,HOUSEHOLD_ECONOMICS,"Defer until B03/B04/B05/B06/B07/B11 inputs are populated","Household support formula is downstream."
Q-B10-002,B10,HIGH,OPEN,ACTIVE_EXISTING_THEN_EXTERNAL,yes,B10_NETWORK_POPULATION_INFERENCE,"Build representative reinforcement-delivery timing distribution and completion-probability calibration from current project evidence, then expand cohort if needed","P67 removes the need for exact future schedule of every project."
Q-B06-001,B06,HIGH,OPEN,DOWNSTREAM_MODEL_COMPUTE,no,RETROFIT_SEQUENCE_OPTIMISATION,"Defer until path CAPEX, heat-demand and household economics are populated","Lifecycle sequencing is a downstream comparison."
Q-B13-001,B13,CRITICAL,OPEN,DOWNSTREAM_MODEL_COMPUTE,no,FISCAL_LEDGER,"Defer until B12 and upstream physical/price ledgers exist","Fiscal result is downstream."
Q-B01-007,B01,CRITICAL,OPEN,OWNER_POLICY_DECISION,no,SOCIAL_MINIMUM_POLICY,"Joseph/owner must define the minimum and admissible proxies; model can then sensitivity-test it","Normative minimum cannot be inferred autonomously."
