audit_id,source_id,source_name,reference_period,source_scope,public_surface,emitter_taxonomy_explicit,published_numeric_emitter_assignment,wbl_direct_join,current_stock_complete,admission_effect,status,blockers,notes
B02-P23-A01,SRC-B02-EU-BSO-2026,EU Building Stock Observatory June 2026 update,2026 update/EU country series,EU/Hungary building stock,technical building systems database and full XLSX download route,NO,NO,NO,NO,NONE,Q,NO_VERIFIED_HUNGARY_EMITTER_INDICATOR;NO_WBL_BINDING,"The BSO officially covers installed technical building systems and was updated in June 2026, but this audit did not verify a Hungary-specific radiator/floor/wall/ceiling/fan-coil emitter distribution. BSO topic coverage is not itself emitter evidence."
B02-P23-A02,SRC-B02-KSH-HBS-QUESTIONNAIRE-2022,KSH Household Budget and Living Conditions Survey questionnaire,2022 survey / 2021 reference year,representative household survey questionnaire,public questionnaire,YES,NO,NO,NO,TAXONOMY_ONLY,QUALIFIED_TAXONOMY_ONLY,NO_PUBLIC_SUBTYPE_COUNTS;REFERENCE_YEAR_2021;SAMPLE_NOT_COMPLETE_STOCK,"The questionnaire explicitly distinguishes gas convector; stove/fireplace/tile stove; electric storage heater; air conditioner; and electric floor/wall heating. It also records boiler/heat-pump heat generation. The public questionnaire defines categories but does not publish a complete emitter assignment."
B02-P23-A03,SRC-B02-KSH-YEARBOOK-2022-T3-2-6,KSH Statistical Yearbook 2022 table 3.2.6,2021+,sampled dwellings by income quintile,public yearbook table,NO,NO,NO,NO,TOPOLOGY_CONTROL_ONLY,QUALIFIED_CONTROL_ONLY,EMITTER_SUBTYPES_COLLAPSED;SAMPLE_NOT_COMPLETE_STOCK,"Published national total primary-heating shares are 16.0% district heating, 6.3% building-central, 48.4% one-dwelling central and 28.9% individual fixed room heating. The table explicitly notes that one-dwelling central includes radiator/floor/wall heating and individual fixed includes convector/stove/fireplace, so it cannot identify emitter subtype."
B02-P23-A04,SRC-B02-KSH-CENSUS-API-2022,KSH Census 2022 WBL011 heating and fuel joint,2022,occupied dwelling stock,WBL011/V67 public Census database,NO,NO,YES,YES,SYSTEM_ONLY,QUALIFIED_SYSTEM_ONLY,EMITTER_NOT_OBSERVED,"P22 already materializes exact current heating-system topology over 116452 cells / 4008541 occupied dwellings. Census heating mode and fuel do not identify radiator/surface/convector/stove emitter subtype."
B02-P23-A05,SRC-B02-MEHI-EPBD-2024,MEHI EPBD transition article,2024 publication / contemporary stock context,Hungarian residential building stock,public article,PARTIAL,NO,NO,NO,CONTEXT_ONLY,CONTEXT_ONLY,DEVICE_COUNT_NOT_DWELLING_COUNT;ESTIMATE_NOT_WBL_BOUND,"MEHI states that estimates indicate nearly 3 million outdated gas convectors and more than 800 thousand old gas boilers in residential buildings. These are equipment counts/context, not a dwelling-level emitter distribution and must not be converted into dwelling counts."
B02-P24-A06,SRC-B02-OENY-ETANUSITAS-CERTIFICATE-CURRENT,Official OENY e-tanusitas current certificate/document surface,2023+ current certificate format,individual certified building or functional unit,official certificate detail/template and address/HET public search,YES,NO,NO,NO,RECORD_LEVEL_ROUTE_ONLY,QUALIFIED_RECORD_ROUTE_ONLY,NO_DOCUMENTED_BULK_STOCK_ASSIGNMENT;NO_WBL_BINDING;NO_NATIONAL_COMPLETENESS,"Official e-epites guidance states that the detailed certificate contains current heating-system type and heat-emission mode such as radiator, and the official preview contains a dedicated photo-documentation slot for the characteristic heat emitter and its controls. The preview itself is synthetic and proves template capability only. Individual certificate evidence does not equal a complete occupied-stock emitter assignment, and the public surface does not prove a complete supply/return design-temperature assignment."
B02-P25-A07,SRC-B02-TARKI-REKK-HOUSEHOLD-ENERGY-SURVEY-2022,TÁRKI-REKK household energy survey published in REKK/BME gas-phaseout study,2022-10-15/2022-11-02,nationally representative household survey,public final report Figure 11 plus published questionnaire,YES,YES,NO,NO,CURRENT_EMITTER_NUMERIC_CONTROL,QUALIFIED_CONTROL_ONLY,SURVEY_AGGREGATE_NOT_WBL_BOUND;HOUSEHOLD_TO_WBL_UNIVERSE_NOT_RECONCILED;NO_CELL_LEVEL_ASSIGNMENT,"The weighted nationally representative survey has N=1013 overall; Figure 11 reports N=657 gas-heating households and exact device shares: traditional gas boiler 26.66%, condensing gas boiler 32.73%, gas convector 40.61%. Gas convector is a current emitter/device numeric control. Boiler shares are heat-generator controls and are not radiator evidence. The published overall 3.4% full-sample margin of error is not silently assigned to the N=657 conditional distribution."
B02-P51-A08,SRC-B02-TARKI-REKK-HOUSEHOLD-ENERGY-SURVEY-2022,TÁRKI-REKK full published household questionnaire emitter-boundary audit,2022-10-15/2022-11-02,nationally representative household survey,questionnaire appendix 7.1 Q18-Q20 Q32 Q50/Q50A Q67-Q69,PARTIAL,NO,NO,NO,NEGATIVE_HYDRONIC_EMITTER_BOUNDARY,QUALIFIED_BOUNDARY_ONLY,NO_DIRECT_HYDRONIC_EMITTER_CLASS_QUESTION;NO_DESIGN_TEMPERATURE_QUESTION,"The full published questionnaire distinguishes heating topology and heat generators and contains radiator-related wording for thermostatic valves/cost allocators plus planned emitter-system modernisation. It does not ask a current hydronic radiator-vs-surface-heating-vs-mixed emitter-class question and does not ask design flow/return temperature. Q19 gas-convector remains valid direct device evidence; boiler cannot be converted to radiator."
B02-P51-A09,SRC-B02-HETFA-HABITAT-2021,HÉTFA / Habitat residential renovation impact study,2021 publication / NÉER2 2015 basis,Hungarian residential typology scenario analysis,public 72-page study using KEOP-7.9.0/NÉER2 archetypes,NO,NO,NO,NO,NEGATIVE_DERIVATIVE_CHECK,QUALIFIED_BOUNDARY_ONLY,NO_PUBLISHED_CURRENT_EMITTER_DISTRIBUTION;HEAT_PRODUCER_SCENARIO_NOT_EMITTER_PREVALENCE,"Public study URL https://hetfa.hu/wp-content/uploads/2022/09/HE%CC%81TFA_Tanulma%CC%81ny_Habitat.pdf. The report reuses KEOP/NÉER2 for typology, heat demand, carrier and heat-producer renovation scenarios. Text search of the public PDF yields no radiator/radiator-heating, floor-heating or heat-emitter stock distribution. Its low-temperature/condensing-boiler scenario tables are heat-producer assumptions, not current emitter prevalence or design-temperature observations."
B02-P61-A10,SRC-B02-BME-RBSM-2026,BME Hungarian Residential Building Stock Model parametric analysis,2026 publication,Hungarian residential archetype / EPC-derived model inputs,public journal article + PDF,NO,NO,NO,NO,MODEL_FRAMEWORK_ONLY,QUALIFIED_BOUNDARY_ONLY,NO_PUBLISHED_EMITTER_CLASS;NO_DESIGN_TEMPERATURE_DISTRIBUTION,"The article provides an explicit stochastic uncertainty/sensitivity workflow and EPC-derived system characteristics, but the inspected archetype uses traditional gas-boiler heating and exposes heating-system-efficiency distributions rather than radiator/surface-heating/fan-coil prevalence. Useful inference framework != emitter population evidence."
