item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P83-S01,REFERENCE_RETROFIT_STRATUM_SURFACE,MATERIALIZED,14,14,strata,DER/SCN,B02-P79;B02-P80;B02-P83,BOUNDED_NATIONAL_POST_STATE_INPUT,REALIZED_HOUSEHOLD_STATE,"DEFENSIBLE_COMPONENT_AREA_GEOMETRY_INFERENCE_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED","All 7 WBL construction periods x 2 P21 building groups are materialized for the REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP branch."
B02-P83-S02,HEATED_FLOOR_AREA_SET_PROPAGATION,MATERIALIZED_BOUNDED,54.8388888889,233.8,m2/dwelling,DER,B02-P79,ARCHETYPE_CALIBRATION_SET,HOUSEHOLD_AREA_BOUND;STATISTICAL_CONFIDENCE_INTERVAL,DEFENSIBLE_WITHIN_ARCHETYPE_GEOMETRY_INFERENCE_REQUIRED,"Per-stratum P79 candidate-type min/max values are carried unchanged. Global extrema are descriptive only and are not a national probability interval."
B02-P83-S03,REFERENCE_RETROFIT_EXTERNAL_WALL_U_MAX,MATERIALIZED,,0.24,W/m2K,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,REFERENCE_RETROFIT_POST_STATE,REALIZED_HOUSEHOLD_U,,"P80 Table 9.1 source-native constraint propagated to every P83 stratum."
B02-P83-S04,REFERENCE_RETROFIT_FLAT_ROOF_U_MAX,MATERIALIZED,,0.17,W/m2K,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,REFERENCE_RETROFIT_POST_STATE,REALIZED_HOUSEHOLD_U,,"P80 source-native constraint propagated."
B02-P83-S05,REFERENCE_RETROFIT_ATTIC_FLOOR_U_MAX,MATERIALIZED,,0.17,W/m2K,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,REFERENCE_RETROFIT_POST_STATE,REALIZED_HOUSEHOLD_U,,"P80 source-native constraint propagated."
B02-P83-S06,REFERENCE_RETROFIT_BASEMENT_CEILING_U_MAX,MATERIALIZED,,0.26,W/m2K,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,REFERENCE_RETROFIT_POST_STATE,REALIZED_HOUSEHOLD_U,,"P80 source-native constraint propagated."
B02-P83-S07,REFERENCE_RETROFIT_WINDOW_U_MAX,MATERIALIZED,,1.15,W/m2K,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,REFERENCE_RETROFIT_POST_STATE,REALIZED_HOUSEHOLD_U,,"P80 source-native constraint propagated."
B02-P83-S08,EXPLICIT_ACTION_GEOMETRY_RULE_REQUIRED,CONTRACTED,,,contract,SCN,B02-P83,MODEL_TRANSITION_RULE,OBSERVED_HOUSEHOLD_GEOMETRY_CHANGE,,"REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP preserves the P79 synthetic geometry set as an explicit model rule."
B02-P83-S09,EXPLICIT_ACTION_TO_POST_STATE_MODEL_REQUIRED,CONTRACTED,,,contract,DER/SCN,B02-P80;B02-P83,ACTION_CONDITIONED_POST_STATE,UNCONDITIONAL_CURRENT_STOCK_TRUTH,,"Reference-retrofit U upper bounds are applied to the preserved P79 geometry set."
B02-P83-S10,EXPLICIT_DESIGN_INDOOR_SERVICE_SCENARIO_REQUIRED,CONTRACTED_EXPLICIT_INPUT,,,degC,SCN,B02-P83,EXPLICIT_CALCULATION_INPUT,HIDDEN_NATIONAL_DEFAULT,,"Runtime requires an explicit indoor service temperature and supplies no national default."
B02-P83-S11,PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED,Q,,,W/m2K,Q,B02-P82,NONE,FLAT_ROOF_OR_ATTIC_VALUE_AS_SILENT_SUBSTITUTE,PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED,"P83 preserves the source gap; no generic roof substitution."
B02-P83-S12,COMPLETE_B06_DESIGN_LOAD_SURFACE,Q,,,contract,Q,B02-P83,NONE,PARTIAL_SURFACE_AS_COMPLETE_DESIGN_LOAD,"DEFENSIBLE_COMPONENT_AREA_GEOMETRY_INFERENCE_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED","P83 is an actual partial physical-state surface, not a complete B06 design-load input set."
