item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P70-N01,KSH_NHEAT_DWELLINGS,POINT_IDENTIFIED,1173639,1173639,dwelling,DER,B02-P13/B02-P22,PROGRAMME_TOPOLOGY_CONTROL,EMITTER_CLASS_INFERENCE,,P13 independently checked the national WBL011 FUTES_TOH=NHEAT control; P22 binds NHEAT to ROOM_BY_ROOM_OR_NO_HEAT semantics.
B02-P70-N02,KSH_NHEAT_SHARE,POINT_IDENTIFIED,0.292784582,0.292784582,share,DER,B02-P13/B02-P22,PROGRAMME_TOPOLOGY_CONTROL,EMITTER_CLASS_INFERENCE,,1173639 / 4008541 occupied dwellings.
B02-P70-N03,KSH_CENTRAL_HEATING_DWELLINGS,POINT_IDENTIFIED,2216178,2216178,dwelling,DER,B02-P22,TOPOLOGY_CONTROL,RADIATOR_OR_HYDRONIC_INFERENCE,CENTRAL_DISTRIBUTION_REUSE_ASSIGNMENT,Derived as the exact P22 partition residual after district and NHEAT controls.
B02-P70-N04,KSH_DISTRICT_HEATING_DWELLINGS,POINT_IDENTIFIED,618724,618724,dwelling,DER,B02-P22,TOPOLOGY_CONTROL,IN_DWELLING_EMITTER_INFERENCE,DISTRICT_DISTRIBUTION_REUSE_ASSIGNMENT,Exact P22 source-native topology control.
B02-P70-N05,NHEAT_CENTRAL_HYDRONIC_PROGRAMME_PATH,QUALIFIED_NONREUSE_ASSIGNMENT,1173639,1173639,dwelling,DER,B02-P13/B02-P22/B02-P69/B02-P70,CENTRAL_HYDRONIC_AIR_TO_WATER_ROUTE,AIR_TO_AIR_OR_OTHER_ROUTE_PROMOTION,,"ROOM_BY_ROOM_OR_NO_HEAT has no proven reusable central distribution for the central hydronic air-to-water programme route; NEW versus REPLACE remains unresolved."
B02-P70-N06,NEW_OR_REPLACE_DISTRIBUTION_REQUIRED_SHARE,LOWER_BOUNDED,0.292784582,1,share,DER,B02-P70,NATIONAL_DISTRIBUTION_PATH_BOUND,POINT_NONREUSE_SHARE,CENTRAL_DISTRICT_REUSE_VS_NONREUSE_ASSIGNMENT,"P70 supersedes the operational 0.233 P69 floor with the stronger exact KSH NHEAT floor. The P39 gas-convector 0.233 share is not added because overlap is not identified."
B02-P70-N07,NEW_OR_REPLACE_DISTRIBUTION_REQUIRED_DWELLINGS,LOWER_BOUNDED,1173639,4008541,dwelling,DER,B02-P70,PROGRAMME_QUANTITY_BOUND,INTEGER_TOTAL_NONREUSE_POINT,CENTRAL_DISTRICT_REUSE_VS_NONREUSE_ASSIGNMENT,Exact lower bound at occupied-stock grain for the specified programme route.
B02-P70-N08,REUSE_EXISTING_DISTRIBUTION_SHARE,UPPER_BOUNDED,0,0.707215418,share,DER,B02-P70,NATIONAL_DISTRIBUTION_PATH_BOUND,POINT_REUSE_SHARE,CENTRAL_DISTRICT_REUSE_VS_NONREUSE_ASSIGNMENT,Complement of the exact NHEAT nonreuse floor; not evidence that the entire remainder is reusable.
B02-P70-N09,REUSE_EXISTING_DISTRIBUTION_DWELLINGS,UPPER_BOUNDED,0,2834902,dwelling,DER,B02-P70,PROGRAMME_QUANTITY_BOUND,POINT_REUSE_COUNT,CENTRAL_DISTRICT_REUSE_VS_NONREUSE_ASSIGNMENT,Upper bound only; central and district branches still require reuse/nonreuse assignment.
B02-P70-N10,HUNGARIAN_DISTRIBUTION_NONREUSE_ASSIGNMENT,PARTIAL_RESOLVED_LOWER_BOUND,,,contract,DER,B02-P70,NATIONAL_LOWER_BOUND,COMPLETE_ASSIGNMENT,CENTRAL_DISTRICT_REUSE_VS_NONREUSE_ASSIGNMENT,The generic national lower-bound problem is resolved for NHEAT; remaining uncertainty is confined to central and district topology branches.
B02-P70-N11,Q-B02-004,OPEN_NARROWED,,,state,Q,B02-P70,LAYERED_SET_PROPAGATION,CLAIM_OF_NATIONAL_POINT_ACTION_OR_RESPONSE,"CENTRAL_DISTRICT_REUSE_VS_NONREUSE_ASSIGNMENT;HUNGARIAN_EMITTER_INTERVENTION_ASSIGNMENT;ROOM_GRAIN_ACTION_DISTRIBUTION;MARKET_REALIZED_COST_DISTRIBUTION_IF_CENTRAL_ESTIMATE_REQUIRED","The distribution nonreuse floor is now source-native DER at 29.278458%; full layered programme assignment remains open."
