field_id,field_name,schema_path,readiness_state,readiness_goal,required_grain,minimum_quality,missing_tolerance,sample_expectation,privacy_minimum,success_criteria,failure_criteria,prohibited_inferences,status,notes
P1K-001,schema_version,$.schema_version,ALL,"A pilot minden rekordja ugyanahhoz a jóváhagyott szerződésverzióhoz tartozzon",record,"Pontosan 1.0; gépi sémaellenőrzés","0% missing","Minden átadott rekord; pilot cél 500-1000 (SCN)","Csak verziójelző; személyes vagy kapcsolati adat nem lehet","100% érték 1.0 és séma-valid","Hiányzó vagy eltérő verzió","Nem bizonyít tartalmi teljességet vagy reprezentativitást",CONTRACTED,"A verzióeltérés új intake-kaput indít."
P1K-002,pilot_record_id,$.pilot_record_id,ALL,"Nem visszafejthető technikai rekordazonosítás",pilot_record,"PILOT-[A-F0-9]{16}; egyedi a piloton belül","0% duplicate; 0% missing","Minden átadott rekord","Véletlen technikai ID; nincs kulcstábla, hash-link vagy ingatlanazonosító","100% egyedi, pattern-valid ID","Újrahasznált, dekódolható vagy külső azonosító","Nem használható háztartás-azonosításra vagy KSH/WBL-linkre",CONTRACTED,"A rekord-ID csak technikai sorazonosító."
P1K-003,reference_year,$.reference_year,S0,"Időbeli összehasonlíthatóság és reference-period kontroll",record_year,"Egész év 2000-2100 között; forrásból vagy átadási metaadatból ellenőrizhető","0% missing; invalid may not be imputed","Minden rekord; év szerinti cellák csak ténylegesen átadott mintára","Év elégséges; hónap/nap nem kérendő","Minden érték valid és forrásévvel összhangban","Érvénytelen, egymásnak ellentmondó vagy kitalált év","Nem alapoz országos trendet vagy idősort",CONTRACTED,"A hiány explicit Q/NOT_IN_SOURCE állapottal kezelendő."
P1K-004,coarse_geography,$.coarse_geography,S0,"Durva területi/településtípusú rétegzés a torzítás vizsgálatához",coarse_region_x_settlement_type,"Jóváhagyott durva régió vagy településtípus; kódkönyv és összevonási szabály dokumentált","0% exact-address; missing only explicit Q/NOT_IN_SOURCE; no imputation","Minden rekord; rétegenkénti lefedettség dokumentálandó; 500-1000 célminta SCN","Nincs cím, koordináta, helyrajzi szám vagy HET-azonosító; kicsi cellák összevonva","Minden érték jóváhagyott kategória vagy explicit hiány; cellaszámok visszaolvashatók","Cím/koordináta, túlfinomított cella, rejtett imputálás vagy kódkönyvhiány","Nem bizonyít országos regionális readiness-t, DSO-kapacitást vagy reprezentativitást",CONTRACTED,"A minta területi eloszlása önmagában nem súlyozási alap."
P1K-005,building_category,$.building_category,S0,"Megfigyelt épülettípus-alap az S0 archetype rétegzéséhez",record_x_building_category,"Csak FAMILY_HOUSE/MULTI_DWELLING/OTHER/NOT_STATED enum; forrásból kódolt","0% blank; unknown must be NOT_STATED/Q","Minden rekord; minden átadott kategória darabszáma jelentendő","Durva kategória; nincs cím vagy lakásazonosító","Enum-valid és explicit forrásalapú kódolás","Szabad szöveg, üres érték vagy feltételezett kategória","Nem bizonyít közös KSH/WBL-archetípus-illesztést vagy országos megoszlást",CONTRACTED,"Az OTHER nem bontható tovább bizonyíték nélkül."
P1K-006,construction_period_band,$.construction_period_band,S0,"Építési kor szerinti S0 rétegzés",record_x_period_band,"Előre rögzített durva sáv; kódkönyv és forrásverzió megadva","0% blank; unknown explicit","Minden rekord; rétegenkénti counts szükséges","Sávos érték; pontos év csak akkor, ha nem növeli újraazonosítást","Minden érték kódkönyv szerinti vagy NOT_STATED/Q","Ad hoc sáv, pontos azonosítóvá tehető dátum vagy imputált kor","Nem bizonyít energiaigényt, retrofit-hatást vagy országos korstruktúrát",CONTRACTED,"A sávok KSH-kapcsolata csak külön kalibrációval állapítható meg."
P1K-007,heated_floor_area_band,$.heated_floor_area_band,S0,"Alapterület szerinti energia- és archetype-rétegzés",record_x_floor_area_band,"Durva, előre rögzített sáv; mért/számított eredet dokumentált","0% blank; unknown explicit","Minden rekord; sávonkénti counts szükséges","Pontos alapterület alapértelmezésben nem kérendő; ritka cellák összevonandók","Sávvalid, forrásalapú, nincs mesterséges kerekítésből eredő félreérthetőség","Pontos vagy hiányzó érték, rejtett imputálás, sávkódkönyv hiánya","Nem bizonyít háztartási energiafogyasztást, támogatási szükségletet vagy országos eloszlást",CONTRACTED,"A sáv nem helyettesíti a B05/B06 energia-modell bemenetét."
P1K-008,heating_system_quality,$.heating_system_quality,S0,"OÉNY durva fűtési rendszer-minőségének reprodukálható átvétele",record_x_certificate,"A BAD/POOR/AVERAGE/GOOD/EXCELLENT enum csak explicit OÉNY-értékből; egyébként NOT_STATED","0% blank; NOT_STATED allowed","Minden rekord; minőségi kategóriánkénti counts szükséges","Nincs szabad szöveg és nincs tanúsítvány-/ingatlan-azonosító","Enum-valid és forrásmezőre visszavezethető","A kategóriából emitter- vagy readiness-érték levezetése; üres mező","Nem egyenlő hőleadó-típussal, S2 readiness-szel, COP-pal vagy alkalmassággal",CONTRACTED,"A coarse quality mező csak S0 kontextus."
P1K-009,heating_energy_carrier,$.heating_energy_carrier,S0,"Kiinduló energiahordozó durva megfigyelése",record_x_carrier,"Jóváhagyott enum; MULTIPLE/OTHER/NOT_STATED explicit","0% blank; unknown explicit","Minden rekord; carrier counts szükséges","Csak kategória; fogyasztási mérőadat és cím nem kérendő","Enum-valid és explicit forrásból származó","Szabad szöveg, fogyasztásnak álcázott kategória vagy imputálás","Nem bizonyít fogyasztást, villamos headroomot, műszaki alkalmasságot vagy támogatási jogosultságot",CONTRACTED,"Az energiahordozó nem proxy az elektromos readiness-re."
P1K-010,emitter_status,$.emitter_status,S2,"Jelenlegi hőleadó-típus bizonyítékalapú státuszának megállapítása",certificate_or_document,"OBS csak explicit szöveg/tábla/séma/fotó-evidence esetén; különben Q vagy NOT_IN_SOURCE","0% blank; Q/NOT_IN_SOURCE is valid and expected","Minden rekord; OBS arány és evidence coverage jelentendő","Strukturált pilotban nincs fotó/PDF; csak státusz és bizonyíték-kód; dokumentum-pilot külön kapu","Nincs inferált OBS; minden OBS-hez evidence type és szükség esetén oldal","Fűtési rendszerből, ikonból vagy modellből következtetett OBS; üres státusz","Nem bizonyít országos emitter-eloszlást vagy teljes S2 műszaki alkalmasságot",CONTRACTED,"Az OÉNY jelenlegi sémája önmagában nem garantálja ezt a mezőt."
P1K-011,emitter_types,$.emitter_types,S2,"A jelenlegi hőleadó típus(ok) explicit, többértékű rögzítése",certificate_or_document,"Egyedi enum lista; több explicit típus külön elem; NOT_STATED/UNREADABLE megengedett","OBS esetén 0% missing evidence; Q/NOT_IN_SOURCE esetén explicit unknown elem","Minden rekord; dokumentum-annotáció esetén annotációs minta külön jelentendő","Nincs szabad szöveg, kép vagy dokumentum a strukturált pilotban","OBS esetén legalább egy explicit evidence és page/evidence ref; annotációs egyezés riportált","OCR- vagy szakértői feltételezés bizonyíték nélkül; current-vs-proposed tévesztés","Nem bizonyít országos prevalence-t, hőszivattyú-kompatibilitást, COP-ot vagy költséget",CONTRACTED,"A javasolt korszerűsítési elem nem jelenlegi állapot."
P1K-012,emitter_evidence,$.emitter_evidence,S2,"Az emitter státusz auditálható bizonyítéktípusának rögzítése",certificate_or_document,"Evidence enum; NONE csak Q/NOT_IN_SOURCE mellett","OBS esetén NONE=0%; Q/NOT_IN_SOURCE esetén NONE megengedett","Minden rekord; bizonyítékfajtánkénti counts és forrásbázis","A pilotba nem kerül kép/PDF; csak evidence-type és szükséges oldalszám","Minden OBS-hez legalább egy nem-NONE típus; strukturált mintában visszaellenőrizhető","NONE mellett OBS; bizonyítékfajta nélküli állítás; kép vagy szabad szöveg átadása","Nem bizonyít bizonyítékok országos lefedettségét vagy minőségét",CONTRACTED,"A PHOTO_EXPLICIT kód nem jelenti a fotó átadását."
P1K-013,temperature_status,$.temperature_status,S2,"Épületspecifikus hőfokadat bizonyítékalapú státusza",certificate_or_document,"OBS csak DESIGN_EXPLICIT/CALCULATION_INPUT/OPERATING_MEASURED alapon; referenciaérték nem OBS","0% blank; Q/NOT_IN_SOURCE expected when absent","Minden rekord; OBS és basis coverage külön jelentendő","Nincs cím, kép, PDF vagy mérőazonosító a strukturált pilotban","OBS-hez nem-referencia basis és számpár vagy explicit forrás; különben Q/NOT_IN_SOURCE","55/45 vagy más referenciaérték OBS-ként; egyetlen hőfokból pár következtetése","Nem bizonyít országos hőfoklépcső-eloszlást vagy alacsony hőmérsékletű alkalmasságot",CONTRACTED,"A jogszabályi/reference érték nem observed building data."
P1K-014,supply_temperature_c,$.supply_temperature_c,S2,"Tervezési vagy mért előremenő hőmérséklet számszerű, egységes átadása",record_x_temperature_basis,"°C, -50..150; csak explicit alaphoz kötve; null csak Q/NOT_IN_SOURCE esetén","Paired field: OBS esetén nem lehet null; absent pair explicit Q/NOT_IN_SOURCE","Minden rekord; basis és pair completeness riportálandó","Csak szám vagy null; nincs címhez köthető mérőadat","Supply és return együtt, azonos basis és °C egység; tartomány-valid","Kitalált 55, 45 vagy más referenciaérték; egyoldalú pár; unit/basis hiány","Nem bizonyít országos hőfokeloszlást, COP-ot, fogyasztást vagy retrofit-költséget",CONTRACTED,"A pár csak dokumentált, nem szintetikus adat lehet."
P1K-015,return_temperature_c,$.return_temperature_c,S2,"Tervezési vagy mért visszatérő hőmérséklet számszerű, egységes átadása",record_x_temperature_basis,"°C, -50..150; supply-val azonos basis; null csak explicit hiány mellett","Paired field: OBS esetén nem lehet null; absent pair explicit Q/NOT_IN_SOURCE","Minden rekord; pair completeness és basis counts","Csak szám vagy null; nincs mérő- vagy ingatlanazonosító","Supply-val páros, azonos basis, tartomány-valid és forrásolt","Supply-ból visszaszámított érték, reference assumption OBS-ként, unit/basis hiány","Nem bizonyít hőszivattyú-műszaki alkalmasságot vagy országos readiness-t",CONTRACTED,"A visszatérő érték nem deriválható automatikusan az előremenőből."
P1K-016,temperature_basis,$.temperature_basis,S2,"A hőmérséklet számértékének epistemikus alapja",record_x_temperature_basis,"Temperature basis enum; minden nem-null értékhez basis","0% blank; NOT_STATED explicit","Minden rekord; basis szerinti counts","Csak basis-kód; dokumentum- és személyazonosító adat nem kérendő","Minden nem-null számhoz basis; REFERENCE_ASSUMPTION nem lehet OBS","Hiányzó basis, referenciaérték observedként vagy szám nélküli OBS","Nem bizonyít tényleges üzemi működést, COP-ot vagy megtakarítást",CONTRACTED,"A basis nem helyettesíti a forrásoldal-ellenőrzést."
P1K-017,demand_reduction_status,$.demand_reduction_status,S1,"Beavatkozás előtti/utáni keresletcsökkentési bizonyíték státusza",household_or_archetype_x_phase,"OBS csak azonos definíciójú, fázishoz kötött before/after mérés vagy számítás esetén; egyébként Q/NOT_IN_SOURCE","0% blank; Q/NOT_IN_SOURCE expected","Minden rekord; S1 OBS csak tényleges linked evidence-re","Nincs háztartás- vagy beavatkozásazonosító; kapcsolati kulcs nem kérendő","Explicit before/after evidence nélkül nincs OBS; státuszok hiánytalanok","S0 baseline vagy fűtési minőség alapján levezetett S1 OBS","Nem bizonyít programhatást, országos keresletcsökkenést vagy causal effectet",CONTRACTED,"A pilot várhatóan S1-et nem fedi le; ez elfogadott hiány, nem nulla."
P1K-018,hydraulic_readiness_status,$.hydraulic_readiness_status,S2,"Hidraulikai/topológiai/szabályozási readiness explicit státusza",building_x_technical_evidence,"OBS csak explicit műszaki bizonyítékból; fűtőtest vagy minőségi kategória nem elég","0% blank; Q/NOT_IN_SOURCE expected","Minden rekord; OBS csak explicit source coverage esetén","Nincs cím, szabad szöveg, tervrajz vagy dokumentum a strukturált pilotban","OBS-hez explicit source; egyébként Q/NOT_IN_SOURCE; nincs imputation","Emitter, heating quality vagy HOSZIV alapján inferált OBS","Nem bizonyít országos hidraulikai alkalmasságot, installer-capacityt vagy költséget",CONTRACTED,"Külön műszaki adatforrás szükséges lehet."
