item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B05-P22-R01,MITSUBISHI_WM50_DATABOOK_MINIMUM_POINT_GRID,QUALIFIED_SOURCE_NATIVE_GRID,40,40,points,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,EXACT_MIN_CAPACITY_AND_COP,BLANK_CELL_FILL;EXTRAPOLATION;CROSS_PRODUCT_TRANSFER,MITSUBISHI_COLD_HIGH_SUPPLY_DOMAIN_CLASSIFICATION_REQUIRED,"40 exact minimum-capacity/COP pairs from the official Data Book Min section."
B05-P22-R02,MITSUBISHI_WM50_COMPLETE_BOUNDED_CELLS,QUALIFIED_PIECEWISE_SURFACE,27,27,cells,DER,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,COMPLETE_CELL_BILINEAR_DER,EXTRAPOLATION;MISSING_CORNER_INTERPOLATION,MITSUBISHI_COLD_HIGH_SUPPLY_DOMAIN_CLASSIFICATION_REQUIRED,"27 complete adjacent rectangles: 24 core A-10..A20 x W35..W55 cells, 2 cold shoulder A-15..A-10 x W35..W45 cells, 1 extreme shoulder A-20..A-15 x W35..W40 cell."
B05-P22-R03,MODULATION_FLOOR_COVERAGE_OUTSIDE_MITSUBISHI_A2_A7_W35_W45_REQUIRED,SUPERSEDED_BY_EXTENDED_DATABOOK_GRID,,,state,DER,B05-P22,HISTORICAL_RESIDUAL_SUPERSESSION,CLAIM_GLOBAL_COVERAGE,MITSUBISHI_COLD_HIGH_SUPPLY_DOMAIN_CLASSIFICATION_REQUIRED,"P21 rectangle is a strict subset of the P22 official Data Book surface."
B05-P22-R04,P9_STRESS_W35_MODULATION_FLOOR_COVERAGE,RESOLVED_FULL_ENVELOPE,-13.331944,-9.644444,degC,DER,B05-P22,P9_STRESS_RUNTIME,EXTRAPOLATION,,"Both stress endpoints lie inside complete W35 source-grid cells."
B05-P22-R05,P9_STRESS_W45_MODULATION_FLOOR_COVERAGE,RESOLVED_FULL_ENVELOPE,-13.331944,-9.644444,degC,DER,B05-P22,P9_STRESS_RUNTIME,EXTRAPOLATION,,"Both stress endpoints lie inside complete W45 source-grid cells."
B05-P22-R06,P9_STRESS_W55_MODULATION_FLOOR_COVERAGE,PARTIAL_FROM_MINUS10, -10,-9.644444,degC,DER,B05-P22,P9_STRESS_RUNTIME,EXTRAPOLATION;ASSUME_COLD_W55_FLOOR,MITSUBISHI_COLD_HIGH_SUPPLY_DOMAIN_CLASSIFICATION_REQUIRED,"W55 is source-grid covered from A-10 upward; colder P9 stress segment to -13.331944 remains Q because -15/W55 is blank."
B05-P22-R07,MITSUBISHI_WM50_EXACT_W35_CYCLING_READY_BINS,QUALIFIED_EXACT_BINS,4,4,bins,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020;SRC-B05-MITSUBISHI-ERP-WM50-CDH-2026,EXACT_TJ_W35_CYCLING_METHOD,CDH_INTERPOLATION;OTHER_SUPPLY_TRANSFER,CDH_HOURLY_TEMPERATURE_MAPPING_REQUIRED,"Exact W35 same-product bins -7,+2,+7,+12 C pair minimum capacity/COP with non-default Cdh."
B05-P22-R08,MITSUBISHI_COLD_HIGH_SUPPLY_DOMAIN_CLASSIFICATION_REQUIRED,OPEN,,,state,Q,B05-P22,FUTURE_DOMAIN_CLASSIFICATION,BLANK_EQUALS_ZERO;BLANK_EQUALS_UNSUPPORTED,MITSUBISHI_COLD_HIGH_SUPPLY_DOMAIN_CLASSIFICATION_REQUIRED,"Data Book Min cells are blank at colder high-supply combinations; P22 does not decide whether each blank means unsupported operation or unpublished minimum performance."
B05-P22-R09,CDH_HOURLY_TEMPERATURE_MAPPING_REQUIRED,OPEN,,,state,Q,B05-P22,FUTURE_HOURLY_RUNTIME,LINEAR_CDH_INTERPOLATION;NEAREST_BIN_WITHOUT_AUTHORITY,CDH_HOURLY_TEMPERATURE_MAPPING_REQUIRED,"Four exact product Cdh bins do not by themselves define Cdh at arbitrary hourly outdoor temperature."
B05-P22-R10,SECOND_MANUFACTURER_MODULATION_FLOOR_SURFACE_REQUIRED,OPEN,,,state,Q,B05-P22,FUTURE_PRODUCT_COHORT,CROSS_PRODUCT_TRANSFER,SECOND_MANUFACTURER_MODULATION_FLOOR_SURFACE_REQUIRED,"Mitsubishi now has a broad source-native surface, but national/product-cohort use still needs a second manufacturer surface or an explicit cohort-transfer rule."
B05-P22-R11,Q-B05-004,OPEN_NARROWED_TO_COLD_HIGH_SUPPLY_CDH_MAPPING_AND_SECOND_SURFACE,,,state,Q,B05-P22,PART_LOAD_RESEARCH,GLOBAL_PRODUCT_SURFACE_PROMOTION,MITSUBISHI_COLD_HIGH_SUPPLY_DOMAIN_CLASSIFICATION_REQUIRED;CDH_HOURLY_TEMPERATURE_MAPPING_REQUIRED;SECOND_MANUFACTURER_MODULATION_FLOOR_SURFACE_REQUIRED,"P22 materially expands floor/minimum-COP coverage and exact Cdh bins without manufacturing blank cells or hourly Cdh values."
