item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B05-P23-R01,DIMPLEX_LA2030CP_MINIMUM_FLOOR_POINTS,QUALIFIED_SOURCE_NATIVE_GRID,15,15,points,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,EXACT_MINIMUM_FLOOR,CROSS_PRODUCT_TRANSFER;EXTRAPOLATION,DIMPLEX_A_MINUS10_MINIMUM_ROW_CLASSIFICATION_REQUIRED,"15 exact minimum-output points at W35/W45/W55 and outdoor -22,-15,-7,+2,+7 C."
B05-P23-R02,DIMPLEX_LA2030CP_BOUNDED_CELLS,QUALIFIED_PIECEWISE_SURFACE,6,6,cells,DER,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,COMPLETE_CELL_BILINEAR_DER,INTERPOLATE_ACROSS_A_MINUS10_BARRIER;EXTRAPOLATION,DIMPLEX_A_MINUS10_MINIMUM_ROW_CLASSIFICATION_REQUIRED,"2 cold cells A-22..A-15 and 4 warm cells A-7..A7. The known A-10 source gap prevents bridging -15 to -7."
B05-P23-R03,DIMPLEX_A_MINUS10_INTERPOLATION_BARRIER,ENFORCED,-10,-10,degC,Q,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,FAIL_CLOSED_SOURCE_GAP,ASSUME_CONTINUITY;BRIDGE_GAP,DIMPLEX_A_MINUS10_MINIMUM_ROW_CLASSIFICATION_REQUIRED,"Manufacturer planning table does not provide a usable A-10 minimum-floor row across the P23 W35/W45/W55 surface."
B05-P23-R04,SECOND_MANUFACTURER_MODULATION_FLOOR_SURFACE_REQUIRED,RESOLVED_FOR_DIMPLEX_LA2030CP_PIECEWISE_SURFACE,2,2,manufacturers,DER,B05-P23,CROSS_MANUFACTURER_VALIDATION,CROSS_PRODUCT_VALUE_TRANSFER,,"Mitsubishi and Dimplex now each have independent bounded minimum-floor surfaces."
B05-P23-R05,DIMPLEX_LA2030CP_EXACT_W35_CYCLING_READY_BINS,QUALIFIED_EXACT_BINS,3,3,bins,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026;SRC-B05-HPKEYMARK-DIMPLEX-LA2030CP-2026,EXACT_TJ_W35_CYCLING_METHOD,CDH_INTERPOLATION;OTHER_SUPPLY_TRANSFER,CDH_HOURLY_TEMPERATURE_MAPPING_REQUIRED,"Exact A-7/A2/A7 W35 points co-locate minimum capacity, minimum-point COP and non-default current HP KEYMARK Cdh."
B05-P23-R06,DIMPLEX_P9_STRESS_FLOOR_COVERAGE,NOT_FULLY_COVERED_DUE_TO_A_MINUS10_BARRIER,-13.331944,-9.644444,degC,Q,B05-P23,P9_STRESS_DIAGNOSTIC,INTERPOLATE_ACROSS_A_MINUS10_BARRIER,DIMPLEX_A_MINUS10_MINIMUM_ROW_CLASSIFICATION_REQUIRED,"The P9 envelope straddles the known A-10 source gap, so P23 does not claim Dimplex stress-envelope continuity."
B05-P23-R07,DIMPLEX_A_MINUS10_MINIMUM_ROW_CLASSIFICATION_REQUIRED,OPEN,,,state,Q,B05-P23,FUTURE_SOURCE_DIAGNOSIS,ASSUME_ZERO;ASSUME_UNSUPPORTED;ASSUME_CONTINUITY,DIMPLEX_A_MINUS10_MINIMUM_ROW_CLASSIFICATION_REQUIRED,"Need explicit manufacturer semantics for whether the missing A-10 minimum row is unpublished data, test omission or an operating-domain limitation."
B05-P23-R08,MITSUBISHI_COLD_HIGH_SUPPLY_DOMAIN_CLASSIFICATION_REQUIRED,OPEN,,,state,Q,B05-P23,FUTURE_DOMAIN_CLASSIFICATION,BLANK_EQUALS_ZERO;BLANK_EQUALS_UNSUPPORTED,MITSUBISHI_COLD_HIGH_SUPPLY_DOMAIN_CLASSIFICATION_REQUIRED,"P23 does not alter Mitsubishi blank cold/high-supply cells."
B05-P23-R09,CDH_HOURLY_TEMPERATURE_MAPPING_REQUIRED,OPEN,,,state,Q,B05-P23,FUTURE_HOURLY_RUNTIME,LINEAR_CDH_INTERPOLATION;NEAREST_BIN_WITHOUT_AUTHORITY,CDH_HOURLY_TEMPERATURE_MAPPING_REQUIRED,"Two manufacturers now have multiple exact non-default bins; the continuous-hour mapping rule is still unqualified."
B05-P23-R10,Q-B05-004,OPEN_NARROWED_TO_DOMAIN_GAPS_AND_CDH_MAPPING,,,state,Q,B05-P23,PART_LOAD_RESEARCH,GLOBAL_SURFACE_PROMOTION,MITSUBISHI_COLD_HIGH_SUPPLY_DOMAIN_CLASSIFICATION_REQUIRED;DIMPLEX_A_MINUS10_MINIMUM_ROW_CLASSIFICATION_REQUIRED;CDH_HOURLY_TEMPERATURE_MAPPING_REQUIRED,"Second-manufacturer surface is closed. Remaining blockers are explicit domain gaps and continuous-hour Cdh mapping."
