gap_id,state_id,readiness_field,requirement,current_source_ids,current_source_coverage,evidence_status,grain,coverage_scope,allow_for_gate,remaining_gap,pilot_relevance,downstream_modules,status,notes
GAP-B02-S0-GEOGRAPHY,S0,canonical_geography,Auditált régiós/területi kulcs,SRC-B02-KSH-CENSUS-API-2022,KSH WBL011/WBL017 TERUL_GEO3 × TERUL_TELTIP2,OBS,county_x_settlement_type,Materialized WBL projections,yes,DSO/region mapping still required,no,B01;B08;B10,PARTIAL,"KSH/WBL grain; járási nézet kontroll."
GAP-B02-S0-OCCUPANCY,S0,occupied_universe,Lakottság és programalap-univerzum,SRC-B02-KSH-CENSUS-API-2022,KSH WBL DW_OC with TOTAL/DW_NOC controls,OBS,dwelling,Materialized WBL projections,yes,Legal program eligibility remains separate,no,B01;B12,PARTIAL,"DW_OC nem egyenlő programjogosultsággal."
GAP-B02-S0-OBSERVED-ARCHETYPE,S0,observed_archetype_core,Építési kor/falazat/alapterület/komfort/fűtés/tüzelőanyag,SRC-B02-KSH-CENSUS-API-2022,WBL011/WBL017 separate non-crossed projections,OBS,multiple WBL grains,Materialized separate projections,partial,Full common joint is not available,no,B05;B06;B12,PARTIAL,"Margók nem keresztbeszorozhatók."
GAP-B02-S0-BUILDING-TYPE,S0,building_type,Épülettípus,SRC-B02-KSH-ENERGY-2025;SRC-B02-KSH-HOUSING-SURVEY-2015,KSH model categories and 2015 settlement proxy,MODELLED/ASS,building or settlement_type,National model output plus proxy,partial,Proxy cannot be transferred to WBL subcells without validation,no,B01;B05;B06,PARTIAL,"No direct WBL building-type observation."
GAP-B02-S0-ENERGY-BASELINE,S0,baseline_energy_need,Kiinduló energetikai jellemző,SRC-B02-KSH-ENERGY-2025;SRC-B02-KSH-ENERGY-METHOD-2025,KSH published modelled distributions and coverage controls,MODELLED/DER,national_x_building_type_x_period,Published model output,partial,Not a direct measurement and not a full WBL joint,no,B05;B06;B11,PARTIAL,"4 748 published-bin residual remains unknown."
GAP-B02-S0-HEAT-PUMP-FLAG,S0,existing_heat_pump_presence,Meglévő hőszivattyú jelző,SRC-B02-KSH-CENSUS-API-2022,KSH WBL017 HOSZIV=1/0/9,OBS,county_x_settlement_type_x_projection,Materialized baseline projection,no,Presence is not S2/S3 readiness,no,B01;B05;B07,CONTRACTED,"HOSZIV=9 is unknown; no eligibility inference."
GAP-B02-S0-LEGAL-ELIGIBILITY,S0,program_eligibility,Jogi/műszaki/gazdasági jogosultság,,No identified official B02 field or rule that yields program eligibility,Q,archetype_x_region,No verified coverage,no,Eligibility rule and evidence missing,no,B01;B02;B12,GAP,"Must not be filled from census or OÉNY presence."
GAP-B02-S1-DEMAND-BASELINE,S1,pre_intervention_baseline,Azonos definíciójú beavatkozás előtti baseline,SRC-B02-KSH-ENERGY-2025,KSH modelled baseline only,MODELLED,building_type_x_period,Published model output,partial,No phase-linked household/intervention record,no,B05;B06;B12,PARTIAL,"Usable only as baseline model input."
GAP-B02-S1-DEMAND-OUTCOME,S1,post_intervention_outcome,Beavatkozás utáni mérés vagy dokumentált számítás,,No identified source with phase-linked before/after evidence,Q,household_or_archetype_x_phase,No verified source,no,No post-intervention evidence and no non-required gate evidence,yes,B01;B05;B06;B12,GAP,"S1 remains BLOCKED_DATA_GAP."
GAP-B02-S2-HEAT-EMITTER,S2,current_heat_emitter_type,Jelenlegi hőleadó típusa,SRC-B02-OENY-SCHEMA-DICTIONARY-2026;SRC-B02-OENY-VALIDATION-2026;SRC-B02-OENY-FULL-EXAMPLE-2026,OÉNY has photo/PDF evidence potential but no dedicated current type field,Q,certificate_document,No national structured field,no,Requires pilot extraction and later representativeness proof,yes,B05;B06;B12,GAP,"Proposal elements are not current state."
GAP-B02-S2-DESIGN-TEMPERATURE,S2,design_supply_return_temperature,Tervezési előremenő/visszatérő vagy hőfoklépcső,SRC-B02-HU-CERT-RULES-2008;SRC-B02-HU-ENERGY-RULES-2023;SRC-B02-OENY-SCHEMA-DICTIONARY-2026,Legal/calculation requirement and reference values; no dedicated OÉNY pair,Q,certificate_document,No national structured field,partial,PDF extraction may prove document availability but not national distribution,yes,B05;B06,GAP,"55/45 °C reference is not observed building data."
GAP-B02-S2-HEATING-QUALITY,S2,heating_system_quality,Fűtési rendszer minősége,SRC-B02-OENY-SCHEMA-DICTIONARY-2026;SRC-B02-OENY-VALIDATION-2026,OÉNY coarse five-level energetic quality,OBS,certificate,Potentially certificate-level only,partial,Too coarse to prove emitter or low-temperature readiness,no,B05;B06,GAP,"Coarse quality does not satisfy readiness gate."
GAP-B02-S2-HYDRAULIC,S2,hydraulic_readiness,Hidraulika/topológia/szabályozhatóság,,No identified official B02/OÉNY source field,Q,building,No identified source,no,No evidence source,no,B05;B06;B18,GAP,"Requires separate technical survey or source."
GAP-B02-S2-ELECTRICAL,S2,electrical_readiness,Villamos csatlakozás/mérés/headroom,,No identified B02 source; downstream DSO data belongs to B08/B10,Q,building_x_region,No identified B02 source,no,No B02 evidence and no DSO linkage,no,B07;B08;B10,GAP,"Do not infer from heating fuel or HOSZIV."
GAP-B02-S2-PERMIT,S2,permit_readiness,Engedélyezési és kivitelezési előfeltétel,,No identified official B02/OÉNY source field,Q,building_x_phase,No identified source,no,No evidence source,no,B10;B18,GAP,"Requires separate legal/implementation source."
