item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B07-P3-C01,PRODUCT_COHORT_SIZE,MATERIALIZED,2,2,products,OBS/DER,B07-P1/P2/B07-P3,PROGRAMME_PRODUCT_SENSITIVITY,MARKET_SHARE_INFERENCE,,"Two canonical products from VARTA and sonnen."
B07-P3-C02,NOMINAL_CAPACITY_COHORT,QUALIFIED_BOUNDED_ENVELOPE,6.5,11,kWh,OBS,B07-P3,PROGRAMME_SIZING_SENSITIVITY,PRODUCT_SPECIFIC_ASSIGNMENT,,"Comparable source-native nominal capacities only."
B07-P3-C03,MAX_CHARGE_POWER_COHORT,QUALIFIED_BOUNDED_ENVELOPE,2.5,7,kW,OBS,B07-P3,PROGRAMME_POWER_SENSITIVITY,PRODUCT_SPECIFIC_ASSIGNMENT,,"Comparable source-native AC charge power."
B07-P3-C04,MAX_DISCHARGE_POWER_COHORT,QUALIFIED_BOUNDED_ENVELOPE,2.3,7,kW,OBS,B07-P3,PROGRAMME_POWER_SENSITIVITY,PRODUCT_SPECIFIC_ASSIGNMENT,,"Comparable source-native AC discharge power."
B07-P3-C05,WARRANTY_TERM_COHORT,QUALIFIED_CONTRACTUAL_BOUND,10,10,years,OBS,B07-P3,LIFECYCLE_SCENARIO_BOUND,PHYSICAL_DEGRADATION_LAW,VALIDATED_DEGRADATION_MODEL_REQUIRED_FOR_RUNTIME_AGING,"Both canonical products carry 10-year warranty terms."
B07-P3-C06,WARRANTY_RETENTION_COHORT,QUALIFIED_CONTRACTUAL_BOUND,80,80,percent,OBS,B07-P3,LIFECYCLE_SCENARIO_BOUND,LINEAR_DEGRADATION_INTERPOLATION,VALIDATED_DEGRADATION_MODEL_REQUIRED_FOR_RUNTIME_AGING,"Both products state 80% warranty retention; this is not a measured degradation curve."
B07-P3-C07,WARRANTY_CYCLE_COHORT,QUALIFIED_BOUNDED_CONTRACTUAL_ENVELOPE,4000,10000,cycles,OBS,B07-P3,LIFECYCLE_SCENARIO_BOUND,ANNUAL_DEGRADATION_RATE_INFERENCE,VALIDATED_DEGRADATION_MODEL_REQUIRED_FOR_RUNTIME_AGING,"Cycle warranty terms differ and are retained as an interval."
B07-P3-C08,ONE_WAY_RUNTIME_EFFICIENCY,Q,,,ratio,Q,B07-P2,NONE,SQUARE_ROOT_SPLIT;BATTERY_ONLY_TO_SYSTEM_PROMOTION,PRODUCT_SPECIFIC_ONE_WAY_AC_GRID_EFFICIENCY_REQUIRED_FOR_RUNTIME,"VARTA battery-only 97.8% and sonnen whole-system 75-80% are semantically incompatible and are not pooled."
B07-P3-C09,SUPPLY_CHAIN_ORIGIN,PROCUREMENT_POLICY_GAP,,,contract,Q,B07-P3,PROCUREMENT_RISK_LAYER,SOC_PHYSICS_BLOCKER,CELL_INVERTER_UPSTREAM_ORIGIN_REQUIRED_FOR_SUPPLY_CHAIN_CLAIMS,"German manufacturing claims do not prove cell or inverter origin. This gap does not block physical SOC equations."
B07-P3-C10,Q-B07-004,OPEN_NARROWED_TO_RUNTIME_AGING,,,state,Q,B07-P3,CONTRACTUAL_LIFECYCLE_SENSITIVITY,CLAIM_OF_VALIDATED_DEGRADATION_CURVE,VALIDATED_DEGRADATION_MODEL_REQUIRED_FOR_RUNTIME_AGING,"Warranty-backed lifecycle bounds are now materialized, but runtime degradation remains Q."
