source_id,module_id,layer,title,institution,url,reference_period,retrieved_at,source_tier,evidence_status,license_status,local_snapshot_status,notes
SRC-B06-KSH-ENERGY-BASELINE-2025,B06,BASELINE_DEMAND,A magyar lakásállomány primerenergia-igényének becslése,Központi Statisztikai Hivatal,https://www.ksh.hu/s/kiserleti-statisztika/kiadvanyok/a-magyar-lakasallomany-primerenergia-igenyenek-becslese/,2022,2026-08-22,P1,DER,CC BY 4.0; Source: KSH required,not stored,Published model output is baseline context only; no household before/after retrofit measurement.
SRC-B06-HU-ENERGY-RULES-2023,B06,ENVELOPE_PHYSICS,9/2023. (V. 25.) ÉKM rendelet,Nemzeti Jogszabálytár,https://njt.hu/jogszabaly/2023-9-20-8X,current consolidated text,2026-08-22,P1,POL,Official legal text,not stored,Calculation-method reference; reference 55/45 C is not observed building data.
SRC-B06-HU-ENERGY-METHOD-2023,B06,PEAK_LOAD_METHOD,Épületek energetikai jellemzőinek meghatározása – számítási módszer,Energiaügyi Minisztérium,https://kormany.hu/dokumentumtar/epuletek-energetikai-jellemzoinek-meghatarozasa-szamitasi-modszer-2,2023-07-27,2026-08-22,P1,POL,Official government methodology,not stored,Method reference for explicit building geometry, envelope U-values, ventilation and design heat-demand semantics; no national household calibration is claimed.
SRC-B06-PURMO-PLAN-COMPACT-2025,B06,EMITTER_EVIDENCE,PURMO Plan Compact panel radiator technical data,Purmo Group,https://www.purmo.com/au/products/panels/purmo-plan-compact.htm,current manufacturer product page,2026-08-22,P1,OBS,Manufacturer public technical table,not stored,Source-native type/dimension/output/exponent facts; exact shipped-unit manufacturing location is not claimed.
SRC-B06-PURMO-COLUMN-METHOD-2022,B06,EMITTER_EVIDENCE,PURMO radiator thermal-output correction method,Purmo Group,https://www.purmo.com/docs/Purmo-technical-catalogue-column-radiators-Delta-05_2022-EN-web.pdf,2022 technical catalogue,2026-08-22,P1,OBS,Manufacturer public methodology,not stored,Arithmetic/logarithmic mean water-temperature method and exponent semantics; copyrighted PDF is not stored.
SRC-B06-PURMO-GROUP-EU-FOOTPRINT-2021,B06,EMITTER_EVIDENCE,PURMO Group radiator manufacturing footprint,Purmo Group,https://purmogroup.com/wp-content/uploads/2021/12/Purmo-CMD-presentation.pdf,2021 corporate presentation,2026-08-22,P1,OBS,Manufacturer public corporate information,not stored,Group-level EU manufacturing locations only; no exact shipped-unit origin inference.
SRC-B06-HU-LTRS-2021,B06,SUPPLY_TEMPERATURE_EFFECT,Hosszú Távú Felújítási Stratégia,Innovációs és Technológiai Minisztérium,https://energy.ec.europa.eu/system/files/2021-08/hu_2020_ltrs_en_0.pdf,2021-2050,2026-08-22,P1,POL,Official government strategy hosted by the European Commission,not stored,Lower-temperature emitter context; no national retrofit effect surface.
SRC-B06-ENGINE-CONTRACT-2026,B06,PHYSICAL_OUTPUT,B06 physical retrofit engine contract and derived outputs,Anonymoos-Rommel/hoszivattyu-akkumulator-orszagos-modell,https://github.com/Anonymoos-Rommel/hoszivattyu-akkumulator-orszagos-modell,engine contract,2026-08-22,P4,DER,Repository contract,not stored,Sequential annual/peak formulas and B05 handoff contract; not external retrofit-effect evidence.
SRC-B06-JRC-HVAR-2018,B06,ENVELOPE_PHYSICS,Energy efficiency in European zero-energy district case studies – Hvar Island case study,European Commission Joint Research Centre,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC115188/kjna29734enn.pdf,2012-2013,2026-08-22,P1,DER,European Commission publication; reuse with attribution,not stored,JRC case-study table reports before/after annual heat demand for five private dwellings and six public buildings; intervention packages combine envelope and sometimes heating-system measures; no design-peak series.
SRC-B06-EC-CONCERTO-EXEC-2010,B06,ENVELOPE_PHYSICS,Overall energy performance of the 26 CONCERTO communities – executive summary,AIT Austrian Institute of Technology / European Commission CONCERTO,https://smart-cities-marketplace.ec.europa.eu/sites/default/files/2021-03/CONCERTO-OVERALL_ENERGY_PERFORMANCE_OF_THE_26_COMMUNITIES_EXECUTIVE_SUMMARY.pdf,2010,2026-08-22,P1,DER,European Commission co-funded report; reuse with attribution,not stored,Program-level design-data comparison uses EUROSTAT HDD18/15 correction; heating figures explicitly include DHW preparation, so not directly usable as isolated space-heating effect.
SRC-B06-REHVA-TIMISOARA-2012,B06,ENVELOPE_PHYSICS,Calculated and measured energy use before and after thermal renovation for Romanian apartment buildings,REHVA Journal / Politehnica University of Timisoara,https://build-up.ec.europa.eu/sites/default/files/content/Mrs%20Brata.pdf,2012,2026-08-22,P2,OBS,Public article hosted by EU BUILD UP; reuse with attribution,not stored,Five Timisoara blocks report measured heating and separately estimated/measured DHW ranges before and after envelope/system works; the source does not provide weather-normalized before/after savings.
SRC-B06-EC-DECARBONAITE-UDDEVALLA-2023,B06,ENVELOPE_PHYSICS,DecarbonAIte: advancing sustainable building renovation in Sweden through AI,European Commission BUILD UP / DecarbonAIte,https://build-up.ec.europa.eu/en/resources-and-tools/articles/technical-article-decarbonaite-advancing-sustainable-building,2023,2026-08-22,P2,OBS,Public EU BUILD UP article; reuse with attribution,not stored,Measured pre/post heating energy was used for calibration and the article reports a 16% measured reduction, but the 2017 and 2020 climates differ and no normalized peak load is published.
SRC-B06-JRC-RENOVATION-METHOD-2024,B06,ENVELOPE_PHYSICS,Energy performance of buildings – renovation measurement and normalisation guidance,European Commission Joint Research Centre,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC139118/JRC139118_01.pdf,2024,2026-08-22,P1,DER,European Commission publication; reuse with attribution,not stored,Method guidance requires weather, occupancy, operation and end-use separation; Eurostat HDD/long-period correction is a method boundary, not an intervention effect.
SRC-B06-HU-OFP-RRF-2024,B06,STATE_GATE,Otthonfelújítási Program RRF-REP-10.13.1-24,Magyar Fejlesztési Bank,https://www.mfb.hu/kozlemenyek/megjelent-az-otthonfelujitasi-program-lakossagi-energiahatekonysagi-beruhazasok-n1513,2024 programme,2026-09-20,P1,POL,Official public webpage; reuse terms require verification,not stored,"Official Hungarian programme rule: at least 30% primary-energy reduction from the pre-project state must be achieved as a result of the financed retrofit and supported by a Hiteles Energetikai Tanúsítvány. Programme threshold authority only; not a universal physical effect factor."
SRC-B06-HU-OFP-KEHOP-2026,B06,STATE_GATE,Energiamegtakarítást célzó otthonfelújítási programok családi házakhoz Budapesten és vidéken,Magyar Fejlesztési Bank,https://www.mfb.hu/energiamegtakaritast-celzo-otthonfelujitasi-programok-csaladi-hazakhoz-budapesten-es-videken-s2830,2026 current programme,2026-09-20,P1,POL,Official public webpage; reuse terms require verification,not stored,"Current Hungarian programme authority: supported projects must demonstrably achieve at least 30% primary-energy savings per building; failure after implementation can trigger recovery of financing. Record-level verification semantics; not national completed-project microdata."
SRC-B06-HU-RENOPONT-KESZTHELY,B06,ENVELOPE_PHYSICS,Társasház felújítás Keszthelyen,Budapest Főváros / RenoPont,https://budapest.hu/api/file/doc/ta-rsasha-zi-laka-sok-a4-ka-zika-nyv-jav.pdf,2017-2018 case,2026-09-20,P2,DER,Public municipal PDF; reuse terms require verification,not stored,"Bounded Hungarian case: reported energy performance changed from 220 to 126-129 kWh/m2a and heat-centre settlement showed 41-42.5% saving versus 2017. Calibration/context only; no national factor and no design-peak authority."
SRC-B06-HU-RENOPONT-FAMILY-3600-1600,B06,ENVELOPE_PHYSICS,Két generációs családi ház a 80-as évekből,Budapest Főváros / RenoPont,https://budapest.hu/api/file/doc/aha-energia-csaladi-hazak-kezikonyv.pdf,case year not stated,2026-09-20,P2,OBS,Public municipal PDF; reuse terms require verification,not stored,"Bounded Hungarian case reports annual gas use decreasing from 3600 to 1600 m3 (56%) after a combined envelope retrofit. Weather normalisation and DHW separation are not stated; therefore the measured effect remains non-admissible as a generic engine factor."
SRC-B06-HU-ZALAVAR-HET-ZBR-2015,B06,BASELINE_DEMAND,HET-00259140 / ZBR EH 09 pre-renovation calculation,Összefog / OÉNY-linked public certificate package,https://www.osszefog.hu/doc/6_melleklet_zalavar_u_4_hiteles_energetikai_tanusitvany.pdf,2015-04-21,2026-09-20,P2,DER,Public PDF; reuse terms require verification,not stored,"Real Hungarian 19-dwelling residential building. Same explicitly labelled pre-renovation phase contains qF=145.9 kWh/m2a, heated area 1419.6 m2 and source-native estimated design heat demand 132.35 kW with 20/-13 C design temperatures. Bounded calibration only; no national extrapolation."
SRC-B06-HU-EKR-18-2025,B06,BASELINE_DEMAND,18/2025. (VII. 31.) EM rendelet consolidated EKR execution rules,Nemzeti Jogszabálytár,https://njt.hu/jogszabaly/2025-18-20-8Y,current consolidated text,2026-09-20,P1,POL,Official legal text,not stored,"Current legal authority that annual heating demand/consumption can be evidenced at building level including via hiteles energetikai tanúsítvány under the detailed method. This is annual-demand authority, not design-peak authority."
SRC-B06-HU-ZALAVAR-ZBR-PRE-2015,B06,PHYSICAL_OUTPUT,ZBR EH 09 existing-state calculation for Zalavár u. 4,Összefogás Lakásszövetkezet / public project package,https://www.osszefog.hu/doc/3_melleklet_zalavar_4__energetikai_felmeres_meglevo_allapot.pdf,2015 pre-renovation,2026-09-20,P2,DER,Public PDF; reuse terms require verification,not stored,"Explicit PRE_RETROFIT state for the same 19-dwelling building. Source-native QF,1=207172 kWh/a net annual heating demand and estimated design heat demand 132.35 kW at 20/-13 C."
