component_id,module_id,layer,status,readiness_percent,source_ids,notes
PERFORMANCE_MAP,B05,PHYSICAL_PERFORMANCE,PARTIAL,80,SRC-B05-VAILLANT-AROTHERM-SPLIT-2019;SRC-B05-VAILLANT-AROTHERM-PLUS-2020;SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022;SRC-B05-STIEBEL-HPA-O-P4-COLD-2025;SRC-B05-VAILLANT-SPLIT-EU-ORIGIN-2019;SRC-B05-VAILLANT-PLUS-EU-ORIGIN-2020;SRC-B05-STIEBEL-EU-ORIGIN-2026;SRC-B05-NIBE-S2125-IHB;SRC-B05-TEKNOPOINT-ATHENA-R32-2025;SRC-B05-ECPOWER-PMH-2023;SRC-B05-WAMAK-AWK35-EVI-2026,"P13 adds a WAMAK AWK 35 EVI admitted -22..-10 C x W35..W55 rectangle and closes Q-B05-001 for the declared physical model domain. A-22/W55 source input conflict is preserved fail-closed and canonical input is DER from source capacity/COP. No readiness percentage uplift is minted; runtime defrost/cycling/DHW gates remain independent."
THERMAL_DEMAND_INTERFACE,B05,THERMAL_DEMAND_INTERFACE,PARTIAL,45,,Explicit interface exists; B02/B06 demand evidence is unresolved.
WEATHER_INPUT,B05,WEATHER_INPUT,PARTIAL,75,SRC-B05-HUNGARY-HOURLY-HIST-2026;SRC-B05-HUNGARY-HOURLY-DESC-2026;SRC-B05-HUNGARY-STATION-META-2026;SRC-B05-HUNGARY-ODP-TERMS-2026,"B05-P9 materializes 104 complete Dec-Feb winter blocks across five canonical HungaroMet stations, with exact hourly completeness and raw-archive SHA256 provenance. Spatial/population weighting and future climate frequency remain outside the observed station layer."
PART_LOAD_MODULATION,B05,OPERATING_CONFIG,PARTIAL,45,SRC-B05-VAILLANT-AROTHERM-PLUS-2020;SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022;SRC-B05-VAILLANT-DEFROST-2026;SRC-B05-VAILLANT-CONTROLS-CYCLING-2026;SRC-B05-EN14825-CDH-2022;SRC-B05-HPKEYMARK-VAILLANT-PLUS-M-2026;SRC-B05-HPKEYMARK-BOSCH-CS5800I-2026;SRC-B05-UK-HEM-TP12-2026;SRC-B05-VAILLANT-PLUS-VWL85-MINMAX-2026;SRC-B05-BOSCH-CS5800I-MODULATION-2024;SRC-B05-SEAI-DEAP-CDH-METHOD-2019;SRC-B05-SEAI-DEAP-HEATPUMP-2024;SRC-B05-AMITIME-PAVH06-DISTRIBUTOR-RANGE-2026;SRC-B05-HPKEYMARK-AMITIME-PAVH06-2026;SRC-B05-MITSUBISHI-PUZ-WM-MINNOMMAX-2024;SRC-B05-HPKEYMARK-MITSUBISHI-WM50-2026;SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020;SRC-B05-MITSUBISHI-ERP-WM50-CDH-2026;SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026;SRC-B05-HPKEYMARK-DIMPLEX-LA2030CP-2026;SRC-B05-UK-HEM-TP12-HOURLY-ONOFF-2026;SRC-B05-UK-HEM-RUST-ONOFF-CONSTANTS-2026;SRC-B05-UK-SAP-CALCM01-ONOFF-DEFAULTS-2017;SRC-B05-MITSUBISHI-WM50-OUTLET-ENVELOPE-2025,"P27 repairs the internal semantics of Q-B05-004 without closing the umbrella question or minting readiness. PRODUCT_LEVEL_EVIDENCE is resolved bounded for current qualified Mitsubishi/Dimplex surfaces; COORDINATE_COVERAGE and OBS_HOURLY_TRANSIENT_FIDELITY remain open. PART_LOAD_MODULATION stays 45 because the Mitsubishi A-15/W50 and Dimplex A-10 coverage gaps, fan-coil doc/code divergence and product-specific tau_eq remain real."
OPERATING_ENVELOPE,B05,PHYSICAL_PERFORMANCE,PARTIAL,55,SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022;SRC-B05-STIEBEL-EU-ORIGIN-2026;SRC-B05-NIBE-S2125-IHB;SRC-B05-TEKNOPOINT-ATHENA-R32-CURRENT-2026;SRC-B05-ECPOWER-PMH-2023;SRC-B05-WAMAK-AWK35-EVI-2026,"WAMAK AWK 35 EVI source performance begins at -22 C and the product sheet lists source operating limit -22 C and heating-water limit 65 C. P13 admits exact performance only inside the -22..-10 C x W35..W55 source rectangle; limits are not extrapolated."
PRODUCT_DIVERSITY,B05,PHYSICAL_PERFORMANCE,PARTIAL,45,SRC-B05-VAILLANT-AROTHERM-SPLIT-2019;SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022;SRC-B05-VAILLANT-SPLIT-EU-ORIGIN-2019;SRC-B05-STIEBEL-EU-ORIGIN-2026;SRC-B05-NIBE-S2125-IHB;SRC-B05-TEKNOPOINT-ATHENA-R32-2025;SRC-B05-ECPOWER-PMH-2023,"Five manufacturer families contribute bounded physical evidence. P11/P12 provide two different manufacturers with complete B05-admissible cold W35..W55 surfaces across -15..-7 C. Product counts remain forbidden as market-share weights; EC POWER Hungarian sales/procurement presence is not claimed."
DEFROST,B05,OPERATING_CONFIG,Q,5,SRC-B05-JRC-EN14511-EN14825-2017;SRC-B05-STIEBEL-DEFROST-2026;SRC-B05-VAILLANT-DEFROST-2026;SRC-B05-EN14511-1-DEFROST-2022;SRC-B05-EN14511-1-DEFROST-2011;SRC-B05-HPKEYMARK-ANNEXA-2026;SRC-B05-VAILLANT-SPLIT-DEFROST-DESIGN-2026,"P14 qualifies the EN14511 point-accounting boundary: defrost heat/electric effects occurring inside a rating interval belong in the rated capacity/effective-input accounting, so a second universal penalty is forbidden for explicitly EN14511-tagged points. The separate weather-driven runtime model remains Q: no product-specific Hungarian event frequency, duration, heat/electricity penalty or auxiliary interaction surface is admitted. NIBE P10 curves remain explicitly defrost-excluded; Vaillant UK 12-15% is context only. No readiness uplift."
DHW_MODE,B05,THERMAL_DEMAND_INTERFACE,PARTIAL,30,SRC-B05-JRC-EN14511-EN14825-2017,Separate load and supply fields exist; priority/mode data remain Q.
PRODUCT_SCALING,B05,PHYSICAL_PERFORMANCE,Q,0,SRC-B05-EPREL-2026,No linear scaling from one product to all 6/8/10/12/16 kW units.
WEATHER_SOURCE,B05,WEATHER_INPUT,VALIDATED,100,SRC-B05-HUNGARY-HOURLY-HIST-2026;SRC-B05-HUNGARY-HOURLY-DESC-2026;SRC-B05-HUNGARY-STATION-META-2026;SRC-B05-HUNGARY-ODP-TERMS-2026,Official HungaroMet ODP historical hourly family, schema semantics, station metadata and use terms inspected.
