manifest_id,request_stage,field_name,field_id,schema_path,requested_output,required_grain,required_or_optional,privacy_limit,acceptance_link,status,notes
P1L-META-001,dictionary_and_version,dictionary_and_schema_metadata,P1K-001,$schema,"A P1K séma 1.0 adatszótára, kódtáblái, verziója és változástörténete; csak meglévő dokumentáció",schema_version,required,"Nem kér belső rendszerkulcsot vagy exportot",P1K-001,IN_SCOPE,"A metadata-kérés nem új adatbázis-lekérdezés."
P1L-META-002,sampling_note,sample_frame_and_strata,P1K-004;P1K-005;P1K-006;P1K-007,"$.coarse_geography;$.building_category;$.construction_period_band;$.heated_floor_area_band","A pilot kiválasztási kerete és a disclosure-safe rétegzés rövid leírása",coarse_region_x_settlement_type_x_building_category_x_period_band,required,"Nincs cím, koordináta, HET-ID vagy ritka cella",P1K-004;P1K-005;P1K-006;P1K-007,IN_SCOPE,"Súlyokat vagy országos reprezentativitási garanciát nem kérünk."
P1L-META-003,privacy_note,suppression_and_reidentification_note,P1K-004;P1K-005;P1K-006;P1K-007;P1K-022,"$.coarse_geography;$.building_category;$.construction_period_band;$.heated_floor_area_band;$.pii_check","A szolgáltató alkalmazott cellaelnyomási/összevonási szabálya és a ritka kombinációk kezelése",release_cell_and_record,required,"A szolgáltató saját disclosure-control szabálya irányadó; k-számot nem feltételezünk",P1K-004;P1K-005;P1K-006;P1K-007;P1K-022,IN_SCOPE,"Ha nem igazolható a kockázatkezelés, a pilot nem vehető át."
P1L-001,dictionary_and_counts,schema_version,P1K-001,$.schema_version,"Mező létezése, const 1.0, séma-/exportverzió",all_records,required,"Csak technikai verziójelző",P1K-001,IN_SCOPE,"Eltérő verzió esetén nincs intake."
P1L-002,dictionary_and_counts,pilot_record_id,P1K-002,$.pilot_record_id,"Technikai ID formátuma és egyediségi szabálya",pilot_record,required,"Nem visszafejthető; nincs kulcstábla",P1K-002,IN_SCOPE,"A manifest nem kér konkrét ID-listát a dictionary-szakaszban."
P1L-003,dictionary_and_counts,reference_year,P1K-003,$.reference_year,"Definíció, megengedett tartomány, rekordszám és hiányarány",record_x_year,required,"Év csak; hónap/nap nem kérendő",P1K-003,IN_SCOPE,"Érvénytelen vagy hiányzó év nem imputálható."
P1L-004,dictionary_and_counts,coarse_geography,P1K-004,$.coarse_geography,"Kódkönyv, kategória, rekordszám és hiányarány",coarse_region_x_settlement_type,required,"Durva kategória; exact address/coordinate tilos",P1K-004,IN_SCOPE,"Ritka területi cella elnyomandó vagy összevonandó."
P1L-005,dictionary_and_counts,building_category,P1K-005,$.building_category,"Enum, definíció, rekordszám és hiányarány",record_x_building_category,required,"Csak séma-enum; szabad szöveg tilos",P1K-005,IN_SCOPE,"NOT_STATED nem alakítható át becsléssé."
P1L-006,dictionary_and_counts,construction_period_band,P1K-006,$.construction_period_band,"Sávkód, kódkönyv, rekordszám és hiányarány",record_x_period_band,required,"Durva sáv; pontos dátum nem kérendő",P1K-006,IN_SCOPE,"Ad hoc sáv vagy imputálás nem elfogadható."
P1L-007,dictionary_and_counts,heated_floor_area_band,P1K-007,$.heated_floor_area_band,"Sávkód, kódkönyv, rekordszám és hiányarány",record_x_floor_area_band,required,"Durva sáv; pontos alapterület nem kérendő",P1K-007,IN_SCOPE,"Ritka cella összevonandó."
P1L-008,dictionary_and_counts,heating_system_quality,P1K-008,$.heating_system_quality,"Enum, definíció, rekordszám és hiányarány",record_x_certificate,required,"Nincs tanúsítvány-/ingatlanazonosító",P1K-008,IN_SCOPE,"Nem emitter- vagy readiness-mező."
P1L-009,dictionary_and_counts,heating_energy_carrier,P1K-009,$.heating_energy_carrier,"Enum, definíció, rekordszám és hiányarány",record_x_carrier,required,"Kategória; fogyasztási adat nem kérendő",P1K-009,IN_SCOPE,"Nem kérünk mérőadatot."
P1L-010,pilot,emitter_status,P1K-010,$.emitter_status,"Státusz minden rekordhoz",certificate_or_document,required,"Csak explicit evidence; nincs dokumentum vagy fotó",P1K-010,IN_SCOPE,"Q/NOT_IN_SOURCE megengedett."
P1L-011,pilot,emitter_types,P1K-011,$.emitter_types,"Enumlista minden rekordhoz",certificate_or_document,required,"Nincs szabad szöveg, fotó vagy PDF",P1K-011,IN_SCOPE,"Jelenlegi, nem tervezett hőleadó."
P1L-012,pilot,emitter_evidence,P1K-012,$.emitter_evidence,"Evidence enum és coverage",certificate_or_document,required,"Csak bizonyítéktípus-kód",P1K-012,IN_SCOPE,"PHOTO_EXPLICIT nem jelent fotóátadást."
P1L-013,pilot,temperature_status,P1K-013,$.temperature_status,"Státusz és evidence-basis coverage",certificate_or_document,required,"Nincs kép, PDF vagy mérőazonosító",P1K-013,IN_SCOPE,"Reference assumption nem OBS."
P1L-014,pilot,supply_temperature_c,P1K-014,$.supply_temperature_c,"°C érték vagy explicit hiány",record_x_temperature_basis,required,"Párban; nincs ingatlan- vagy mérőazonosító",P1K-014,IN_SCOPE,"Szintetikus 55/45 érték tilos."
P1L-015,pilot,return_temperature_c,P1K-015,$.return_temperature_c,"°C érték vagy explicit hiány",record_x_temperature_basis,required,"Párban; nincs ingatlan- vagy mérőazonosító",P1K-015,IN_SCOPE,"Supply-ból nem számítható vissza."
P1L-016,pilot,temperature_basis,P1K-016,$.temperature_basis,"Basis enum minden nem-null hőfokhoz",record_x_temperature_basis,required,"Csak basis-kód",P1K-016,IN_SCOPE,"Nem bizonyít üzemi működést."
P1L-017,pilot,demand_reduction_status,P1K-017,$.demand_reduction_status,"S1 státusz és explicit hiány",household_or_archetype_x_phase,required,"Nincs household/linkage key",P1K-017,IN_SCOPE,"Várhatóan Q/NOT_IN_SOURCE."
P1L-018,pilot,hydraulic_readiness_status,P1K-018,$.hydraulic_readiness_status,"S2 státusz és explicit hiány",building_x_technical_evidence,required,"Nincs tervrajz, cím vagy szabad szöveg",P1K-018,IN_SCOPE,"Nem inferálható emitterből."
P1L-019,pilot,electrical_readiness_status,P1K-019,$.electrical_readiness_status,"S2 státusz és explicit hiány",building_x_region,required,"Nincs DSO-ügyféladat vagy pontos hálózati pont",P1K-019,IN_SCOPE,"Nem inferálható energiahordozóból."
P1L-020,pilot,permit_readiness_status,P1K-020,$.permit_readiness_status,"S2 státusz és explicit hiány",building_x_phase,required,"Nincs engedélyszám, cím vagy dokumentum",P1K-020,IN_SCOPE,"Nem kérünk jogi minősítést."
P1L-021,pilot,evidence_pages,P1K-021,$.evidence_pages,"Dokumentumalapú OBS oldal/ref coverage",record_x_source_page,optional,"Csak oldalszám/ref; dokumentum nem kerül átadásra",P1K-021,IN_SCOPE,"Structured-only rekordnál üres tömb megengedett."
