item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,role,forbidden_use,residual_gap,notes
B02-P107-U01,HUN_2025_INVERT_EXTRACT,RESOLVED_NUMERIC_HUN_2025_SURFACE,1358,1358,archetype_rows,SCN,SRC-B02-TUWIEN-INVERT-EU27-STOCK-2026,MODEL_SURFACE_MATERIALIZATION,OBSERVED_WINDOW_STOCK,,Exact HUN 2025 rows extracted from source MD5 71e630ff7c575507d385208ba832513a.
B02-P107-U02,HUN_2025_MODEL_DWELLING_WEIGHT,QUALIFIED_MODEL_WEIGHT,3515973,3515973,dwelling_weight,SCN,SRC-B02-TUWIEN-INVERT-EU27-STOCK-2026,MODEL_POPULATION_WEIGHT,CANONICAL_OCCUPIED_DWELLING_DENOMINATOR,COMPONENT_SPECIFIC_WINDOW_REPLACEMENT_PERFORMANCE_BRIDGE_REQUIRED,"Model dwelling weight is 87.7120378711% of canonical B02 occupied universe 4,008,541; no denominator equivalence claimed."
B02-P107-U03,BASE_GENERATION_SHARE,QUALIFIED_MODEL_GENERATION,0.78060144186,0.78060144186,share,SCN,SRC-B02-TUWIEN-INVERT-EU27-STOCK-2026;SRC-B02-INVERT-FLEX-RENOVATION-GENERATION-2023,MODEL_GENERATION_STRUCTURE,WINDOW_REPLACEMENT_SHARE,COMPONENT_SPECIFIC_WINDOW_REPLACEMENT_PERFORMANCE_BRIDGE_REQUIRED,"1002 no-suffix rows are base generation under source naming semantics; not a replaced-window class."
B02-P107-U04,GEN2_SHARE,QUALIFIED_MODEL_RENOVATION_GENERATION,0.219398438931,0.219398438931,share,SCN,SRC-B02-TUWIEN-INVERT-EU27-STOCK-2026;SRC-B02-INVERT-FLEX-RENOVATION-GENERATION-2023,MODEL_RENOVATION_STRUCTURE,WINDOW_REPLACEMENT_SHARE,COMPONENT_SPECIFIC_WINDOW_REPLACEMENT_PERFORMANCE_BRIDGE_REQUIRED,"356 gen2 rows. Renovation generation is whole-building model state and not component-specific window replacement."
B02-P107-U05,BASE_GENERATION_DWELLING_WEIGHTED_UEFF,QUALIFIED_MODEL_METRIC,3.95483899117,3.95483899117,W/m2K,DER,SRC-B02-TUWIEN-INVERT-EU27-STOCK-2026,MODEL_WINDOW_VALIDATION,OBSERVED_REPLACED_WINDOW_UW,COMPONENT_SPECIFIC_WINDOW_REPLACEMENT_PERFORMANCE_BRIDGE_REQUIRED,"Area-weighted model coefficient; base generation min-max 1.06135690212..5.09236001968."
B02-P107-U06,GEN2_DWELLING_WEIGHTED_UEFF,QUALIFIED_MODEL_METRIC,4.2734375,4.2734375,W/m2K,DER,SRC-B02-TUWIEN-INVERT-EU27-STOCK-2026,MODEL_WINDOW_VALIDATION,OBSERVED_REPLACED_WINDOW_UW,COMPONENT_SPECIFIC_WINDOW_REPLACEMENT_PERFORMANCE_BRIDGE_REQUIRED,"Gen2 mean is 0.31859850883 W/m2K higher than base mean in this 2025 model composition; therefore generation cannot be used as a window-improvement monotonic proxy."
B02-P107-U07,MODEL_ROWS_AT_OR_BELOW_1_10,NEW_CONSTRUCTION_ONLY,3,3,archetype_rows,DER,SRC-B02-TUWIEN-INVERT-EU27-STOCK-2026,MODEL_REFERENCE_TARGET_AUDIT,REPLACED_WINDOW_COMPLIANCE_SHARE,COMPONENT_SPECIFIC_WINDOW_REPLACEMENT_PERFORMANCE_BRIDGE_REQUIRED,"Only three rows meet U_eff <=1.10: New_MFH_1_MFH with construction years 2020, 2022 and 2025; combined model dwelling weight 964.809265137. Gen2 has zero qualifying rows."
B02-P107-U08,MODEL_TO_OBS_REPLACED_WINDOW_CALIBRATION,REJECTED_SEMANTIC_MISMATCH,,,state,Q,B02-P106;B02-P107,EVIDENCE_ROUTE_REJECTION,GENERATION_AS_WINDOW_REPLACEMENT_LABEL,COMPONENT_SPECIFIC_WINDOW_REPLACEMENT_PERFORMANCE_BRIDGE_REQUIRED,"TARKI-REKK window-replaced OBS cannot be calibrated directly to whole-building Invert renovation generations without a component-specific window-action bridge."
B02-P107-U09,INVERT_HUN_RENOVATION_GENERATION_WINDOW_SURFACE_EXTRACT_REQUIRED,RESOLVED_EXECUTABLE_NUMERIC_EXTRACT,,,state,SCN,B02-P107,BLOCKER_CLOSURE,CLAIM_EXTRACT_STILL_MISSING,,"Raw binary is not committed; source MD5 is pinned and derived HUN CSVs are committed."
B02-P107-U10,NATIONAL_P102_BOUND_EFFECT,UNCHANGED_ROUTE_REJECTED_FOR_POPULATION_PROMOTION,0.8278610299446981,0.9844857269628596,share,ASS,B02-P102;B02-P107,PROGRAMME_ACTION_CALIBRATION,NUMERIC_TIGHTENING_FROM_INVERT_GENERATION,CURRENT_REPLACED_WINDOW_COMPLIANCE_POPULATION_SURFACE_REQUIRED,"No national tightening from P107; HP_ONLY remains [0,17.2138970055%]."
