evidence_id,claim,scope,observation_period,lower_bound,upper_bound,unit,evidence_status,authority,role,forbidden_use,residual_gap,notes
B02-P99-E01,FACADE_INSULATION_LAST_12_MONTHS,HUNGARY_RESIDENTIAL,2022,0.037,0.037,share,OBS/DER,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,BINDING_NATIONAL_ACTION_COMPONENT,REFERENCE_PROGRAMME_ACTION_SHARE;2026_POINT_RATE,,"TARKI-REKK representative national survey; previous 12 months relative to October 2022."
B02-P99-E02,ROOF_INSULATION_LAST_12_MONTHS,HUNGARY_RESIDENTIAL,2022,0.024,0.024,share,OBS/DER,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,BINDING_NATIONAL_ACTION_COMPONENT,REFERENCE_PROGRAMME_ACTION_SHARE;2026_POINT_RATE,,"Source-native recent action share; overlap with other envelope actions is not published."
B02-P99-E03,ATTIC_FLOOR_INSULATION_LAST_12_MONTHS,HUNGARY_RESIDENTIAL,2022,0.041,0.041,share,OBS/DER,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,BINDING_NATIONAL_ACTION_COMPONENT,REFERENCE_PROGRAMME_ACTION_SHARE;2026_POINT_RATE,,"Source-native recent action share."
B02-P99-E04,WINDOW_REPLACEMENT_LAST_12_MONTHS,HUNGARY_RESIDENTIAL,2022,0.082,0.082,share,OBS/DER,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,BINDING_NATIONAL_ACTION_COMPONENT,REFERENCE_PROGRAMME_ACTION_SHARE;2026_POINT_RATE,,"Source-native recent action share."
B02-P99-E05,ANY_MAJOR_ENVELOPE_ACTION_LAST_12_MONTHS,HUNGARY_RESIDENTIAL,2022,0.082,0.184,share,DER,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,BOUNDED_NATIONAL_ACTION_RATE,POINT_RATE_FROM_SUM;INDEPENDENCE_ASSUMPTION,,"With unknown overlap across facade/roof/attic/window measures, sharp generic union bounds are max(marginals)=0.082 and min(1,sum)=0.184. No midpoint is admitted."
B02-P99-E06,INSULATED_FACADE_STOCK_STATE,HUNGARY_RESIDENTIAL,2022,0.35,0.35,share,OBS/DER,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,CURRENT_STATE_CALIBRATION,REFERENCE_U_COMPLIANCE;REFERENCE_PROGRAMME_ACTION_SHARE,REFERENCE_PROGRAMME_ENVELOPE_ACTION_SELECTION_CROSSWALK_REQUIRED,"TARKI-REKK source comparison reports 35.0% insulated facade in 2022. Survey insulation status does not prove current legal/reference U compliance."
B02-P99-E07,INSULATED_ATTIC_OR_CEILING_STOCK_STATE,HUNGARY_RESIDENTIAL,2022,0.297,0.297,share,OBS/DER,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,CURRENT_STATE_CALIBRATION,REFERENCE_U_COMPLIANCE;REFERENCE_PROGRAMME_ACTION_SHARE,REFERENCE_PROGRAMME_ENVELOPE_ACTION_SELECTION_CROSSWALK_REQUIRED,"Source comparison reports 29.7% insulated attic/ceiling state in 2022."
B02-P99-E08,WINDOW_REPLACED_STOCK_STATE,HUNGARY_RESIDENTIAL,2022,0.527,0.527,share,OBS/DER,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,CURRENT_STATE_CALIBRATION,REFERENCE_U_COMPLIANCE;REFERENCE_PROGRAMME_ACTION_SHARE,REFERENCE_PROGRAMME_ENVELOPE_ACTION_SELECTION_CROSSWALK_REQUIRED,"Source comparison reports 52.7% window replacement state in 2022; replacement status does not identify U-value."
B02-P99-E09,BUDAPEST_ENVELOPE_RENOVATION_PATTERN,BUDAPEST_OWNER_OCCUPIED,2023,,,structural validation,OBS/DER,SRC-B02-BUDAPEST-CARES-HOUSEHOLD-SURVEY-2023,INDEPENDENT_REGIONAL_VALIDATION,HUNGARIAN_NATIONAL_PREVALENCE;NUMERIC_NATIONAL_BINDING,,"Representative 2009-household Budapest survey: family-house last-10-year actions include 94 window/door changes and 47 partial/full external-wall insulation mentions; pre-1991 houses prioritize insulation/window actions. Counts are not promoted to national shares."
B02-P99-E10,RECENT_EKR_ATTIC_FLOOR_IMPLEMENTATION,HUNGARY_PROGRAMME,2025-09_TO_2026-02,50000,50000,property,OBS/POL,SRC-B02-HU-EKR-ATTIC-IMPLEMENTATION-2026,RECENT_REALIZED_IMPLEMENTATION_VALIDATION,NATIONAL_ANNUAL_RATE;B02_SCOPE_RATE_WITHOUT_DENOMINATOR_ALIGNMENT,,"Official 2026-02-04 government statement reports free attic-floor insulation realized in 50,000 properties under EKR. This proves recent scale/activity, not a comparable stock-wide annual action share."
B02-P99-E11,CURRENT_RENOVATION_MONITORING_SYSTEM,HUNGARY,2025-2026,,,state,DER,SRC-B02-HU-MEHI-RENOVATION-DATA-GAPS-2025,NEGATIVE_CURRENT_DATA_BOUNDARY,CLAIM_OF_RELIABLE_2026_NATIONAL_ANNUAL_RATE,CURRENT_COMPARABLE_NATIONAL_RATE_UPDATE_IF_POINT_ESTIMATE_REQUIRED,"MEHI reports that the planned Building Renovation Monitoring System has not been implemented and renovation data remain fragmented in frequency and quality; reliable annual renovation-rate measurement is not currently available."
B02-P99-E12,FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED,PARTIAL_RESOLVED_FRESH_MULTI_SOURCE_ACTION_EVIDENCE,HUNGARY,2022-2026,,,state,OBS/DER/POL,B02-P99,CURRENT_EVIDENCE_PLANE,CLAIM_OF_2026_POINT_ACTION_MIX;DIRECT_REFERENCE_PROGRAMME_SPLIT,REFERENCE_PROGRAMME_ENVELOPE_ACTION_SELECTION_CROSSWALK_REQUIRED,"Fresh national direct action evidence now exists and is independently validated by regional survey/current realized programme evidence. The remaining problem is semantic/model crosswalk from observed envelope state/action evidence to the future HP_ONLY versus REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP selection set."
B02-P99-E13,Q-B02-004,OPEN_NARROWED,HUNGARY_REFERENCE_PROGRAMME,2026,,,state,Q,B02-P99,LAYERED_SET_PROPAGATION,CLAIM_OF_COMPLETE_PROGRAMME_ACTION_ASSIGNMENT,REFERENCE_PROGRAMME_ENVELOPE_ACTION_SELECTION_CROSSWALK_REQUIRED,"P99 supersedes the generic fresh-evidence blocker. Q-B02-004 remains open on the explicit action-selection crosswalk; independent B05 product-map gaps remain governed outside this evidence residual."
