item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B05-P25-R01,HEM_DEFAULT_TAU_EQ,QUALIFIED_DEFAULT_SCENARIO,140,140,s,POL,SRC-B05-UK-SAP-CALCM01-ONOFF-DEFAULTS-2017;SRC-B05-UK-HEM-RUST-ONOFF-CONSTANTS-2026,EXPLICIT_HEM_DEFAULT_SCENARIO,PRODUCT_OBS_PROMOTION;SILENT_DEFAULT,,"Historical official UK CALCM explicitly sets 140 s default; current HEM reference examples use 140 s. Not a product measurement."
B05-P25-R02,HEM_EMITTER_TIME_RADIATOR_UFH,QUALIFIED_CURRENT_DOC_CODE_AGREEMENT,1370,1370,s,POL,SRC-B05-UK-HEM-TP12-HOURLY-ONOFF-2026;SRC-B05-UK-HEM-RUST-ONOFF-CONSTANTS-2026,EXPLICIT_RADIATOR_OR_UFH_WET_CLASS,OTHER_EMITTER_TRANSFER,,"Current HEM text selects Light embedded for wet distribution and current code maps RadiatorsUfh to 1370 s."
B05-P25-R03,HEM_EMITTER_TIME_WARM_AIR,QUALIFIED_CURRENT_DOC_CODE_AGREEMENT,120,120,s,POL,SRC-B05-UK-HEM-TP12-HOURLY-ONOFF-2026;SRC-B05-UK-HEM-RUST-ONOFF-CONSTANTS-2026,EXPLICIT_WARM_AIR_CLASS,OTHER_EMITTER_TRANSFER,,"Current HEM text selects Very low for warm air and current code maps WarmAir to 120 s."
B05-P25-R04,HEM_EMITTER_TIME_DHW_STORAGE,QUALIFIED_CURRENT_DOC_CODE_AGREEMENT,1560,1560,s,POL,SRC-B05-UK-HEM-TP12-HOURLY-ONOFF-2026;SRC-B05-UK-HEM-RUST-ONOFF-CONSTANTS-2026,EXPLICIT_DHW_STORAGE_CLASS,SPACE_HEATING_TRANSFER,,"Current HEM text selects DHW/storage and current code uses TIME_CONSTANT_WATER=1560 s."
B05-P25-R05,HEM_FANCOIL_EMITTER_TIME_DOC_CODE_DIVERGENCE_REQUIRED,OPEN,360,1370,s,Q,SRC-B05-UK-HEM-TP12-HOURLY-ONOFF-2026;SRC-B05-UK-HEM-RUST-ONOFF-CONSTANTS-2026,FUTURE_AUTHORITY_RECONCILIATION,SILENTLY_SELECT_360;SILENTLY_SELECT_1370,HEM_FANCOIL_EMITTER_TIME_DOC_CODE_DIVERGENCE_REQUIRED,"Current HEM v3 text says all wet distribution uses Light embedded; current Rust code maps FanCoils to 360 s. P25 does not choose silently."
B05-P25-R06,PRODUCT_SPECIFIC_TAU_EQ_EVIDENCE_REQUIRED_FOR_OBS_RUNTIME,OPEN,,,state,Q,B05-P25,FUTURE_PRODUCT_PHYSICAL_RUNTIME,HEM_DEFAULT_AS_PRODUCT_OBS,PRODUCT_SPECIFIC_TAU_EQ_EVIDENCE_REQUIRED_FOR_OBS_RUNTIME,"140 s is executable as an explicit default scenario but is not source-native product measurement."
B05-P25-R07,HOURLY_ONOFF_TRANSIENT_PARAMETER_AUTHORITY_REQUIRED,RESOLVED_FOR_EXPLICIT_HEM_DEFAULT_POLICY_WITH_BOUNDED_EMITTER_CLASSES,,,state,POL,B05-P25,HEM_DEFAULT_SCENARIO_ONLY,UNFLAGGED_GENERIC_RUNTIME,HEM_FANCOIL_EMITTER_TIME_DOC_CODE_DIVERGENCE_REQUIRED;PRODUCT_SPECIFIC_TAU_EQ_EVIDENCE_REQUIRED_FOR_OBS_RUNTIME,"The P24 formula can now execute under explicit HEM-default policy for radiator/UFH, warm-air and DHW/storage classes."
B05-P25-R08,MITSUBISHI_COLD_HIGH_SUPPLY_DOMAIN_CLASSIFICATION_REQUIRED,OPEN,,,state,Q,B05-P25,FUTURE_DOMAIN_CLASSIFICATION,BLANK_EQUALS_ZERO;BLANK_EQUALS_UNSUPPORTED,MITSUBISHI_COLD_HIGH_SUPPLY_DOMAIN_CLASSIFICATION_REQUIRED,"Unchanged from P22-P24."
B05-P25-R09,DIMPLEX_A_MINUS10_MINIMUM_ROW_CLASSIFICATION_REQUIRED,OPEN,,,state,Q,B05-P25,FUTURE_SOURCE_DIAGNOSIS,ASSUME_CONTINUITY;BRIDGE_GAP,DIMPLEX_A_MINUS10_MINIMUM_ROW_CLASSIFICATION_REQUIRED,"Unchanged from P23-P24."
B05-P25-R10,Q-B05-004,OPEN_NARROWED_TO_DOMAIN_GAPS_FANCOIL_AND_PRODUCT_TAU_EQ,,,state,Q,B05-P25,PART_LOAD_RESEARCH,DEFAULT_AS_OBS,MITSUBISHI_COLD_HIGH_SUPPLY_DOMAIN_CLASSIFICATION_REQUIRED;DIMPLEX_A_MINUS10_MINIMUM_ROW_CLASSIFICATION_REQUIRED;HEM_FANCOIL_EMITTER_TIME_DOC_CODE_DIVERGENCE_REQUIRED;PRODUCT_SPECIFIC_TAU_EQ_EVIDENCE_REQUIRED_FOR_OBS_RUNTIME,"Default-scenario hourly on/off execution is now bounded and explicit; product-specific physical truth remains separately fail-closed."
