item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P79-S01,KEOP23_PUBLIC_TYPE_MATRIX,MATERIALIZED,23,23,types,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,ARCHETYPE_MODEL_BASIS,HOUSEHOLD_OBSERVATION,,"6.1/6.2/6.3 source semantics materialized with construction-period and technology boundaries."
B02-P79-S02,KEOP23_PUBLIC_SYNTHETIC_GEOMETRY,MATERIALIZED,23,23,types,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,ARCHETYPE_CALIBRATION;SET_PROPAGATION,CURRENT_HOUSEHOLD_GEOMETRY,WITHIN_TYPE_GEOMETRY_DISTRIBUTION_REQUIRED,"14.7 geometry is materialized for all 23 synthetic types. Type means are calibration values, not household bounds."
B02-P79-S03,WBL_PERIOD_X_BUILDING_GROUP_CROSSWALK,FULL_SET_COVERAGE,14,14,period-group rules,DER,B02-P79,SET_VALUED_CROSSWALK,POINT_TYPE_ASSIGNMENT,WITHIN_SET_KEOP23_TYPE_ASSIGNMENT_NOT_IDENTIFIED,"Every 7 WBL periods x 2 P21 building groups has a non-empty complete source-period-overlap candidate set."
B02-P79-S04,POINT_IDENTIFIED_PERIOD_GROUP_STATES,NOT_IDENTIFIED,0,0,states,DER,B02-P79,NONE,POINT_TYPE_ASSIGNMENT,WITHIN_SET_KEOP23_TYPE_ASSIGNMENT_NOT_IDENTIFIED,"All 14 mappings contain 2-5 candidate types; age + broad building group alone never identify a unique KEOP type."
B02-P79-S05,WBL_WALL_MATERIAL_AS_TYPE_FILTER,NOT_ADMITTED,,,contract,Q,B02-P79,INTERVAL_TIGHTENING,UNVERIFIED_WALL_CODE_TO_KEOP_TECHNOLOGY,WBL_WALL_TECHNOLOGY_CROSSWALK_REQUIRED_IF_TIGHTENING_NEEDED,"P79 does not guess KSH WALL1..WALL6 semantics."
B02-P79-S06,WBL_FLOOR_AREA_AS_KEOP_SIZE_FILTER,NOT_ADMITTED,,,contract,Q,B02-P79,VALIDATION_ONLY,WBL_DWELLING_AREA_AS_KEOP_BUILDING_USEFUL_AREA,WBL_TO_KEOP_SIZE_SEMANTIC_BRIDGE_REQUIRED_IF_TIGHTENING_NEEDED,"KEOP small/large family split uses building useful area <120/>=120 m2; WBL LAT_V is dwelling floor-area category."
B02-P79-S07,HEATED_AREA_OR_DIRECT_GEOMETRY_SURFACE_REQUIRED,PARTIAL_RESOLVED_SET_VALUED_CALIBRATION,,,contract,Q,B02-P79,ARCHETYPE_GEOMETRY_CALIBRATION,HOUSEHOLD_POINT_GEOMETRY,"WITHIN_TYPE_GEOMETRY_DISTRIBUTION_REQUIRED;COMPONENT_AREA_GEOMETRY_SURFACE_REQUIRED","The source-acquisition blocker is retired: all 23 synthetic geometries exist and all WBL period/group states map to candidate sets. Production physical bounds still need within-type uncertainty and component-area geometry."
B02-P79-S08,POST_RETROFIT_ENVELOPE_GEOMETRY_SURFACE_REQUIRED,NARROWED_TO_COMPONENT_AND_ACTION_STATE,,,contract,Q,B02-P79,POST_STATE_MODEL_DESIGN,BASELINE_SYNTHETIC_GEOMETRY_AS_REALIZED_POST_STATE,"COMPONENT_AREA_GEOMETRY_SURFACE_REQUIRED;ACTION_TO_POST_STATE_PHYSICAL_MAPPING_REQUIRED;GEOMETRY_INVARIANCE_BY_ACTION_REQUIRED","Bounding geometry/heated area is available at synthetic-type level; B06 still requires component areas and an explicit rule for whether each retrofit action preserves geometry."
B02-P79-S09,KEOP23_GEOMETRY_CALIBRATION_ENVELOPE,QUALIFIED_MODEL_SET,,,m2/dwelling,DER,B02-P79,CALIBRATION_SENSITIVITY,HOUSEHOLD_CONFIDENCE_INTERVAL;POPULATION_OBS,WITHIN_TYPE_GEOMETRY_DISTRIBUTION_REQUIRED,"Population-weighted min/max over candidate synthetic-type means is computed by the module and must remain labelled calibration envelope."
B02-P79-S10,Q-B02-004,OPEN_NARROWED,,,state,Q,B02-P79,LAYERED_SET_PROPAGATION,CLAIM_OF_NATIONAL_DESIGN_LOAD_POINT,"WITHIN_TYPE_GEOMETRY_DISTRIBUTION_REQUIRED;COMPONENT_AREA_GEOMETRY_SURFACE_REQUIRED;GEOMETRY_INVARIANCE_BY_ACTION_REQUIRED;POST_RETROFIT_COMPONENT_U_VALUE_SURFACE_REQUIRED;POST_RETROFIT_VENTILATION_SURFACE_REQUIRED;POST_RETROFIT_THERMAL_BRIDGE_SURFACE_REQUIRED;DESIGN_OUTDOOR_TEMPERATURE_MAPPING_REQUIRED;DESIGN_INDOOR_SERVICE_CONDITION_REQUIRED;ACTION_TO_POST_STATE_PHYSICAL_MAPPING_REQUIRED;NATIONAL_P65_SUPPLY_TEMPERATURE_SURFACE_REQUIRED;B05_MATERIALIZED_DESIGN_POINT_COVERAGE_REQUIRED;B05_COLD_W45_PRODUCT_GRID_REQUIRED;B05_CONTINUOUS_W55_PRODUCT_SURFACE_REQUIRED;REUSE_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_CAPEX_BOUND_REQUIRED;REUSE_ACTION_AUTHORITY_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_REQUIRED;NONREUSE_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_CAPEX_BOUND_REQUIRED;NON_GAS_CONVECTOR_EMITTER_INTERVENTION_ASSIGNMENT;ROOM_GRAIN_ACTION_DISTRIBUTION;MARKET_REALIZED_COST_DISTRIBUTION_IF_CENTRAL_ESTIMATE_REQUIRED","P79 resolves public 23-type source acquisition and creates full set-valued WBL/P21 coverage without inventing type weights."
