item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P98-S01,NATIONAL_EMITTER_COMPOSITION,SET_IDENTIFIED,,,set,DER/Q,B02-P65,NATIONAL_SET_PROPAGATION,POINT_EMITTER_MIX,,"P65 surface/radiator/mixed/other composition remains set-identified with latent P21/WBL allocation. P98 does not add point weights."
B02-P98-S02,DESIGN_FLOW_CATEGORY_SET,QUALIFIED_REFERENCE_PROGRAMME_SET,,55,degC,POL/DER/SCN,SRC-B06-MCS-021-2-1-2015;SRC-B02-EHI-HMR-2024-SURFACE-PENETRATION;B02-P98,REFERENCE_PROGRAMME_SUPPLY_TEMPERATURE_SET,HUNGARIAN_POPULATION_TEMPERATURE_DISTRIBUTION;EMITTER_CLASS_FIXED_TEMPERATURE,,"Admitted categories: <=35, 36-40, 41-45, 46-50, 51-55 C. No probabilities are attached."
B02-P98-S03,REFERENCE_PROGRAMME_MAX_DESIGN_FLOW,PROSPECTIVE_SCENARIO_CEILING,,55,degC,SCN/POL,SRC-B02-EHI-HMR-2024-SURFACE-PENETRATION;SRC-B02-HU-KEHOP-417-MAX-COST-2025;B02-P98,REFERENCE_PROGRAMME_ACTION_GATE,PHYSICAL_HEAT_PUMP_LIMIT;OBSERVED_STOCK_MAXIMUM,,"55 C is a prospective low-temperature programme ceiling supported by modern-radiator guidance and programme authority for emitter/secondary-circuit adaptation. It is not a physical equipment limit or observed Hungarian maximum."
B02-P98-S04,ABOVE_55_REQUIRED_FLOW,ACTION_OR_EXCEPTION_REQUIRED,55,,degC,SCN,B02-P98,EMITTER_OR_HYDRAULIC_ADAPTATION_GATE,AUTOMATIC_HIGH_TEMPERATURE_ACCEPTANCE,,"A P65-derived required design flow above 55 C does not fail the building permanently; it triggers emitter/hydraulic adaptation or an explicitly authorized programme exception followed by recalculation."
B02-P98-S05,HUNGARIAN_LOW_TEMPERATURE_DESIGN_VALIDATION,QUALIFIED_VALIDATION,40,45,degC,DER,SRC-B06-HU-ULLOI411-MEP-2024,ENGINEERING_VALIDATION,NATIONAL_DEFAULT;RETROFIT_EFFECT,,"Real Hungarian residential design contains 40/35 C underfloor heating and 45/40 C heat-pump design/rating chain. New-build validation only."
B02-P98-S06,FOREIGN_REALIZED_OPERATING_TEMPERATURE_VALIDATION,QUALIFIED_VALIDATION,33.046008,45.388962,degC,ASS/DER,SRC-B02-FRAUNHOFER-HP-TEMP-META-2023;B02-P67;B02-P68,TRANSFER_SENSITIVITY_VALIDATION,HUNGARIAN_DESIGN_DISTRIBUTION;DESIGN_POINT_COP,,"P68 Hungarian-reweighted foreign measured mean space-heating flow sensitivity remains 33.046008..45.388962 C. Fraunhofer emitter-category means independently validate low-temperature operation. Operating mean != design point."
B02-P98-S07,FOURTEEN_STRATUM_SUPPLY_TEMPERATURE_SET,MATERIALIZED_SET,14,14,strata,POL/DER/SCN,B02-P65;B02-P79;B02-P98,NATIONAL_REFERENCE_PROGRAMME_SET_PROPAGATION,AGE_OR_BUILDING_GROUP_TEMPERATURE_WEIGHTS,,"All 7 WBL periods x 2 P21 groups carry the same five admissible design-flow categories because emitter allocation and design-temperature weights are not point-identified."
B02-P98-S08,DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED,RESOLVED_FOR_REFERENCE_PROGRAMME_SET_PROPAGATION,,,state,POL/DER/SCN,B02-P63;B02-P65;B02-P98,NATIONAL_BOUNDED_RESPONSE,CLAIM_OF_POINT_DISTRIBUTION;RECORD_LEVEL_ACCEPTANCE,REALIZED_SUPPLY_TEMPERATURE_VERIFICATION_REQUIRED,"The national model can propagate the complete admissible design-flow category set without a point temperature distribution. Exact building temperature remains P65-gated."
B02-P98-S09,NATIONAL_P65_SUPPLY_TEMPERATURE_SURFACE_REQUIRED,RESOLVED_AS_SET_VALUED_SURFACE,,,state,POL/DER/SCN,B02-P77;B02-P98,P77_NATIONAL_MATERIALIZATION_GATE,EMITTER_CLASS_SNAPPING,B05_MATERIALIZED_DESIGN_POINT_COVERAGE_REQUIRED,"P77 Gate 2 is now materialized as a set-valued national reference-programme surface. Gate 3 B05 product-map coverage remains independent."
B02-P98-S10,B05_W35_W45_W55_CONTROL_POINTS,REPORT_AND_COVERAGE_ANCHORS,35,55,degC,DER,B05-P5;B02-P77;B02-P98,PRODUCT_DOMAIN_AUDIT,BUILDING_REQUIRED_TEMPERATURE_SNAPPING,"B05 35/45/55 C surfaces remain coverage/control anchors only. Exact P65-derived temperatures must be evaluated without snapping; current cold W45 and continuous W55 product gaps remain."
B02-P98-S11,REALIZED_SUPPLY_TEMPERATURE_VERIFICATION_REQUIRED,RECORD_LEVEL_RESIDUAL,,,state,Q,B06-P65;B02-P98,PROJECT_OR_EX_POST_DESIGN_AUTHORITY,NATIONAL_REFERENCE_PROGRAMME_BLOCKER,,"Specific building handoff still requires the B06-P65 room-by-room/signed-MEP/design-condition-measurement routes. National set propagation cannot mint a record value."
B02-P98-S12,Q-B02-004,OPEN_NARROWED,,,state,Q,B02-P98,BOUNDED_PHYSICAL_RESPONSE_COMPLETION,CLAIM_OF_COMPLETE_NATIONAL_PROGRAMME_RESPONSE,FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED,"P98 removes DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED from the current Q-B02-004 reference-programme residual set. Fresh multi-source envelope-action evidence remains; B05 product operating-point coverage remains an independent downstream product-map gate."
