item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P76-C01,KEHOP_FAMILY_HOUSE_SECONDARY_ACTION_AUTHORITY,QUALIFIED_SCOPE_LIMITED_TECHNICAL_ACTION_AUTHORITY,,,action family,POL,SRC-B02-HU-KEHOP-417-MAX-COST-2025;SRC-B02-HU-KEHOP-417-418-SCOPE-2026,KEHOP_STRUCTURAL_FAMILY_HOUSE_TECHNICAL_ACTION_REFERENCE,FULL_NATIONAL_ACTION_FREQUENCY;CURRENT_FUNDING_ELIGIBILITY,REUSE_ACTION_AUTHORITY_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_REQUIRED,"Current call 3.4.1.2/3.4.1.3 permits secondary-circuit adaptation, emitter modernization or replacement, and automatic source/emitter-side controls. This is technical action authority, not a national frequency."
B02-P76-C02,KEHOP_COMPLETE_REPLACEMENT_PACKAGE_CEILING,QUALIFIED_OFFICIAL_UPPER_BOUND,0,3556000,Ft/készlet,POL,SRC-B02-HU-KEHOP-417-MAX-COST-2025,OFFICIAL_PROGRAMME_REPLACEMENT_PACKAGE_MAX,OFFICIAL_REUSE_PRICE;MARKET_TYPICAL;EXPECTED_REALIZED_COST,,"Source-native Annex 1 ceiling: 1,422,400 material + 2,133,600 labour = 3,556,000 HUF/set."
B02-P76-C03,REUSE_WORK_SCOPE_SUBSET_CONTRACT,ASS_APPROVED_CONSERVATIVE_BOUNDARY,,,contract,ASS,B02-P76,CONSERVATIVE_COST_DOMINANCE,CLAIM_OF_SOURCE_NATIVE_COST_ORDERING,RECORD_OR_PROJECT_SCOPE_VALIDATION,"Counted reuse-path secondary works must be a subset of the complete replacement package scope. If a record/project includes work outside that superset, P76 cannot price it."
B02-P76-C04,REUSE_PATH_CAPEX_PER_SET_WITHIN_KEHOP_STRUCTURAL_SCOPE,CONSERVATIVE_SUPERSET_UPPER_BOUND,0,3556000,Ft/készlet,ASS,B02-P74/B02-P76,TECHNICAL_PROGRAMME_UPPER_BOUND,OFFICIAL_REUSE_PRICE;MARKET_TYPICAL;EXPECTED_REALIZED_COST,REUSE_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_CAPEX_BOUND_REQUIRED,"ASS upper bound only. The source does not publish a reuse-only price line."
B02-P76-C05,REUSE_KEHOP_STRUCTURAL_CANDIDATE_DEFINITE_PRE2007,UPPER_BOUNDED,0,1124830.282889203,expected dwelling-equivalent,ASS,B02-P75/B02-P76,AGGREGATE_REUSE_CAPEX_UPPER_BOUND,POINT_REUSE_COUNT;LEGAL_ELIGIBLE_COUNT,NONREUSE_CENTRAL_LATENT_SPLIT,"Reuse can only come from CENTRAL_HEATING. Upper uses the maximum P75 definite-pre2007 CENTRAL family candidate; lower remains zero because P73 central split is latent."
B02-P76-C06,REUSE_KEHOP_STRUCTURAL_CANDIDATE_POSSIBLE_PRE2007,UPPER_BOUNDED,0,1298476.155320049,expected dwelling-equivalent,ASS,B02-P75/B02-P76,AGGREGATE_REUSE_CAPEX_UPPER_BOUND,POINT_REUSE_COUNT;LEGAL_ELIGIBLE_COUNT,Y2001_2010_PRE2007_SUBBAND_IF_TIGHTENING_REQUIRED;NONREUSE_CENTRAL_LATENT_SPLIT,"Possible upper includes the complete cutoff-straddling Y2001-2010 band."
B02-P76-C07,REUSE_KEHOP_DEFINITE_PRE2007_AGGREGATE_CAPEX,UPPER_BOUNDED,0,3999896485954.006,HUF,ASS,B02-P76,PROGRAMME_CAPEX_SENSITIVITY,EXPECTED_REALIZED_CAPEX;OFFICIAL_TOTAL_PROGRAMME_COST,REUSE_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_CAPEX_BOUND_REQUIRED,"1,124,830.282889203 * 3,556,000 HUF. Conservative structural-scope sensitivity only."
B02-P76-C08,REUSE_KEHOP_POSSIBLE_PRE2007_AGGREGATE_CAPEX,UPPER_BOUNDED,0,4617381208318.095,HUF,ASS,B02-P76,PROGRAMME_CAPEX_SENSITIVITY,EXPECTED_REALIZED_CAPEX;OFFICIAL_TOTAL_PROGRAMME_COST,REUSE_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_CAPEX_BOUND_REQUIRED,"1,298,476.155320049 * 3,556,000 HUF. Includes full Y2001-2010 band only as age-censoring upper envelope."
B02-P76-C09,REUSE_PATH_CAPEX_BOUND_REQUIRED,PARTIAL_RESOLVED_WITHIN_KEHOP_STRUCTURAL_SCOPE,,,contract,Q,B02-P76,BOUNDED_CAPEX_PROPAGATION,CLAIM_OF_FULL_NATIONAL_REUSE_COST_AUTHORITY,REUSE_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_CAPEX_BOUND_REQUIRED,"The generic reuse CAPEX blocker is retired inside the P75 structural KEHOP family-house envelope under the explicit superset-cost assumption."
B02-P76-C10,REUSE_FAMILY_HOUSE_OR_FULL_NATIONAL_SCOPE_ACTION_AUTHORITY_REQUIRED,PARTIAL_RESOLVED_KEHOP_FAMILY_HOUSE_SCOPE,,,contract,Q,B02-P76,TECHNICAL_ACTION_PROPAGATION,CLAIM_OF_FULL_NATIONAL_ACTION_AUTHORITY,REUSE_ACTION_AUTHORITY_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_REQUIRED,"Current KEHOP call supplies the family-house technical action authority inside its structural scope; outside-scope action authority remains open."
