gap_id,scope,claim_or_contract,current_fact,classification,closure_effect,next_required_evidence_or_fix,source_refs,notes
B02-P31-G01,EMITTER_LINKAGE,validation_metrics,P30 calibrates exactly to the rounded 23.3% full-sample primary-heating gas-convector margin but has no independent current emitter-specific validation surface,MISSING_EVIDENCE,NONE,Independent or source-native emitter-specific conditional validation control beyond the calibration margin,B02_P30_EMITTER_MARGINAL_RECONCILIATION.md;CALIBRATED_GAS_CONVECTOR_EMITTER_LINKAGE_P30,Calibration fit is not validation
B02-P31-G02,EMITTER_LINKAGE,FEANTSA_FIGURE_6,FEANTSA Figure 6 is sourced to the same REKK/TARKI 2022 survey and the report explicitly cautions that representativity is questionable,EXCLUDED_AS_INDEPENDENT_VALIDATION,NONE,Independent current source or released survey microdata with explicit design/weights,SRC-B02-FEANTSA-CSOKNYAI-HEAT-TRANSITION-2024;SRC-B02-TARKI-REKK-HOUSEHOLD-ENERGY-SURVEY-2022,Same-source descriptive cross-tab cannot be held-out validation
B02-P31-G03,EMITTER_LINKAGE,gas_heating_crosstabs,Published construction-period and settlement-type controls condition on gas-heating status rather than gas-convector use,EXCLUDED_AS_EMITTER_CONDITIONAL_CONTROL,NONE,Gas-convector-specific cross-tabs or microdata on at least one WBL-compatible shaping dimension,B02_P28_GAS_UNIVERSE_REPRESENTATIVENESS_RECONCILIATION.md,Gas-heating margins are not gas-convector margins
B02-P31-G04,EMITTER_LINKAGE,REKK_TARKI_MICRODATA,P28 records that the detailed survey database can be provided on request but the repository does not contain that microdata,MISSING_EXTERNAL_DATA,NONE,Obtain lawful access plus final weights and design variables or replicate weights,B02_P28_GAS_UNIVERSE_REPRESENTATIVENESS_RECONCILIATION.md;B02_P29_EMITTER_LINKAGE_UNCERTAINTY_METHOD.md,This is the shortest path to conditional validation and design-based uncertainty
B02-P31-G05,EMITTER_LINKAGE,strict_room_gas_domain,The exact WBL NHEAT plus gas domain contains 693075 dwellings while the 40.61% conditional gas target implies 1013639.4074 expected convector dwellings,FALSIFIED_DOMAIN,NONE,Do not use NHEAT plus gas as a hard convector support restriction,B02_P30_EMITTER_MARGINAL_RECONCILIATION.md,Required probability would be 1.46252484565
B02-P31-G06,OENY_ACCESS,public_bulk_readiness_source,P1-M found 0 of 22 P1K fields fully available through a proven public machine-readable P1K-compatible channel,EXCLUDED_AS_PUBLIC_BULK_AUTHORITY,NONE,Authoritative structured release or separately approved lawful dataset,P1M_OENY_PUBLIC_MACHINE_ACCESS_AUDIT.md,Public UI availability is not documented bulk API authority
B02-P31-G07,OENY_ACCESS,pilot_request_state,The anonymized maximum-500-record OENY pilot request was sent on 2026-08-22 and remains AWAITING_RESPONSE,PENDING_EXTERNAL_RESPONSE,NONE,Authoritative Lechner response and any released dataset or field dictionary,B02_P19_OENY_DISPATCH_EVIDENCE.md,Dispatch proves sending only
B02-P31-G08,OENY_ACCESS,pilot_national_authority,P1-K explicitly forbids national emitter or temperature distributions from a successful pilot unless sampling frame stratification selection probabilities and weighting are separately proven,EXCLUDED_AS_NATIONAL_AUTHORITY,NONE,Representativeness package in addition to any pilot data,P1K_OENY_PILOT_ACCEPTANCE_CONTRACT.md,Pilot success is schema/extraction evidence not national stock evidence
B02-P31-G09,INTERNAL_CONTRACT,gas_convector_enum,The canonical OENY readiness and double-blind annotation schemas cannot encode GAS_CONVECTOR as an emitter type,INTERNAL_TAXONOMY_GAP,NONE,Extend canonical emitter taxonomy deliberately and update validators/tests before ingesting convector records,schemas/oeny_readiness_pilot.schema.json;schemas/oeny_heat_emitter_annotation.schema.json;registry/b02_current_heating_device_controls.csv,OTHER would erase the explicit P25 gas-convector category
B02-P31-G10,INTERNAL_CONTRACT,temperature_not_applicable_status,The canonical OENY schemas provide OBS Q and optional NOT_IN_SOURCE states but no NOT_APPLICABLE temperature state,INTERNAL_APPLICABILITY_GAP,NONE,Define a non-hydronic applicability state and pair-null rules before closure,schemas/oeny_readiness_pilot.schema.json;schemas/oeny_heat_emitter_annotation.schema.json,Unknown is not the same as structurally inapplicable
