field_id,field,required_for_cohort,source_layer,public_status,semantic_role,status,residual,notes
B02-P109-F01,programme_code,YES,KEHOP completion administration,PROGRAMME_PUBLIC_RECORD_SCHEMA,geographic/program identity,QUALIFIED,"MFB_KEHOP_COMPLETION_INDICATOR_1103_EXTRACT_REQUIRED","Admit 4.1.7-24 outside Budapest and 4.1.8-24 Budapest; combined scope is national geography for this programme family."
B02-P109-F02,project_id,YES,KEHOP completion administration,NOT_PUBLICLY_ENUMERATED,cohort deduplication and join key,QUALIFIED_SCHEMA_ONLY,"MFB_KEHOP_COMPLETION_INDICATOR_1103_EXTRACT_REQUIRED","Must be stable within declared extract; natural-person beneficiary identity is unnecessary."
B02-P109-F03,physical_completion_date,YES,KEHOP completion administration,NOT_PUBLICLY_ENUMERATED,current completed-project filter,QUALIFIED_SCHEMA_ONLY,"MFB_KEHOP_COMPLETION_INDICATOR_1103_EXTRACT_REQUIRED","P108/P64 completion semantics apply."
B02-P109-F04,energy_efficiency_measure_category,YES,physical-completion indicator,REQUIRED_BY_CALL,window-action cohort selector,QUALIFIED_ADMIN_FIELD,"MFB_KEHOP_COMPLETION_INDICATOR_1103_EXTRACT_REQUIRED","Both 4.1.7 and 4.1.8 require project-level measure-category reporting at physical completion from the MEKH category list."
B02-P109-F05,measure_category_1103,YES_DERIVED_FROM_F04,18/2025 EM category taxonomy,PUBLIC_LEGAL_TAXONOMY,window replacement identity,QUALIFIED_EXACT_CODE,"MFB_KEHOP_COMPLETION_INDICATOR_1103_EXTRACT_REQUIRED","1103 = Épületszerkezetek - Felújítás - Nyílászáró cseréje."
B02-P109-F06,final_het_ref,YES_FOR_TECHNICAL_JOIN,KEHOP completion administration,NOT_PUBLICLY_ENUMERATED,post-state document join key,QUALIFIED_SCHEMA_ONLY,"KEHOP_1103_FINAL_TECHNICAL_DOCUMENT_JOIN_REQUIRED","Call requires final HET/result verification; P108 requires same-project technical binding."
B02-P109-F07,final_energy_calculation_ref,YES_FOR_TECHNICAL_JOIN,KEHOP completion administration,NOT_PUBLICLY_ENUMERATED,component performance document join key,QUALIFIED_SCHEMA_ONLY,"KEHOP_1103_FINAL_TECHNICAL_DOCUMENT_JOIN_REQUIRED","Needed for final-calculation performance path unless installed-product DoP path is used."
B02-P109-F08,installed_product_or_dop_ref,ALTERNATIVE_FOR_TECHNICAL_JOIN,project completion/product layer,NOT_PUBLICLY_PROJECT_LINKED,installed product performance path,QUALIFIED_SCHEMA_ONLY,"KEHOP_1103_FINAL_TECHNICAL_DOCUMENT_JOIN_REQUIRED","Catalogue presence alone does not establish installation; project invoice/scope binding remains required."
B02-P109-F09,hem_generation_agreement_or_hem_id,YES_FOR_EKR_OVERLAP_CLASSIFICATION,HEM/EKR layer,NOT_PUBLICLY_PROJECT_LINKED,EKR overlap classification,QUALIFIED_OPTIONAL_PROJECT_FIELD,"KEHOP_EKR1103_OVERLAP_OR_HEM_ATTRIBUTION_REQUIRED","KEHOP allows HEM compensation via a written HEM-generation agreement, but this is optional; measure category 1103 does not prove HEM creation."
B02-P109-F10,enumeration_complete_for_declared_scope,YES,extract metadata,NOT_PUBLIC,current cohort denominator integrity,REQUIRED_FAIL_CLOSED,"MFB_KEHOP_COMPLETION_INDICATOR_1103_EXTRACT_REQUIRED","No count/share may be computed from a convenience sample."
