item_id,variable,status,lower_bound,upper_bound,unit,evidence_status,authority,programme_use,forbidden_inference,residual_gap,notes
B02-P66-A01,ACTION_SHARE_SIMPLEX,SUPERSEDED_BY_P69,0,1,share,DER,B02-P66,YES,POINT_ACTION_MIX_WITHOUT_RESPONSE_EVIDENCE,,P69 supersedes the false five-way dwelling simplex: distribution path is dwelling-exclusive while emitter actions are room/unit multi-label.
B02-P66-A02,ADD_OR_REPLACE_SHARE,SUPERSEDED_BY_P69,0.233,1,share,ASS,B02-P39/B02-P41,YES,REPLACE_SHARE_EQUALS_GAS_CONVECTOR_SHARE,,P39 calibrated primary gas-convector margin plus P41 mandatory replacement-distribution path P69 relocates this floor to REPLACE_EXISTING_DISTRIBUTION >= 0.233.
B02-P66-A03,KEEP_SHARE,SUPERSEDED_BY_P69,0,0.767,share,DER,B02-P66,YES,KEEP_POINT_ESTIMATE,,Upper bound follows from ADD+REPLACE >= 0.233.
B02-P66-A04,UPSIZE_SHARE,SUPERSEDED_BY_P69,0,0.767,share,DER,B02-P66,YES,UPSIZE_POINT_ESTIMATE,,Upper bound follows from ADD+REPLACE >= 0.233.
B02-P66-A05,CHANGE_SHARE,SUPERSEDED_BY_P69,0,0.767,share,DER,B02-P66,YES,CHANGE_POINT_ESTIMATE,,Upper bound follows from ADD+REPLACE >= 0.233.
B02-P66-A06,ADD_SHARE,SUPERSEDED_BY_P69,0,1,share,Q,B02-P66,YES,ADD_EQUALS_GAS_CONVECTOR_SHARE,ACTION_RESPONSE_ENVELOPE_BY_ARCHETYPE,The combined floor does not identify ADD versus REPLACE.
B02-P66-A07,REPLACE_SHARE,SUPERSEDED_BY_P69,0,1,share,Q,B02-P66,YES,REPLACE_EQUALS_GAS_CONVECTOR_SHARE,ACTION_RESPONSE_ENVELOPE_BY_ARCHETYPE,The combined floor does not identify ADD versus REPLACE.
B02-P66-A08,NON_KEEP_TRANSITION_DWELLINGS,SUPERSEDED_BY_P69,933990.053,4008541,expected dwelling,ASS,B02-P39/B02-P41/B02-P66,YES,EXPECTED_COUNT_AS_INTEGER_OBS,,Lower bound is 4008541*0.233 and remains calibrated expected population quantity.
B02-P66-A09,DESIGN_TEMPERATURE_ACTION_RESPONSE,EXECUTABLE_CONTRACT,,,degC,Q,B06-P65/B02-P66,NO_NUMERIC_PROGRAMME_RESULT,TECHNOLOGY_REFERENCE_AS_POPULATION_RESULT,ACTION_RESPONSE_ENVELOPE_BY_ARCHETYPE,Propagation engine exists but admitted action/archetype response bounds are not yet populated.
B02-P66-A10,COP_ACTION_RESPONSE,EXECUTABLE_CONTRACT,,,COP,Q,B05/B06-P65/B02-P66,NO_NUMERIC_PROGRAMME_RESULT,FOREIGN_OR_SINGLE_CASE_COP_AS_NATIONAL_WEIGHT,ACTION_RESPONSE_ENVELOPE_BY_ARCHETYPE,Requires bounded P65-compatible design-temperature and B05 response by transition/archetype.
B02-P66-A11,PROCUREMENT_QUANTITY_RESPONSE,EXECUTABLE_CONTRACT,,,unit per dwelling,Q,B02-P42-P55/B02-P66,NO_NUMERIC_PROGRAMME_RESULT,CASE_STUDY_QUANTITY_AS_NATIONAL_FACTOR,ACTION_RESPONSE_ENVELOPE_BY_ARCHETYPE,Existing cases validate method and fields but not a national unit-per-dwelling response surface.
B02-P66-A12,MONETARY_CAPEX_RESPONSE,FAIL_CLOSED,,,HUF,Q,Q-B06-010,NO,PHYSICAL_ACTION_BOUND_EQUALS_PRICE_BOUND,CAPEX_PRICE_AUTHORITY,No admitted current price authority exists; monetary CAPEX remains Q.
B02-P66-A13,Q-B02-004,SUPERSEDED_BY_P69_LAYER_REPAIR,,,,Q,B02-P66,NO_CLOSURE,STRUCTURAL_PROPAGATION_EQUALS_PROGRAMME_RESULT,"ACTION_RESPONSE_ENVELOPE_BY_ARCHETYPE;CAPEX_PRICE_AUTHORITY","TRANSITION_MODEL_SET_PROPAGATION is implemented structurally; actual national design-temperature/COP/procurement/CAPEX bounds remain open until admitted response envelopes and price authority exist."
