item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,role,forbidden_use,residual_gap,notes
B02-P104-U01,EKR_WINDOW_MEASURE_FAMILY,QUALIFIED_CURRENT_ADMINISTRATIVE_ROUTE,1.2,1.6,measure_code,POL,SRC-B06-HU-EKR-18-2025,CURRENT_WINDOW_ACTION_TAXONOMY,NATIONAL_ACTION_SHARE_FROM_CATALOGUE,,Current EKR measures 1.2 1.4 and 1.6 are window-replacement routes under action type 1103.
B02-P104-U02,EKR_WINDOW_POSTACTION_U_REQUIREMENT,QUALIFIED_CURRENT_COMPLIANCE_CONDITION,,,state,POL,SRC-B06-HU-EKR-18-2025;SRC-B02-HU-ENERGY-RULES-2023,RECORD_LEVEL_COMPLIANCE_ROUTE,GENERIC_LEGAL_REQUIREMENT_AS_REALIZED_U,CURRENT_REPLACED_WINDOW_COMPLIANCE_POPULATION_SURFACE_REQUIRED,"Affected opening must satisfy current 9/2023 EKM U requirement. P104 only promotes a record when HEM verification plus technical U evidence are available."
B02-P104-U03,EKR_WINDOW_TECHNICAL_U_RECORD,QUALIFIED_DOCUMENT_BACKED_ROUTE,,,W/m2K,POL/DER,SRC-B06-HU-EKR-18-2025,RECORD_LEVEL_NEW_WINDOW_U_EVIDENCE,PUBLIC_UW_DISTRIBUTION,EKR_1103_TECHNICAL_COHORT_AGGREGATE_REQUIRED,"1.2 records explicit old/new opening U inputs; 1.6 supporting documentation requires manufacturer/type and U performance declaration. Technical route exists administratively but is not a public national surface."
B02-P104-U04,HEM_VERIFICATION,QUALIFIED_ACTUAL_IMPLEMENTATION_VERIFICATION,,,state,POL,SRC-B02-EHAT-15A-PUBLIC-HEM-REGISTRY,RECORD_LEVEL_IMPLEMENTATION_VERIFICATION,MEASURE_TYPE_OR_U_FROM_PUBLIC_HEM_ID,,Registered verifier confirms actual implementation and correct method application. This is stronger than a generic legal epoch but does not expose technical details publicly."
B02-P104-U05,PUBLIC_HEM_REGISTRY_FIELDS,QUALIFIED_NEGATIVE_BOUNDARY,,,field_set,POL,SRC-B02-MEKH-HEM-MODULE-HANDBOOK;SRC-B02-MEKH-17-2020-HEM-DATA-CONTENT,PUBLICATION_BOUNDARY,PUBLIC_1103_COUNT;PUBLIC_TECHNICAL_U,EKR_1103_TECHNICAL_COHORT_AGGREGATE_REQUIRED,"Public lookup is generic and public summary is total HEM count/aggregate savings. Measure type and technical U are not established as public fields."
B02-P104-U06,EKR_ALL_WINDOW_COVERAGE,QUALIFIED_CONDITIONAL_WHOLE_DWELLING_ROUTE,,,state,POL/DER,SRC-B06-HU-EKR-18-2025,WHOLE_DWELLING_WINDOW_PROMOTION,PARTIAL_ACTION_AS_ALL_WINDOWS,FULL_DWELLING_WINDOW_COVERAGE_OR_REMAINING_STATE_REQUIRED,"EKR complex rule explicitly distinguishes when all openings of the affected property are replaced. Partial replacement cannot establish whole-dwelling window satisfaction."
B02-P104-U07,OENY_EPC_DETAILED_WINDOW_U_ROUTE,DOCUMENT_LEVEL_ROUTE_NOT_PUBLIC_BULK,,,state,POL/DER,SRC-B02-OENY-SCHEMA-DICTIONARY-2026;SRC-B02-OENY-USER-GUIDE-2026;SRC-B02-HU-MEHI-RENOVATION-DATA-GAPS-2025,ALTERNATIVE_ADMINISTRATIVE_ROUTE,PUBLIC_NATIONAL_UW_DISTRIBUTION,CURRENT_REPLACED_WINDOW_COMPLIANCE_POPULATION_SURFACE_REQUIRED,"Certification calculation/supporting material contains detailed envelope/opening performance, but public OENY does not expose a representative bulk detailed Uw surface."
B02-P104-U08,DIRECT_UW_ONLY_BLOCKER,SUPERSEDED_BY_MULTI_ROUTE_COMPLIANCE_CONTRACT,,,state,POL/DER,B02-P103;B02-P104,EVIDENCE_CONTRACT,CLAIM_THAT_DIRECT_UW_DISTRIBUTION_IS_ONLY_ROUTE,CURRENT_REPLACED_WINDOW_COMPLIANCE_POPULATION_SURFACE_REQUIRED,"Direct representative/calibrated Uw remains admissible, but verified EKR technical records form an independent record-level compliance route."
B02-P104-U09,NATIONAL_P102_BOUND_EFFECT,UNCHANGED_NO_PUBLIC_COHORT,0.8278610299446981,0.9844857269628596,share,OBS/DER/ASS,B02-P102;B02-P104,PROGRAMME_ACTION_CALIBRATION,NUMERIC_TIGHTENING_FROM_NONPUBLIC_ADMIN_ROUTE,CURRENT_REPLACED_WINDOW_COMPLIANCE_POPULATION_SURFACE_REQUIRED,"No public EKR 1103 technical cohort aggregate or non-EKR replaced-window performance distribution is identified. P102 floor and HP_ONLY bounds remain unchanged."
B02-P104-U10,Q-B02-004,OPEN_NARROWED,,,state,Q,B02-P104,LAYERED_SET_PROPAGATION,NATIONAL_POINT_ACTION_SHARE,CURRENT_REPLACED_WINDOW_COMPLIANCE_POPULATION_SURFACE_REQUIRED;EKR_1103_TECHNICAL_COHORT_AGGREGATE_REQUIRED;NON_EKR_REPLACED_WINDOW_UW_DISTRIBUTION_REQUIRED;FULL_DWELLING_WINDOW_COVERAGE_OR_REMAINING_STATE_REQUIRED,"P104 turns the window blocker into a multi-route population evidence contract. Record-level closure exists; national population weighting remains open."
