item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P88-V01,POST_RETROFIT_VENTILATION_PATHS,RESOLVED_CONTRACT,,,state,POL,SRC-B06-HU-ENERGY-RULES-2023,PROJECT_OR_PROGRAMME_POST_STATE_SELECTION,OBSERVED_NATIONAL_PREVALENCE,,"9/2023 EKM 1. melléklet 3.1.2 permits window-based ventilation or, when ventilation is not solved by windows, regulated central/decentral exhaust or heat-recovery ventilation. Exhaust requires air-inlet elements."
B02-P88-V02,HRV_REQUIRED_AIR_RECOVERY_RESPONSE,RESOLVED_EXECUTABLE,0,1,eta,POL/DER,SRC-B06-HU-EKR-18-2025,PROJECT_HRV_THERMAL_RESPONSE,NATIONAL_HRV_SHARE;INSTALLED_PERFORMANCE_WITHOUT_EVIDENCE,,"Current EKR section 2.8 computes heat-recovery savings from 0.35*V*c*n_required*(eta_new-eta_old); P88 therefore applies eta only to the required-air term and not to uncontrolled infiltration."
B02-P88-V03,RESIDENTIAL_HRV_PRODUCT_ETA_AUTHORITY,PRODUCT_DECLARATION_REQUIRED,0,1,fraction,POL,SRC-B02-EU-ECODESIGN-VENTILATION-1253-2014,PROCUREMENT_OR_PROJECT_ETA_INPUT,POPULATION_DISTRIBUTION;COMMISSIONED_PERFORMANCE,,"EU 1253/2014 Annex IV requires residential ventilation product information to state HRS type and thermal efficiency. The declared value can bind a selected product but is not an observed national distribution or installed commissioning result."
B02-P88-V04,FOURTEEN_STRATUM_REQUIRED_AIR_H_COEFFICIENT,MATERIALIZED_BOUNDED,25.431534722,110.4705,W/K,POL/DER,B02-P87;SRC-B06-HU-ENERGY-METHOD-2023,HRV_RESPONSE_COEFFICIENT,POPULATION_PROBABILITY_INTERVAL,,"14/14 P87 strata decompose H_required_air=0.35*0.5*V. At eta=1 this is the maximum recoverable required-air coefficient before infiltration."
B02-P88-V05,FOURTEEN_STRATUM_INFILTRATION_H_COMPONENT,MATERIALIZED_BOUNDED,0,220.941,W/K,POL/DER,B02-P87;SRC-B06-HU-ENERGY-METHOD-2023,FAIL_CLOSED_INFILTRATION_COMPONENT,POST_RETROFIT_DEFAULT;POPULATION_DISTRIBUTION,ACTION_CONDITIONED_POST_RETROFIT_INFILTRATION_REQUIRED,"P88 separates H_infiltration=0.35*n_filt*V. The upper edge uses the P87 official method-domain n_filt=1.0 and maximum P85 volume; no airtightness class is assigned to the programme population."
B02-P88-V06,POST_RETROFIT_MECHANICAL_VENTILATION_PREVALENCE_REQUIRED,RETIRED_AS_SCENARIO_OR_PROJECT_STATE,,,state,SCN/POL,B02-P88,PROGRAMME_SCENARIO_WEIGHT_OR_RECORD_STATE,CLAIM_OF_OBSERVED_PREVALENCE,,"Post-retrofit ventilation path is controlled by programme/project design. National scenario weights may be propagated explicitly but are not evidence about existing or future observed prevalence."
B02-P88-V07,POST_RETROFIT_HEAT_RECOVERY_EFFICIENCY_DISTRIBUTION_REQUIRED,RETIRED_AS_PROJECT_PROCUREMENT_INPUT,,,state,POL/SCN,B02-P88;SRC-B02-EU-ECODESIGN-VENTILATION-1253-2014,EXPLICIT_SELECTED_PRODUCT_ETA,UNSUPPORTED_NATIONAL_MEAN_ETA,,"The response engine needs eta only when the HRV path is selected. Product-level declared eta is available by regulation; a national post-retrofit eta distribution is not a prerequisite for scenario execution."
B02-P88-V08,ACTION_TO_AIRTIGHTNESS_AND_VENTILATION_SYSTEM_MAPPING_REQUIRED,PARTIAL_RESOLVED_PATH_CONTRACT,,,state,POL/SCN,B02-P88,EXPLICIT_POST_STATE_PATH_ASSIGNMENT,AUTOMATIC_WINDOW_ACTION_TO_AIRTIGHTNESS_CLASS,ACTION_CONDITIONED_POST_RETROFIT_INFILTRATION_REQUIRED,"Ventilation-system path assignment is executable and may be programmatic. Envelope/window actions still do not prove post-retrofit infiltration, so infiltration target/test/bounded inference remains fail-closed."
B02-P88-V09,POST_RETROFIT_VENTILATION_RESPONSE,PARTIAL_RESOLVED_PATH_RESPONSE,,,state,POL/DER/SCN,B02-P88,BOUNDED_B06_VENTILATION_RESPONSE,CLAIM_OF_COMPLETE_NATIONAL_POST_STATE,ACTION_CONDITIONED_POST_RETROFIT_INFILTRATION_REQUIRED,"P88 makes natural, mechanical-exhaust and HRV thermal response executable on all 14 P87 strata without inventing path shares or eta distributions."
B02-P88-V10,Q-B02-004,OPEN_NARROWED,,,state,Q,B02-P88,BOUNDED_PHYSICAL_RESPONSE_COMPLETION,CLAIM_OF_COMPLETE_NATIONAL_DESIGN_LOAD,"ACTION_CONDITIONED_POST_RETROFIT_INFILTRATION_REQUIRED;NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;COMPLETE_LOCATION_TO_CURRENT_STANDARD_ZONE_MAPPING_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED","P88 retires post-retrofit ventilation-path prevalence and HRV-efficiency-distribution as population-evidence blockers. Infiltration assignment remains the ventilation residual; total B06 design load remains partial."
