record_id,claim,status,evidence_status,source_ids,snapshot_value,admission_rule,notes
B05-P30-R01,Q-B05-006,RESOLVED_CONTRACT,DER,SRC-B05-DIMPLEX-LA2030CP-HYDRAULIC-TEST-CONDITIONS-2026;SRC-B05-MITSUBISHI-WM50-FLOW-RETURN-INSTRUMENTATION-2026,,EXACT_SAME_PRODUCT_MATCHED_OUTDOOR_SUPPLY_VARIATION_REQUIRED,Future source-native evidence may pass the gate without reopening the question.
B05-P30-R02,CURRENT_CANONICAL_OBS_DER_POINT_COUNT,SNAPSHOT,DER,SRC-B05-ENGINE-CONTRACT-2026,53,,Canonical P30 snapshot excludes six synthetic TEST-AWHP fixture rows.
B05-P30-R03,CURRENT_CANONICAL_EQUIPMENT_COUNT,SNAPSHOT,DER,SRC-B05-ENGINE-CONTRACT-2026,11,,Distinct equipment_id count across the 53 OBS/DER product points.
B05-P30-R04,CURRENT_CANONICAL_RETURN_TEMPERATURE_NONBLANK,SNAPSHOT_ZERO,DER,SRC-B05-ENGINE-CONTRACT-2026,0,,No current OBS/DER performance row has a source-native return-temperature coordinate.
B05-P30-R05,CURRENT_CANONICAL_DELTA_T_NONBLANK,SNAPSHOT_ZERO,DER,SRC-B05-ENGINE-CONTRACT-2026,0,,No current OBS/DER performance row has a source-native delta-T coordinate.
B05-P30-R06,DIMPLEX_A7_W35_30_CLASSIFICATION,FIXED_TEST_CONDITION_NOT_AXIS,OBS,SRC-B05-DIMPLEX-LA2030CP-HYDRAULIC-TEST-CONDITIONS-2026,A7/W35...30,FIXED_CONDITION_CANNOT_MINT_SENSITIVITY,Nominal EN14511 condition is evidence about the test point not independent variation.
B05-P30-R07,RETURN_SENSOR_CLASSIFICATION,CONTROL_METADATA_NOT_AXIS,OBS,SRC-B05-DIMPLEX-LA2030CP-HYDRAULIC-TEST-CONDITIONS-2026;SRC-B05-MITSUBISHI-WM50-FLOW-RETURN-INSTRUMENTATION-2026,INSTALLED,INSTRUMENTATION_CANNOT_MINT_SENSITIVITY,Return observability does not prove capacity/COP dependence.
B05-P30-R08,RETURN_AXIS_ADMISSION,CONDITIONAL,DER,SRC-B05-DIMPLEX-LA2030CP-HYDRAULIC-TEST-CONDITIONS-2026,,MATCHED_OUTDOOR_SUPPLY_WITH_AT_LEAST_TWO_SOURCE_NATIVE_RETURN_VALUES,Same equipment and total-unit input boundary required.
B05-P30-R09,DELTA_T_AXIS_ADMISSION,CONDITIONAL,DER,SRC-B05-DIMPLEX-LA2030CP-HYDRAULIC-TEST-CONDITIONS-2026,,MATCHED_OUTDOOR_SUPPLY_WITH_AT_LEAST_TWO_SOURCE_NATIVE_DELTA_T_VALUES,Derived delta-T alone is insufficient.
B05-P30-R10,RETURN_AND_DELTA_T_SIMULTANEOUS_INDEPENDENCE,FORBIDDEN_WITH_SUPPLY_RETAINED,DER,SRC-B05-ENGINE-CONTRACT-2026,DELTA_T=SUPPLY-RETURN,NO_DOUBLE_COUNT,Use return or delta-T as the hydraulic representation not both as independent coordinates when supply is retained.
B05-P30-R11,PERFORMANCE_MAP_READINESS,UNCHANGED_80,DER,SRC-B05-ENGINE-CONTRACT-2026,80,,No numeric physical surface was added.
B05-P30-R12,B05_OVERALL_READINESS,UNCHANGED_64,DER,SRC-B05-ENGINE-CONTRACT-2026,64,,P30 resolves semantics without inventing performance data.
