component_id,module_id,layer,status,readiness_percent,source_ids,notes
BATTERY_PHYSICAL_CONTRACT,B07,BATTERY_PHYSICAL_CONTRACT,VALIDATED,90,SRC-B07-SYNTHETIC-PHYSICAL-FIXTURE,"Explicit AC/grid boundary, units and fail-closed command semantics."
SOC_STATE_ENGINE,B07,SOC_STATE_ENGINE,VALIDATED,90,SRC-B07-SYNTHETIC-PHYSICAL-FIXTURE,"Bounded SOC, charge/discharge clipping and energy ledger tested."
POWER_ENERGY_LIMITS,B07,POWER_ENERGY_LIMITS,VALIDATED,90,SRC-B07-SYNTHETIC-PHYSICAL-FIXTURE,"Power cap, timestep and SOC headroom are distinct."
EFFICIENCY_BOUNDARY,B07,EFFICIENCY_BOUNDARY,PARTIAL,78,SRC-B07-VARTA-PULSE-NEO-2024;SRC-B07-HTW-PULSE-NEO-2023;SRC-B07-SONNEN-EFFICIENCY-EXPLAINER-2026;SRC-B07-SYNTHETIC-PHYSICAL-FIXTURE,"Product boundaries are now explicit: VARTA 97.8% is battery-only and sonnen 75–80% is a whole-system example; product-specific AC/grid charge and discharge values remain Q. SCN one-way fixture remains executable."
PRODUCT_EVIDENCE,B07,PRODUCT_EVIDENCE,PARTIAL,65,SRC-B07-VARTA-PULSE-NEO-2024;SRC-B07-HTW-PULSE-NEO-2023;SRC-B07-SONNEN-10-PERFORMANCE-2026;SRC-B07-SONNEN-EFFICIENCY-EXPLAINER-2026,"Two German-made manufacturer product records; the added boundary evidence does not establish product-specific AC/grid one-way values; cell origin and remaining efficiency boundaries Q."
DEGRADATION_MODEL,B07,DEGRADATION_MODEL,Q,20,SRC-B07-VARTA-PULSE-NEO-2024;SRC-B07-SONNEN-10-PERFORMANCE-2026,"Warranty retention/cycle statements recorded; runtime degradation law not inferred."
TEMPERATURE_ENVELOPE,B07,TEMPERATURE_ENVELOPE,PARTIAL,45,SRC-B07-VARTA-PULSE-NEO-2024,"VARTA operating range captured; sonnen product range Q; no derating curve invented."
HOUSEHOLD_POWER_BALANCE,B07,HOUSEHOLD_POWER_BALANCE,VALIDATED,85,SRC-B07-SYNTHETIC-PHYSICAL-FIXTURE,"B05 electric load input and physical import/export ledger executable; export legality Q."
PHYSICAL_FLEXIBILITY,B07,PHYSICAL_FLEXIBILITY,VALIDATED,85,SRC-B07-SYNTHETIC-PHYSICAL-FIXTURE,"SOC/power-derived up/down capability; not a market commitment."
B04_TARIFF_INTERFACE,B07,B04_TARIFF_INTERFACE,PARTIAL,20,SRC-B04-NJT-H-TARIFF-2026;SRC-B04-MVM-H-FAQ-2026;SRC-B04-MEKH-HMKE-EXPORT-2026,"B04 now exposes independent charge/discharge/export gates and topology boundaries; all values remain Q and B07 physical engine cannot dispatch through H."
VPP_LEGAL_MARKET_INTERFACE,B07,VPP_LEGAL_MARKET_INTERFACE,Q,0,,"No legal eligibility, market offer or revenue logic in P1."
B08_HANDOFF,B07,B08_HANDOFF,VALIDATED,80,SRC-B07-SYNTHETIC-PHYSICAL-FIXTURE,"Minimal physical handoff fields implemented; aggregation remains B08 scope."
