item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P70-D01,PROGRAMME_DISTRIBUTION_ROUTE,QUALIFIED_SCOPED,,,route,SCN,B02-P69/B02-P70,CENTRAL_HYDRONIC_AWHP_ONLY,AIR_TO_AIR_OR_OTHER_ROUTE_PROMOTION,,"P70 is explicitly conditional on the central hydronic air-to-water heat-pump transition route used by the emitter/hydraulic chain."
B02-P70-D02,P22_ROOM_BY_ROOM_OR_NO_HEAT_DWELLINGS,POINT_IDENTIFIED,1173639,1173639,dwelling,DER,B02-P22/KSH WBL011,NATIONAL_TOPOLOGY_CONTROL,EMITTER_SUBTYPE_INFERENCE,,"Exact runtime aggregation over the committed 116452-row occupied-stock WBL joint."
B02-P70-D03,P22_ROOM_BY_ROOM_OR_NO_HEAT_SHARE,POINT_IDENTIFIED,0.292784582,0.292784582,share,DER,B02-P22/KSH WBL011,NATIONAL_TOPOLOGY_CONTROL,EMITTER_SUBTYPE_INFERENCE,,"1173639 / 4008541 = 0.292784581722..."
B02-P70-D04,P39_PRIMARY_GAS_CONVECTOR_SHARE,POINT_CALIBRATED,0.233,0.233,share,ASS,B02-P39,CALIBRATED_SUBTYPE_FLOOR,OBS_PROMOTION,OVERLAP_WITH_NHEAT_NOT_FULLY_IDENTIFIED,"Retained as a qualified replacement-distribution subtype control."
B02-P70-D05,NEW_OR_REPLACE_DISTRIBUTION_REQUIRED_SHARE,LOWER_BOUNDED,0.292784582,1,share,DER,B02-P22/B02-P39/B02-P70,PROGRAMME_DISTRIBUTION_QUANTITY_BOUND,NHEAT_PLUS_GAS_CONVECTOR_SUM,"CENTRAL_AND_DISTRICT_DISTRIBUTION_REUSE_VS_NEW_OR_REPLACE_ASSIGNMENT","Valid lower bound is max(P22 NHEAT share, P39 gas-convector share), not their sum. P22 NHEAT dominates."
B02-P70-D06,NEW_OR_REPLACE_DISTRIBUTION_REQUIRED_DWELLINGS,SET_BOUNDED,1173639,4008541,dwelling,DER,B02-P22/B02-P70,PROGRAMME_DISTRIBUTION_QUANTITY_BOUND,INTEGER_COUNT_AS_EMITTER_REPLACEMENT_COUNT,"CENTRAL_AND_DISTRICT_DISTRIBUTION_REUSE_VS_NEW_OR_REPLACE_ASSIGNMENT","Exact KSH NHEAT count is a route-conditional lower bound on dwellings requiring new or replaced central distribution; it is not an emitter-unit count."
B02-P70-D07,REUSE_EXISTING_DISTRIBUTION_SHARE,UPPER_BOUNDED,0,0.707215418,share,DER,B02-P22/B02-P70,PROGRAMME_DISTRIBUTION_QUANTITY_BOUND,REUSE_POINT_ESTIMATE,"CENTRAL_AND_DISTRICT_DISTRIBUTION_REUSE_VS_NEW_OR_REPLACE_ASSIGNMENT","Complement of the exact NHEAT non-reuse lower bound."
B02-P70-D08,NHEAT_GAS_CONVECTOR_COMBINATION_RULE,QUALIFIED_MAX_BOUND,,,set rule,DER+ASS,B02-P22/B02-P39/B02-P70,FAIL_CLOSED_UNION_LOWER_BOUND,SUM_WITHOUT_OVERLAP_AUTHORITY,,"max(NHEAT_SHARE,GAS_CONVECTOR_SHARE); addition is forbidden until overlap is identified."
B02-P70-D09,HUNGARIAN_DISTRIBUTION_NONREUSE_ASSIGNMENT,PARTIAL_RESOLVED_EXACT_NHEAT,,,assignment,DER,B02-P22/B02-P70,NHEAT_BRANCH_ASSIGNMENT,FULL_STOCK_ASSIGNMENT,"CENTRAL_AND_DISTRICT_DISTRIBUTION_REUSE_VS_NEW_OR_REPLACE_ASSIGNMENT","The NHEAT branch is assigned exactly for the scoped route; central and district branches remain unresolved."
B02-P70-D10,Q-B02-004,OPEN_NARROWED,,,state,Q,B02-P70,LAYERED_SET_PROPAGATION,CLAIM_OF_FULL_NATIONAL_ACTION_DISTRIBUTION,"CENTRAL_AND_DISTRICT_DISTRIBUTION_REUSE_VS_NEW_OR_REPLACE_ASSIGNMENT;HUNGARIAN_EMITTER_INTERVENTION_ASSIGNMENT;ROOM_GRAIN_ACTION_DISTRIBUTION;MARKET_REALIZED_COST_DISTRIBUTION_IF_CENTRAL_ESTIMATE_REQUIRED","P70 removes the NHEAT part of the distribution-assignment uncertainty and strengthens the national non-reuse floor from 23.3% calibrated to 29.278458% exact DER."
