item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P87-V01,RESIDENTIAL_REQUIRED_AIR_CHANGE,CURRENT_METHOD_REFERENCE,0.5,0.5,1/h,POL,SRC-B06-HU-ENERGY-METHOD-2023,CURRENT_METHOD_RESIDENTIAL_SERVICE_REFERENCE,OBSERVED_POPULATION_AIR_CHANGE;HOUSEHOLD_MEASUREMENT,,"Appendix 2 Table 2.1 gives residential n_szüks=0.5 1/h. This is a mandatory calculation-method reference for residential energy calculation, not observed population prevalence."
B02-P87-V02,AIR_VOLUMETRIC_HEAT_CAPACITY,CURRENT_METHOD_REFERENCE,0.35,0.35,Wh/m3K,POL,SRC-B06-HU-ENERGY-METHOD-2023,VENTILATION_HEAT_TRANSFER_CALCULATION,OBSERVED_WEATHER_OR_BUILDING_PARAMETER,,"Appendix 1 section 6.2 uses 0.35 Wh/m3K in H_vent formulas."
B02-P87-V03,OFFICIAL_INFILTRATION_METHOD_DOMAIN,BOUNDED_METHOD_DOMAIN,0,1,1/h,POL,SRC-B06-HU-ENERGY-METHOD-2023,FAIL_CLOSED_NATURAL_VENTILATION_SENSITIVITY,POPULATION_DISTRIBUTION;POST_RETROFIT_DEFAULT,"POST_RETROFIT_AIRTIGHTNESS_CLASS_PREVALENCE_REQUIRED","Appendix 2 Table 2.4 contains listed n_filt cases from 0.00 to 1.00 1/h depending airtightness, facade/exposure/storey conditions."
B02-P87-V04,GOOD_AIRTIGHTNESS_INFILTRATION_SCENARIO,SENSITIVITY_ONLY,0.03,0.06,1/h,POL/SCN,SRC-B06-HU-ENERGY-METHOD-2023,EXPLICIT_GOOD_AIRTIGHTNESS_SENSITIVITY,REFERENCE_RETROFIT_DEFAULT;POPULATION_SHARE,"ACTION_TO_AIRTIGHTNESS_AND_VENTILATION_SYSTEM_MAPPING_REQUIRED","Current method gives 0.03 1/h for one-facade and 0.06 1/h for multiple-facade/shaft good-airtightness cases. P87 does not assume the reference retrofit reaches this class."
B02-P87-V05,BME_TYPE5_VENTILATION_RANGE,EMPIRICAL_CALIBRATION,0.11,0.86,1/h,DER,SRC-B02-BME-RBSM-2026,TYPE5_EMPIRICAL_CALIBRATION,ALL_ARCHETYPE_POST_RETROFIT_DISTRIBUTION;NATIONAL_POPULATION_SHARE,,"BME Type-5 derives ventilation from 30 m3/h/person and REKK occupant counts and samples a truncated lognormal over the actual 0.110-0.860 1/h range."
B02-P87-V06,BME_TYPE5_INFILTRATION_DISTRIBUTION,EMPIRICAL_CALIBRATION,0.28,0.1,mean_and_sigma_1/h,DER,SRC-B02-BME-RBSM-2026,TYPE5_EMPIRICAL_CALIBRATION,ALL_ARCHETYPE_POST_RETROFIT_DISTRIBUTION,,"BME Type-5 infiltration is modelled Normal with mean 0.280 1/h and standard deviation 0.100 1/h after EPC-data repair."
B02-P87-V07,FOURTEEN_STRATUM_CURRENT_METHOD_HVENT,MATERIALIZED_BOUNDED,25.431534722,331.4115,W/K,POL/DER/SCN,B02-P85;SRC-B06-HU-ENERGY-METHOD-2023,BOUNDED_B06_VENTILATION_COMPONENT,POPULATION_PROBABILITY_INTERVAL;HOUSEHOLD_POINT,POST_RETROFIT_AIRTIGHTNESS_CLASS_PREVALENCE_REQUIRED,"14/14 WBL-period x building-group strata use P85 heated-volume bounds and H_vent=0.35*(0.5+n_filt)*V with n_filt in the full official 0..1 method domain."
B02-P87-V08,FOURTEEN_STRATUM_CURRENT_METHOD_QVENT,MATERIALIZED_BOUNDED,0.762946042,10.605168,kW,POL/DER/SCN,B02-P85;B02-P86;SRC-B06-HU-ENERGY-METHOD-2023,BOUNDED_VENTILATION_DESIGN_LOAD_COMPONENT,TOTAL_BUILDING_DESIGN_LOAD;POPULATION_PROBABILITY_INTERVAL,"POST_RETROFIT_AIRTIGHTNESS_CLASS_PREVALENCE_REQUIRED","Uses residential 20 C method reference and P86 current-standard outdoor domain -12..-10 C. Lower uses 30 K with H_vent lower; upper uses 32 K with H_vent upper."
B02-P87-V09,GOOD_AIRTIGHTNESS_HVENT_SENSITIVITY,MATERIALIZED_SENSITIVITY,26.957426806,123.72696,W/K,POL/SCN,B02-P85;SRC-B06-HU-ENERGY-METHOD-2023,GOOD_AIRTIGHTNESS_SENSITIVITY,REFERENCE_RETROFIT_DEFAULT;POPULATION_DISTRIBUTION,ACTION_TO_AIRTIGHTNESS_AND_VENTILATION_SYSTEM_MAPPING_REQUIRED,"14-stratum sensitivity only using n_filt 0.03..0.06."
B02-P87-V10,GOOD_AIRTIGHTNESS_QVENT_SENSITIVITY,MATERIALIZED_SENSITIVITY,0.808722804,3.95926272,kW,POL/SCN,B02-P85;B02-P86;SRC-B06-HU-ENERGY-METHOD-2023,GOOD_AIRTIGHTNESS_VENTILATION_LOAD_SENSITIVITY,TOTAL_BUILDING_DESIGN_LOAD;REFERENCE_RETROFIT_DEFAULT,ACTION_TO_AIRTIGHTNESS_AND_VENTILATION_SYSTEM_MAPPING_REQUIRED,"Ventilation-only design-load component sensitivity; not total peak heat load."
B02-P87-V11,RESIDENTIAL_HEATING_REFERENCE_TEMPERATURE,CURRENT_METHOD_SERVICE_REFERENCE,20,20,degC,POL,SRC-B06-HU-ENERGY-METHOD-2023,EXPLICIT_PROGRAMME_SERVICE_SCENARIO,OBSERVED_HOUSEHOLD_SETPOINT,,"Appendix 2 Table 2.1 supplies 20 C heating reference for the residential calculation method. Specific project/design authority may override it."
B02-P87-V12,DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED,PARTIAL_RESOLVED_CURRENT_METHOD_HVENT_SURFACE,,,state,Q/POL/DER,B02-P87,BOUNDED_DESIGN_LOAD_SCENARIO,CLAIM_OF_OBSERVED_NATIONAL_POST_RETROFIT_DISTRIBUTION,"POST_RETROFIT_AIRTIGHTNESS_CLASS_PREVALENCE_REQUIRED;POST_RETROFIT_MECHANICAL_VENTILATION_PREVALENCE_REQUIRED;POST_RETROFIT_HEAT_RECOVERY_EFFICIENCY_DISTRIBUTION_REQUIRED;ACTION_TO_AIRTIGHTNESS_AND_VENTILATION_SYSTEM_MAPPING_REQUIRED","Generic ventilation unknown is narrowed: method-authorized H_vent and Q_vent surfaces are executable; remaining uncertainty is physical-system/population assignment."
B02-P87-V13,Q-B02-004,OPEN_NARROWED,,,state,Q,B02-P87,BOUNDED_PHYSICAL_RESPONSE_COMPLETION,CLAIM_OF_COMPLETE_NATIONAL_DESIGN_LOAD,"POST_RETROFIT_AIRTIGHTNESS_CLASS_PREVALENCE_REQUIRED;POST_RETROFIT_MECHANICAL_VENTILATION_PREVALENCE_REQUIRED;POST_RETROFIT_HEAT_RECOVERY_EFFICIENCY_DISTRIBUTION_REQUIRED;NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;COMPLETE_LOCATION_TO_CURRENT_STANDARD_ZONE_MAPPING_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED","P87 materializes the ventilation loss component but total B06 design load remains partial."
