record_id,claim,status,evidence_status,product_scope,source_ids,resolved_scope,residual_gap,notes
B05-P33-R01,NIBE_S2125_DEFROST_REQUIREMENT_TRIGGER,QUALIFIED_BOUNDED,OBS,NIBE_S2125,SRC-B05-NIBE-S2125-IHB,BT16_BELOW_EXPLICIT_START_THRESHOLD_WHILE_COMPRESSOR_RUNS,NIBE_CONTROLLER_TIMER_INITIALIZATION_RESET_RULE_REQUIRED_FOR_FULL_SIMULATION,"Manufacturer states the controller counts time toward active defrost for each compressor-running minute while BT16 is below the configured start threshold."
B05-P33-R02,NIBE_S2125_ACTIVE_DEFROST_START,QUALIFIED_BOUNDED,OBS,NIBE_S2125,SRC-B05-NIBE-S2125-IHB,CONTROLLER_TIME_TO_ACTIVE_DEFROST_EQUALS_ZERO,WEATHER_ONLY_EVENT_FREQUENCY_NOT_PROVEN,"P33 consumes controller time-to-active-defrost; it does not invent timer initialization/reset dynamics."
B05-P33-R03,NIBE_S2125_PASSIVE_DEFROST_GATE,QUALIFIED_BOUNDED,OBS,NIBE_S2125,SRC-B05-NIBE-S2125-IHB,DEFROST_REQUIREMENT_PLUS_COMPRESSOR_DEMAND_FULFILLED_PLUS_BT28_ABOVE_CONFIGURED_CUTOUT,,"Factory default passive cut-out is 4 C; runtime contract requires explicit configured value rather than silently assuming default."
B05-P33-R04,NIBE_S2125_ACTIVE_PASSIVE_OPERATING_STATE,QUALIFIED_BOUNDED,OBS,NIBE_S2125,SRC-B05-NIBE-S2125-IHB,ACTIVE_COMPRESSOR_ON_FAN_OFF__PASSIVE_COMPRESSOR_OFF_FAN_ON,NIBE_DEFROST_EVENT_HEAT_ELECTRIC_ENERGY_REQUIRED,"Operating-component state does not quantify electrical or heat energy."
B05-P33-R05,NIBE_S2125_ACTIVE_DEFROST_TERMINATION,QUALIFIED_BOUNDED,OBS,NIBE_S2125,SRC-B05-NIBE-S2125-IHB,EVAPORATOR_STOP_OR_GT15MIN_OR_BT3_LT10C_OR_BP8_LIMIT,NIBE_DEFROST_EVENT_HEAT_ELECTRIC_ENERGY_REQUIRED,"Longer than 15 minutes is treated literally as >15 min, not >=15 min."
B05-P33-R06,NIBE_S2125_MODBUS_DEFROST_OBSERVABILITY,QUALIFIED_DIRECT_TELEMETRY,OBS,NIBE_S2125_F2120,SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026,BT28_BT16_COMPRESSOR_FREQUENCY_DEFROST_0_1_2,NIBE_DEFROST_EVENT_HEAT_ELECTRIC_ENERGY_REQUIRED,"Direct observational path permits state/event-series capture without inferring BT16 from ambient weather."
B05-P33-R07,WEATHER_TO_NIBE_BT16_OR_OBS_TIMESERIES_REQUIRED,OPEN,Q,NIBE_S2125,SRC-B05-NIBE-S2125-IHB;SRC-B05-HUNGARY-HOURLY-HIST-2026,,WEATHER_TO_NIBE_BT16_OR_OBS_TIMESERIES_REQUIRED,"Hungarian ambient temperature and RH alone do not determine the product evaporator sensor state."
B05-P33-R08,NIBE_DEFROST_EVENT_HEAT_ELECTRIC_ENERGY_REQUIRED,OPEN,Q,NIBE_S2125,SRC-B05-NIBE-S2125-IHB;SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026,,NIBE_DEFROST_EVENT_HEAT_ELECTRIC_ENERGY_REQUIRED,"No source-native per-event heat removal or electrical kWh is present in the admitted manufacturer sources."
B05-P33-R09,CROSS_PRODUCT_DEFROST_RUNTIME_COVERAGE_REQUIRED,OPEN,Q,GENERIC,SRC-B05-NIBE-S2125-IHB,,CROSS_PRODUCT_DEFROST_RUNTIME_COVERAGE_REQUIRED,"NIBE controller evidence is not transferred to Mitsubishi, Dimplex, Vaillant, STIEBEL or other products."
B05-P33-R10,PRODUCT_SPECIFIC_WEATHER_DRIVEN_DEFROST_MODEL_REQUIRED,PARTIAL_RESOLVED_TO_EXACT_CONTROLLER_STATE_AND_TELEMETRY,DER,NIBE_S2125,SRC-B05-NIBE-S2125-IHB;SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026,EVENT_STATE_IDENTIFICATION,NIBE_DEFROST_EVENT_HEAT_ELECTRIC_ENERGY_REQUIRED;WEATHER_TO_NIBE_BT16_OR_OBS_TIMESERIES_REQUIRED;CROSS_PRODUCT_DEFROST_RUNTIME_COVERAGE_REQUIRED,"State is bounded and observable; weather-only event frequency and event energy remain open."
B05-P33-R11,Q-B05-003,OPEN_NARROWED_TO_EVENT_ENERGY_AND_WEATHER_TO_EVAPORATOR_STATE,Q,GENERIC,SRC-B05-NIBE-S2125-IHB;SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026,BOUNDED_NIBE_STATE_AND_TELEMETRY,NIBE_DEFROST_EVENT_HEAT_ELECTRIC_ENERGY_REQUIRED;WEATHER_TO_NIBE_BT16_OR_OBS_TIMESERIES_REQUIRED;CROSS_PRODUCT_DEFROST_RUNTIME_COVERAGE_REQUIRED,"No universal penalty and no ambient-RH-only trigger."
B05-P33-R12,DEFROST_READINESS,PARTIAL_20,DER,GENERIC,SRC-B05-NIBE-S2125-IHB;SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026,STATE_AND_TELEMETRY_ONLY,NIBE_DEFROST_EVENT_HEAT_ELECTRIC_ENERGY_REQUIRED;WEATHER_TO_NIBE_BT16_OR_OBS_TIMESERIES_REQUIRED;CROSS_PRODUCT_DEFROST_RUNTIME_COVERAGE_REQUIRED,"B05 overall remains 64%."
