item_id,legacy_blocker,replacement,plane,status,exact_claim_boundary,current_evidence,current_state,residual
B10-P67-R01,NO_COMPLETE_KSH_DSO_MEMBERSHIP_CROSSWALK,DISCLOSED_RESIDUAL_SPATIAL_UNCERTAINTY_REQUIRED,NATIONAL_NETWORK_INFERENCE,RETIRED_AS_NATIONAL_MODELLING_BLOCKER,EXACT_UNRESOLVED_LOCATION_STILL_REQUIRES_EXACT_DSO_MEMBERSHIP,"P64: 96.767036% any effective resolved settlement presence; 3.232964% no effective resolution",QUALIFIED_OPERATIONAL_SPATIAL_SURFACE,DISCLOSED_RESIDUAL_MUST_PROPAGATE
B10-P67-R02,PARTIAL_SETTLEMENT_USAGE_LOCATION_RESOLUTION_REQUIRED,DISCLOSED_RESIDUAL_SPATIAL_UNCERTAINTY_REQUIRED,NATIONAL_NETWORK_INFERENCE,RETIRED_AS_NATIONAL_MODELLING_BLOCKER,EXACT_PARTIAL_SETTLEMENT_CLAIM_REQUIRES_USAGE_LOCATION_AUTHORITY,"P64 operational acceptance with unresolved rows preserved as Q",QUALIFIED_OPERATIONAL_SPATIAL_SURFACE,DISCLOSED_RESIDUAL_MUST_PROPAGATE
B10-P67-R03,NO_COMPLETE_NATIONAL_DSO_NODE_INVENTORY,DEFENSIBLE_REPRESENTATIVE_NODE_COHORT_REQUIRED,NATIONAL_NETWORK_INFERENCE,RETIRED_AS_NATIONAL_EXPECTED_IMPACT_BLOCKER,EXHAUSTIVE_LIMITING_NODE_CLAIM_REQUIRES_COMPLETE_RELEVANT_NODE_AUTHORITY,"6/6 DSO operators have bounded current node-bearing consumption publication sources",PARTIAL_SOURCE_READY,REPRESENTATIVE_NUMERIC_NODE_COHORT_REQUIRED
B10-P67-R04,HEADROOM_NODE_SET_NOT_INVENTORY_COMPLETENESS,REPRESENTATIVE_HEADROOM_SAMPLE_WITH_SCOPE_AND_UNCERTAINTY_REQUIRED,NATIONAL_NETWORK_INFERENCE,REFRAMED_AS_INFERENCE_REQUIREMENT,PUBLISHED_HEADROOM_ROW_STILL_CANNOT_MINT_UNPUBLISHED_NODE_OR_TOPOLOGY,"P1/P2/P23/P34 source families",PARTIAL_SOURCE_READY,REPRESENTATIVE_NUMERIC_HEADROOM_COHORT_REQUIRED
B10-P67-R05,PUBLISHED_NODE_SET_REPOSITORY_MATERIALIZATION_BLOCKED,SOURCE_ACCESS_PROVENANCE_AND_RUNTIME_USE_AUTHORITY_REQUIRED,SOURCE_ACCESS_AND_PROVENANCE,RETIRED_AS_PUBLIC_REPOSITORY_PREREQUISITE,RAW_REPUBLICATION_STILL_REQUIRES_REUSE_PERMISSION,"Public/current source locators exist; raw republication permission differs by source",SOURCE_LAYER_SEPARATED,RUNTIME_USE_AND_PROVENANCE_MUST_BE_SOURCE_SPECIFIC
B10-P67-R06,NO_REAL_PROGRAMME_NODE_PANEL,DEFENSIBLE_PROGRAMME_DEMAND_DISTRIBUTION_BY_DSO_STRATUM_REQUIRED,NATIONAL_NETWORK_INFERENCE,REFRAMED_AS_POPULATION_INFERENCE_REQUIREMENT,SPECIFIC_NODE_DEMAND_CLAIM_REQUIRES_EXACT_ENTITY_TO_NODE_MAPPING,"P9 exact-node contract retained",Q,PROGRAMME_DEMAND_DISTRIBUTION_REQUIRED
B10-P67-R07,NO_REAL_MANAGED_PEAK_SURVIVABILITY_STUDY,DEFENSIBLE_MANAGED_PEAK_SURVIVABILITY_INFERENCE_REQUIRED,NATIONAL_NETWORK_INFERENCE,REFRAMED_AS_POPULATION_INFERENCE_REQUIREMENT,SPECIFIC_NODE_SURVIVABILITY_CLAIM_REQUIRES_CLAIM_SPECIFIC_NETWORK_STUDY,"P10/P28/P29 exact study lineage retained",Q,REPRESENTATIVE_SURVIVABILITY_EVIDENCE_REQUIRED
B10-P67-R08,INCREMENTAL_CAPEX_ATTRIBUTION_HEADER_ONLY,REPRESENTATIVE_REINFORCEMENT_COHORT_AND_INCREMENTAL_CAPEX_DISTRIBUTION_REQUIRED,NATIONAL_NETWORK_INFERENCE,REFRAMED_AS_POPULATION_INFERENCE_REQUIREMENT,SPECIFIC_PROJECT_PROGRAMME_CAPEX_REQUIRES_EXACT_P3_P5_P31_P32_LINEAGE,"2 baseline RRF projects exist from 2 operators; not programme-incremental cohort",CALIBRATION_ONLY_SMALL_BASELINE_PROJECT_COHORT,REPRESENTATIVE_PROGRAMME_REINFORCEMENT_CAPEX_COHORT_REQUIRED
B10-P67-R09,NO_REAL_TIMED_PROGRAMME_CAPEX,DEFENSIBLE_REINFORCEMENT_DELIVERY_TIMING_DISTRIBUTION_REQUIRED,NATIONAL_NETWORK_INFERENCE,REFRAMED_AS_POPULATION_INFERENCE_REQUIREMENT,SPECIFIC_PROJECT_TIMED_CAPEX_REQUIRES_EXACT_P11_P32_P33_LINEAGE,"P6 timing evidence + two baseline projects",CALIBRATION_ONLY,REPRESENTATIVE_DELIVERY_TIMING_COHORT_REQUIRED
B10-P67-R10,CURRENT_NATIONAL_NETWORK_INFERENCE,BOUNDED_NETWORK_POPULATION_INFERENCE,NATIONAL_NETWORK_INFERENCE,PARTIAL_READY,NATIONAL_NETWORK_ESTIMATE_CANNOT_PASS_A_SPECIFIC_NODE,"P64 spatial surface + 6/6 node-source coverage + 2 baseline projects",Q_NATIONAL_NETWORK_INFERENCE,"PROGRAMME_DEMAND_DISTRIBUTION_REQUIRED;REPRESENTATIVE_NUMERIC_HEADROOM_COHORT_REQUIRED;REPRESENTATIVE_PROGRAMME_REINFORCEMENT_CAPEX_COHORT_REQUIRED;REPRESENTATIVE_DELIVERY_TIMING_COHORT_REQUIRED;REPRESENTATIVE_SURVIVABILITY_EVIDENCE_REQUIRED;NETWORK_POPULATION_CALIBRATION_REQUIRED;NETWORK_INFERENCE_UNCERTAINTY_REQUIRED"
