field_id,field_name,public_machine_sources,availability_status,grain,minimum_quality,readiness_use,limitation,evidence_status,status,notes
P1K-001,schema_version,SRC-B02-OENY-PUBLIC-UI-2026,NOT_PUBLICLY_AVAILABLE,public_ui_version,"UI footer version observed, but not P1K schema 1.0 record field",none,"OÉNY UI version and pilot schema version are different claims",OBS,NOT_PUBLICLY_AVAILABLE,"Do not equate v3.0.13127 with P1K schema_version 1.0."
P1K-002,pilot_record_id,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,certificate_search_result,"No non-linkable random pilot ID supplied",none,"Any HET/address identifier would violate P1K minimization; no response item observed",OBS,NOT_PUBLICLY_AVAILABLE,"Local generation would require prohibited raw record intake."
P1K-003,reference_year,SRC-B02-OENY-PUBLIC-CERT-BASICS-2026;EP-OENY-CERT-LIST-SEARCH-2026,PUBLIC_PARTIAL,certificate_date,"Official description says certificate date is publicly queryable; payload not observed in zero-result test",partial,"No safe bulk/aggregate extraction or P1K reference-year mapping proved",OBS,CONTRACTED_PARTIAL,"May be available per public query, but not a reproducible P1K pilot source."
P1K-004,coarse_geography,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,exact_address_search,"UI requires settlement/street fields; no coarse geography field observed",none,"No P1K-safe coarse region/settlement-type output",OBS,NOT_PUBLICLY_AVAILABLE,"Exact-address interaction is not used for data collection."
P1K-005,building_category,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,certificate_search_result,"No building category in observed response",none,"No S0 archetype coverage",OBS,NOT_PUBLICLY_AVAILABLE,"Zero-result response cannot prove item schema."
P1K-006,construction_period_band,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,certificate_search_result,"No construction period field in observed response",none,"No S0 period stratifier",OBS,NOT_PUBLICLY_AVAILABLE,"Not inferred from certificate date."
P1K-007,heated_floor_area_band,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,certificate_search_result,"No floor-area band in observed response",none,"No S0 floor-area stratifier",OBS,NOT_PUBLICLY_AVAILABLE,"No exact area collected."
P1K-008,heating_system_quality,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,certificate_search_result,"No five-level quality value in observed response",none,"No S0 quality input",OBS,NOT_PUBLICLY_AVAILABLE,"Public certificate basics are not the full structured certificate."
P1K-009,heating_energy_carrier,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,certificate_search_result,"No carrier field in observed response",none,"No S0 carrier input",OBS,NOT_PUBLICLY_AVAILABLE,"No fuel inference from address or UI."
P1K-010,emitter_status,SRC-B02-OENY-PUBLIC-UI-2026;EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,certificate_or_document,"No current-emitter status or explicit evidence in public response",none,"S2 remains blocked",OBS,NOT_PUBLICLY_AVAILABLE,"Full certificate/document is not public according to official description."
P1K-011,emitter_types,SRC-B02-OENY-PUBLIC-CERT-BASICS-2026,NOT_PUBLICLY_AVAILABLE,certificate_or_document,"No emitter enum/list observed",none,"No S2 emitter gate",OBS,NOT_PUBLICLY_AVAILABLE,"No photo/PDF or proposed-modernization inference."
P1K-012,emitter_evidence,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,certificate_or_document,"No evidence-type field observed",none,"No audit trail for emitter OBS",OBS,NOT_PUBLICLY_AVAILABLE,"No source-page evidence available from public result."
P1K-013,temperature_status,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,certificate_or_document,"No temperature status observed",none,"No S2 temperature gate",OBS,NOT_PUBLICLY_AVAILABLE,"Reference legal values not observed building data."
P1K-014,supply_temperature_c,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,record_x_temperature_basis,"No numeric supply temperature observed",none,"No P1K temperature pair",OBS,NOT_PUBLICLY_AVAILABLE,"No 55/45 synthesis."
P1K-015,return_temperature_c,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,record_x_temperature_basis,"No numeric return temperature observed",none,"No P1K temperature pair",OBS,NOT_PUBLICLY_AVAILABLE,"No derivation from supply temperature."
P1K-016,temperature_basis,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,record_x_temperature_basis,"No basis enum observed",none,"No epistemic basis for temperatures",OBS,NOT_PUBLICLY_AVAILABLE,"No reference assumption promoted to OBS."
P1K-017,demand_reduction_status,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,household_or_archetype_x_phase,"No intervention-linked before/after status",none,"S1 remains blocked",OBS,NOT_PUBLICLY_AVAILABLE,"OÉNY search is not an intervention outcome source."
P1K-018,hydraulic_readiness_status,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,building_x_technical_evidence,"No hydraulic evidence/status",none,"No S2 hydraulic gate",OBS,NOT_PUBLICLY_AVAILABLE,"No inference from public certificate search."
P1K-019,electrical_readiness_status,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,building_x_region,"No electrical readiness/status",none,"No S2 electrical gate",OBS,NOT_PUBLICLY_AVAILABLE,"No DSO data in public endpoint."
P1K-020,permit_readiness_status,EP-OENY-CERT-LIST-SEARCH-2026,NOT_PUBLICLY_AVAILABLE,building_x_phase,"No permit readiness/status",none,"No S2 permit gate",OBS,NOT_PUBLICLY_AVAILABLE,"No legal conclusion from certificate presence."
P1K-021,evidence_pages,SRC-B02-OENY-PUBLIC-CERT-BASICS-2026,NOT_PUBLICLY_AVAILABLE,record_x_source_page,"No public page/evidence reference for structured readiness fields",none,"No document audit trail",OBS,NOT_PUBLICLY_AVAILABLE,"Full certificate not publicly available."
P1K-022,pii_check,EP-OENY-CERT-LIST-SEARCH-2026,UNCERTAIN,public_search_response,"Public UI is address-oriented; no P1K PII-pass response was observed",none,"Cannot accept any public payload without a separate PII scan and release gate",Q,UNCERTAIN,"No real address or result record was collected."
