item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P81-L01,EXISTING_BUILDING_ENERGY_SAVING_RENOVATION_COMPONENT_RULE,QUALIFIED_CURRENT_LEGAL_SCOPE,,,legal scope,POL,SRC-B02-HU-ENERGY-RULES-2023,AFFECTED_COMPONENT_LEGAL_REQUIREMENT,UNTOUCHED_COMPONENT_PROMOTION,"NATIONAL_AFFECTED_ENVELOPE_COMPONENT_ASSIGNMENT_REQUIRED;NATIONAL_LEGAL_ENVELOPE_EXCEPTION_REGIME_REQUIRED","9/2023 EKM section 3(3): structures of an existing building affected by energy-saving renovation must satisfy Annex 1 sections 1 and 2, subject to applicable exceptions/transitional rules."
B02-P81-L02,CURRENT_LEGAL_EXTERNAL_WALL_U_MAX,QUALIFIED_CURRENT_LEGAL_U_REQUIREMENT,,0.24,W/m2K,POL,SRC-B02-HU-ENERGY-RULES-2023,AFFECTED_COMPONENT_POST_STATE_CONSTRAINT,CURRENT_STOCK_U_OBSERVATION;REALIZED_POINT_U_VALUE,NATIONAL_AFFECTED_ENVELOPE_COMPONENT_ASSIGNMENT_REQUIRED,"Annex 1 section 1.1: homlokzati fal."
B02-P81-L03,CURRENT_LEGAL_FLAT_ROOF_U_MAX,QUALIFIED_CURRENT_LEGAL_U_REQUIREMENT,,0.17,W/m2K,POL,SRC-B02-HU-ENERGY-RULES-2023,AFFECTED_COMPONENT_POST_STATE_CONSTRAINT,CURRENT_STOCK_U_OBSERVATION;REALIZED_POINT_U_VALUE,NATIONAL_AFFECTED_ENVELOPE_COMPONENT_ASSIGNMENT_REQUIRED,"Annex 1 section 1.1: laposteto."
B02-P81-L04,CURRENT_LEGAL_HEATED_ATTIC_BOUNDARY_U_MAX,QUALIFIED_CURRENT_LEGAL_U_REQUIREMENT,,0.17,W/m2K,POL,SRC-B02-HU-ENERGY-RULES-2023,AFFECTED_COMPONENT_POST_STATE_CONSTRAINT,CURRENT_STOCK_U_OBSERVATION;REALIZED_POINT_U_VALUE,NATIONAL_AFFECTED_ENVELOPE_COMPONENT_ASSIGNMENT_REQUIRED,"Annex 1 section 1.1: futott tetoteret hatarolo szerkezetek; admitted mapping to P80 PITCHED_ROOF only when that component bounds heated attic space."
B02-P81-L05,CURRENT_LEGAL_ATTIC_FLOOR_U_MAX,QUALIFIED_CURRENT_LEGAL_U_REQUIREMENT,,0.17,W/m2K,POL,SRC-B02-HU-ENERGY-RULES-2023,AFFECTED_COMPONENT_POST_STATE_CONSTRAINT,CURRENT_STOCK_U_OBSERVATION;REALIZED_POINT_U_VALUE,NATIONAL_AFFECTED_ENVELOPE_COMPONENT_ASSIGNMENT_REQUIRED,"Annex 1 section 1.1: padlas es buvoter alatti fodem."
B02-P81-L06,CURRENT_LEGAL_BASEMENT_CEILING_U_MAX,QUALIFIED_CURRENT_LEGAL_U_REQUIREMENT,,0.26,W/m2K,POL,SRC-B02-HU-ENERGY-RULES-2023,AFFECTED_COMPONENT_POST_STATE_CONSTRAINT,CURRENT_STOCK_U_OBSERVATION;REALIZED_POINT_U_VALUE,NATIONAL_AFFECTED_ENVELOPE_COMPONENT_ASSIGNMENT_REQUIRED,"Annex 1 section 1.1: also zarofodem futetlen terek felett."
B02-P81-L07,CURRENT_LEGAL_WOOD_PVC_WINDOW_U_MAX,QUALIFIED_CURRENT_LEGAL_U_REQUIREMENT,,1.10,W/m2K,POL,SRC-B02-HU-ENERGY-RULES-2023,AFFECTED_COMPONENT_POST_STATE_CONSTRAINT,CURRENT_STOCK_U_OBSERVATION;REALIZED_POINT_U_VALUE,NATIONAL_AFFECTED_ENVELOPE_COMPONENT_ASSIGNMENT_REQUIRED,"Annex 1 section 1.1: wood/PVC framed facade glazed opening >0.5 m2; includes frame/glazing/spacer effects per source note."
B02-P81-L08,P80_PITCHED_ROOF_REFERENCE_GAP,RESOLVED_BY_CURRENT_LEGAL_AUTHORITY,,0.17,W/m2K,POL,B02-P80/SRC-B02-HU-ENERGY-RULES-2023,CURRENT_LEGAL_AFFECTED_COMPONENT_POST_STATE,HISTORICAL_TABLE_9_1_ROW_INVENTION,NATIONAL_AFFECTED_ENVELOPE_COMPONENT_ASSIGNMENT_REQUIRED,"The historical Table 9.1 omission is no longer a current-law U-bound blocker for an affected heated-attic boundary component."
B02-P81-L09,AIR_TO_WATER_HP_ONLY_ENVELOPE_LEGAL_TRIGGER,NOT_TRIGGERED_BY_HP_ONLY,,,contract,DER,B02-P80/B02-P81,TRANSITION_SEMANTICS,LEGAL_U_REQUIREMENT_FOR_UNTOUCHED_ENVELOPE,CURRENT_NO_ACTION_BASELINE_U_SURFACE_REQUIRED,"Installing AWHP only does not by itself make an untouched envelope component an energy-saving-renovation-affected structure."
B02-P81-L10,PROTECTED_BUILDING_EXCEPTION,FAIL_CLOSED_EXCEPTION_GATE,,,legal exception,POL,SRC-B02-HU-ENERGY-RULES-2023,RECORD_PROJECT_LEGAL_SCOPE,ASSUME_NO_EXCEPTION,NATIONAL_LEGAL_ENVELOPE_EXCEPTION_REGIME_REQUIRED,"The decree excludes protected buildings/elements where meeting minimum energy requirements would alter the protected value; national applicability cannot silently assume no exception."
