record_id,claim,status,evidence_status,product_controller,source_ids,resolved_scope,residual_gap,notes
B05-P32-R01,DIMPLEX_WPM_TOUCH_DHW_HYSTERESIS_STATE,QUALIFIED_STATEFUL_RULE,DER,LA2030CP+WPM_TOUCH,SRC-B05-DIMPLEX-WPMTOUCH-DHW-CONTROL-2026,REQUEST_START_HOLD_STOP_WITH_EXPLICIT_HP_MAX,,Request starts below effective HP target minus hysteresis; prior request holds through deadband until effective target is reached.
B05-P32-R02,DIMPLEX_WPM_TOUCH_HP_MAX_CAP,QUALIFIED_RUNTIME_STATE,OBS,LA2030CP+WPM_TOUCH,SRC-B05-DIMPLEX-WPMTOUCH-DHW-CONTROL-2026,EFFECTIVE_HP_TARGET_EQUALS_MIN_SETPOINT_HP_MAX,HP_MAX_CONTROLLER_STATE_REQUIRED,WPM Touch calculates current maximum attainable DHW temperature from heat-source temperature; P32 requires that current value as input rather than inventing its mapping.
B05-P32-R03,DIMPLEX_WPM_TOUCH_AUX_REHEAT_SEPARATION,QUALIFIED_BOUNDED,OBS,LA2030CP+WPM_TOUCH,SRC-B05-DIMPLEX-WPMTOUCH-DHW-CONTROL-2026,HEAT_PUMP_TO_HP_MAX_THEN_AUXILIARY_IF_ENABLED,AUXILIARY_REHEAT_ENERGY_SEPARATE,Heat-pump COP is not applied to flange-heater reheating above HP maximum.
B05-P32-R04,DIMPLEX_LA2030CP_W65_SOURCE_GRID,QUALIFIED_EXACT_SOURCE_GRID,OBS,LA2030CP+WPM_TOUCH,SRC-B05-DIMPLEX-LA2030CP-W65-PERFORMANCE-2026,9_OUTDOOR_TEMPERATURES_X_MIN_MAX,DIMPLEX_W65_RUNTIME_PERFORMANCE_LEVEL_REQUIRED,18 exact W65 Qh/Pel/COP points from source table.
B05-P32-R05,DIMPLEX_LA2030CP_A_MINUS22_W65,BLANK_SOURCE_CELL,Q,LA2030CP+WPM_TOUCH,SRC-B05-DIMPLEX-LA2030CP-W65-PERFORMANCE-2026,A_MINUS22_W65,DHW_HIGH_TEMP_PERFORMANCE_OUTSIDE_DIMPLEX_W65_EXACT_GRID_REQUIRED,Source table leaves A-22/W65 blank; P32 does not fill or digitize it.
B05-P32-R06,STATEFUL_DHW_CONTROLLER_RUNTIME_REQUIRED,RESOLVED_FOR_DIMPLEX_WPM_TOUCH_HYSTERESIS_STATE,DER,LA2030CP+WPM_TOUCH,SRC-B05-DIMPLEX-WPMTOUCH-DHW-CONTROL-2026,EXACT_DIMPLEX_CONTROLLER_STATE,MITSUBISHI_STATEFUL_DISPATCH_AND_CURRENT_HIGH_TEMP_PERFORMANCE_REQUIRED,Generic/cross-product state is not claimed.
B05-P32-R07,DHW_HIGH_TEMP_PRODUCT_PERFORMANCE_REQUIRED,RESOLVED_FOR_DIMPLEX_W65_EXACT_SOURCE_GRID,OBS,LA2030CP+WPM_TOUCH,SRC-B05-DIMPLEX-LA2030CP-W65-PERFORMANCE-2026,EXACT_W65_GRID,DHW_HIGH_TEMP_PERFORMANCE_OUTSIDE_DIMPLEX_W65_EXACT_GRID_REQUIRED,Operating-envelope-only P29 evidence is superseded by exact performance evidence only at W65 source-table coordinates.
B05-P32-R08,DIMPLEX_W65_RUNTIME_PERFORMANCE_LEVEL_REQUIRED,OPEN,Q,LA2030CP+WPM_TOUCH,SRC-B05-DIMPLEX-LA2030CP-W65-PERFORMANCE-2026,MIN_OR_MAX_EXPLICIT,DIMPLEX_W65_RUNTIME_PERFORMANCE_LEVEL_REQUIRED,P32 refuses to infer inverter level from thermal demand.
B05-P32-R09,Q-B05-005,OPEN_NARROWED_TO_RUNTIME_LEVEL_AND_CROSS_PRODUCT_COVERAGE,Q,GENERIC,SRC-B05-DIMPLEX-WPMTOUCH-DHW-CONTROL-2026;SRC-B05-DIMPLEX-LA2030CP-W65-PERFORMANCE-2026,BOUNDED_DIMPLEX_CHAIN,DIMPLEX_W65_RUNTIME_PERFORMANCE_LEVEL_REQUIRED;DHW_HIGH_TEMP_PERFORMANCE_OUTSIDE_DIMPLEX_W65_EXACT_GRID_REQUIRED;MITSUBISHI_STATEFUL_DISPATCH_AND_CURRENT_HIGH_TEMP_PERFORMANCE_REQUIRED,One exact product/controller chain can now reach an exact high-temperature performance point without source mixing.
B05-P32-R10,DHW_MODE_READINESS,PARTIAL_60,DER,GENERIC,SRC-B05-DIMPLEX-WPMTOUCH-DHW-CONTROL-2026;SRC-B05-DIMPLEX-LA2030CP-W65-PERFORMANCE-2026,BOUNDED_STATE_PLUS_PERFORMANCE,DIMPLEX_W65_RUNTIME_PERFORMANCE_LEVEL_REQUIRED;DHW_HIGH_TEMP_PERFORMANCE_OUTSIDE_DIMPLEX_W65_EXACT_GRID_REQUIRED;MITSUBISHI_STATEFUL_DISPATCH_AND_CURRENT_HIGH_TEMP_PERFORMANCE_REQUIRED,B05 overall remains 64%.
