item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B05-P31-R01,HEM_FANCOIL_DOC_CODE_DIVERGENCE_FACT,CONFIRMED_CURRENT_DIVERGENCE,360,1370,s,POL_FACT,SRC-B05-UK-HEM-TP12-HOURLY-ONOFF-2026;SRC-B05-UK-HEM-RUST-ONOFF-CONSTANTS-2026,SOURCE_TRUTH_PRESERVATION,CLAIM_SOURCES_AGREE,,"Fresh 2026-09-25 audit: HEM-TP-12 v3 says Light embedded for all wet distribution; current official reference main 5a3ac972 maps FanCoils to 360 s and RadiatorsUfh to 1370 s."
B05-P31-R02,HEM_FANCOIL_EMITTER_TIME_DOC_CODE_DIVERGENCE_REQUIRED,RESOLVED_BY_AUTHORITY_SEPARATION_NO_SILENT_SELECTION,360,1370,s,DER,B05-P31,EXPLICIT_SOURCE_SPECIFIC_POLICY_REPRODUCTION,SILENT_SELECT_360;SILENT_SELECT_1370,,The upstream divergence remains factual; it no longer blocks the model architecture because policy branches are explicit and OBS is independent.
B05-P31-R03,HEM_TP12_V3_DOCUMENT_FANCOIL_POLICY,QUALIFIED_SOURCE_SPECIFIC_POLICY,1370,1370,s,POL,SRC-B05-UK-HEM-TP12-HOURLY-ONOFF-2026,EXPLICIT_HEM_TP12_V3_DOCUMENT_POLICY,PRODUCT_OR_EMITTER_OBS_PROMOTION,,"Document-policy reproduction only."
B05-P31-R04,HEM_REFERENCE_CODE_5A3AC972_FANCOIL_POLICY,QUALIFIED_SOURCE_SPECIFIC_POLICY,360,360,s,POL,SRC-B05-UK-HEM-RUST-ONOFF-CONSTANTS-2026,EXPLICIT_HEM_REFERENCE_CODE_5A3AC972,PRODUCT_OR_EMITTER_OBS_PROMOTION,,"Reference-code reproduction only."
B05-P31-R05,FANCOIL_GENERIC_POLICY_SELECTION,FAIL_CLOSED_WITHOUT_AUTHORITY,,,state,Q,B05-P31,EXPLICIT_AUTHORITY_SELECTION,SILENT_HEM_DEFAULT,FANCOIL_AUTHORITY_SELECTION_OR_OBS_EVIDENCE_REQUIRED,"Legacy P25 generic fan-coil path remains Q."
B05-P31-R06,FANCOIL_OBS_EMITTER_RESPONSE_EVIDENCE_REQUIRED,OPEN,,,s,Q,B05-P31,FUTURE_EXACT_EMITTER_MANUFACTURER_OR_LAB_TRANSIENT_RECORD,USE_1370_AS_OBS;USE_360_AS_OBS,FANCOIL_OBS_EMITTER_RESPONSE_EVIDENCE_REQUIRED,"OBS path is independent of upstream HEM reconciliation but still requires exact source-bound physical evidence."
B05-P31-R07,PRODUCT_OR_LAB_TRANSIENT_TEST_RECORD_REQUIRED,OPEN,,,s,Q,B05-P28,FUTURE_PRODUCT_TAU_EQ_EVIDENCE,USE_HEM_140_AS_PRODUCT_OBS,PRODUCT_OR_LAB_TRANSIENT_TEST_RECORD_REQUIRED,"P28 tau_eq residual is unchanged and remains independent of emitter response-time authority."
B05-P31-R08,Q-B05-004_OBS_HOURLY_TRANSIENT_FIDELITY,OPEN_NARROWED_TO_FANCOIL_OBS_AND_PRODUCT_TAU_EQ,,,state,Q,B05-P31,FUTURE_OBS_TRANSIENT_FIDELITY,HEM_POLICY_AS_OBS,FANCOIL_OBS_EMITTER_RESPONSE_EVIDENCE_REQUIRED;PRODUCT_OR_LAB_TRANSIENT_TEST_RECORD_REQUIRED,"The policy/governance conflict is removed from the OBS residual list."
B05-P31-R09,Q-B05-004_COORDINATE_COVERAGE,PRESERVED_OPEN,,,state,Q,B05-P27,FUTURE_EXACT_PRODUCT_COORDINATE_EVIDENCE,GRAPH_DIGITIZATION;GAP_BRIDGING,MITSUBISHI_A_MINUS15_W50_MINIMUM_CLASSIFICATION_REQUIRED;DIMPLEX_A_MINUS10_MINIMUM_ROW_CLASSIFICATION_REQUIRED,"P31 does not alter coordinate-coverage residuals."
B05-P31-R10,PART_LOAD_MODULATION_READINESS,UNCHANGED,45,45,percent,DER,B05-P31,READINESS_CONTROL,SEMANTIC_SEPARATION_AS_READINESS_GAIN,,"No readiness uplift. B05 remains 64%."
