item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P85-G01,KEOP23_TYPE_GEOMETRY_PROXY_ROWS,MATERIALIZED,23,23,types,DER/SCN_PROXY,B02-P79;B02-P85,SYNTHETIC_ARCHETYPE_GEOMETRY_CALIBRATION,HOUSEHOLD_COMPONENT_AREA;POPULATION_OBS,,All 23 canonical KEOP23 synthetic types receive reproducible derived geometry proxy rows.
B02-P85-G02,HEATED_VOLUME_PER_DWELLING_PROXY,MATERIALIZED,145.323055556,631.26,m3/dwelling,DER,B02-P79;B02-P85,VENTILATION_GEOMETRY_CALIBRATION,HOUSEHOLD_VOLUME_BOUND;CURRENT_POPULATION_DISTRIBUTION,DEFENSIBLE_WITHIN_ARCHETYPE_GEOMETRY_INFERENCE_REQUIRED,"Derived as heated_floor_area * ceiling_height / source model dwelling count. Global extrema are descriptive synthetic-type extrema only."
B02-P85-G03,MEAN_STOREY_FLOORPLATE_PER_DWELLING_PROXY,MATERIALIZED,9.916611842,187.1,m2/dwelling,DER,B02-P79;B02-P85,COMPONENT_GEOMETRY_CALIBRATION,ROOF_AREA;GROUND_CONTACT_AREA,ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED,"Derived as total floor area / storeys / model dwellings. It is a mean storey plate, not an actual top or bottom heat-loss component."
B02-P85-G04,BOUNDING_PLAN_AREA_PER_DWELLING_PROXY,MATERIALIZED,9.926315789,220.15,m2/dwelling,SCN_PROXY,B02-P79;B02-P85,RECTANGULARIZATION_SENSITIVITY,ROOF_AREA;GROUND_CONTACT_AREA,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED,"Derived from source synthetic bounding x*y / dwellings. It is explicitly a bounding-plan proxy."
B02-P85-G05,BOUNDING_RECTANGULAR_FACADE_PER_DWELLING_PROXY,MATERIALIZED,34.812631579,328.32,m2/dwelling,SCN_PROXY,B02-P79;B02-P85,FACADE_GEOMETRY_CALIBRATION,NET_EXTERNAL_WALL_AREA;WINDOW_AREA,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED,"Explicit rectangularization: 2*(bbox_x+bbox_y)*ceiling_height*storeys / dwellings. It is not promoted to net wall area."
B02-P85-G06,MAX_USABLE_ROOF_AREA_PER_DWELLING,MATERIALIZED,0.545454545,18,m2/dwelling,DER,B02-P79;B02-P85,ROOF_POTENTIAL_CALIBRATION,TOTAL_ROOF_HEAT_LOSS_AREA,ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED,"Source max usable roof area divided by model dwellings; usable roof area is not total roof heat-loss area."
B02-P85-G07,WBL_P21_COMPONENT_GEOMETRY_STRATUM_ENVELOPES,MATERIALIZED,14,14,strata,DER/SCN_PROXY,B02-P79;B02-P85,SET_VALUED_NATIONAL_CALIBRATION,HOUSEHOLD_BOUND;WITHIN_TYPE_CONFIDENCE_INTERVAL,"NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED","All 7 WBL periods x 2 P21 building groups receive candidate-set min/max synthetic geometry proxy envelopes."
B02-P85-G08,REFERENCE_RETROFIT_PHYSICAL_INPUT_SURFACE,MATERIALIZED_PARTIAL,14,14,strata,DER/SCN_PROXY,B02-P80;B02-P83;B02-P85,BOUNDED_REFERENCE_RETROFIT_INPUT_SURFACE,COMPLETE_B06_DESIGN_LOAD_SURFACE,"NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED","P83 heated-area + reference-retrofit U bounds are joined with P85 geometry proxies on identical 14-stratum candidate sets."
B02-P85-G09,DEFENSIBLE_COMPONENT_AREA_GEOMETRY_INFERENCE_REQUIRED,PARTIAL_RESOLVED_SYNTHETIC_PROXY,,,contract,Q,B02-P85,RESIDUAL_NARROWING,CLAIM_OF_COMPLETE_COMPONENT_AREA_SURFACE,"NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED","The broad blocker is narrowed: gross synthetic geometry quantities are executable; actual heat-loss component partition remains unresolved."
B02-P85-G10,Q-B02-004,OPEN_NARROWED,,,state,Q,B02-P85,BOUNDED_PHYSICAL_RESPONSE_COMPLETION,CLAIM_OF_NATIONAL_POINT_COP_OR_COMPLETE_DESIGN_LOAD,"NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED","P85 adds actual numeric geometry-proxy materialization but does not close the B06 national design-load surface or national COP distribution."
