record_id,claim,status,evidence_status,product_scope,source_ids,resolved_scope,residual_gap,notes
B05-P34-R01,NIBE_S2125_DIRECT_DEFROST_STATE_CHANNEL,QUALIFIED,OBS,NIBE_S2125_F2120,SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026,DEFROST_0_OFF_1_ACTIVE_2_PASSIVE,,"Inherited P33 direct-state authority."
B05-P34-R02,NIBE_S_SERIES_ELECTRIC_MEASUREMENT_ROUTE,QUALIFIED_CHANNEL_AUTHORITY,OBS,NIBE_S_SERIES,SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026,INSTANTANEOUS_USED_POWER_2166_PLUS_PULSE_ENERGY_396_398,NIBE_S2125_COTIMED_DEFROST_STATE_HEAT_ELECTRIC_SERIES_REQUIRED,"Channel availability is not an event observation."
B05-P34-R03,NIBE_S_SERIES_THERMAL_MEASUREMENT_ROUTE,QUALIFIED_CHANNEL_AUTHORITY,OBS,NIBE_S_SERIES,SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026,FLOW_ENERGY_1575_1577_1583_1585,NIBE_S2125_COTIMED_DEFROST_STATE_HEAT_ELECTRIC_SERIES_REQUIRED,"Unsigned cumulative kWh channels are not silently converted into signed heat removed during defrost; meter semantics and boundary must be demonstrated."
B05-P34-R04,HEATPUMPMONITOR_PUBLIC_TIMESERIES_ACQUISITION_ROUTE,QUALIFIED_API_ROUTE,OBS,PUBLIC_SYSTEMS,SRC-B05-HEATPUMPMONITOR-API-2026,SYSTEM_FEED_AND_TIMESERIES_DISCOVERY,NIBE_S2125_COTIMED_DEFROST_STATE_HEAT_ELECTRIC_SERIES_REQUIRED,"Public API existence does not prove required direct-state feed on system 252."
B05-P34-R05,SILKEBORG_S2125_FIELD_SYSTEM_BINDING,QUALIFIED_FIELD_CONTEXT,OBS,HPM_252,SRC-B05-HEATPUMPMONITOR-S2125-SILKEBORG-252-2026;SRC-B05-OEM-S2125-SILKEBORG-DEFROST-2026,REAL_S2125_MONITOR_PLUS_DEFROST_OBSERVATION,NIBE_S2125_COTIMED_DEFROST_STATE_HEAT_ELECTRIC_SERIES_REQUIRED,"Field source identifies S2125 monitoring and defrost observations but not a canonical joined raw event series."
B05-P34-R06,EVENT_SHAPE_AS_DEFROST_IDENTITY,FORBIDDEN,DER,GENERIC,SRC-B05-ENGINE-CONTRACT-2026,,DIRECT_DEFROST_STATE_REQUIRED,"A negative-heat or characteristic dashboard trace cannot by itself mint event identity."
B05-P34-R07,FIELD_BACK_OF_ENVELOPE_AS_OBS_EVENT_ENERGY,FORBIDDEN,DER,GENERIC,SRC-B05-ENGINE-CONTRACT-2026,,COTIMED_RAW_MEASUREMENT_REQUIRED,"User calculations or fleet percentages may be context only; they cannot populate product OBS event kWh."
B05-P34-R08,NIBE_DEFROST_EVENT_ENERGY_ADMISSION_GATE,RESOLVED_EXECUTABLE_CONTRACT,DER,NIBE_S2125,SRC-B05-ENGINE-CONTRACT-2026;SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026,SAME_SYSTEM_EVENT_ID_DIRECT_OFF_EVENT_OFF_BOUNDARY_ALL_OBS_SOURCE_ORDERED_CONTIGUOUS_INTERVAL_MEAN_ELECTRIC_THERMAL_EXPLICIT_BOUNDARIES,NIBE_S2125_COTIMED_DEFROST_STATE_HEAT_ELECTRIC_SERIES_REQUIRED,"Executable integration is available only after complete direct transition-bound event admission; partial windows and non-OBS input streams remain Q."
B05-P34-R09,NIBE_DEFROST_EVENT_HEAT_ELECTRIC_ENERGY_REQUIRED,OPEN_NARROWED_TO_COTIMED_DIRECT_STATE_AND_ENERGY_SERIES,Q,NIBE_S2125,SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026;SRC-B05-HEATPUMPMONITOR-API-2026;SRC-B05-HEATPUMPMONITOR-S2125-SILKEBORG-252-2026;SRC-B05-OEM-S2125-SILKEBORG-DEFROST-2026,,NIBE_S2125_COTIMED_DEFROST_STATE_HEAT_ELECTRIC_SERIES_REQUIRED,"No numeric event energy is admitted in P34."
B05-P34-R10,Q-B05-003,OPEN_NARROWED_TO_COTIMED_EVENT_ENERGY_SERIES_WEATHER_TO_BT16_AND_CROSS_PRODUCT,Q,GENERIC,SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026;SRC-B05-HEATPUMPMONITOR-API-2026,EVENT_ENERGY_ADMISSION_CONTRACT,NIBE_S2125_COTIMED_DEFROST_STATE_HEAT_ELECTRIC_SERIES_REQUIRED;WEATHER_TO_NIBE_BT16_OR_OBS_TIMESERIES_REQUIRED;CROSS_PRODUCT_DEFROST_RUNTIME_COVERAGE_REQUIRED,"P34 narrows acquisition/identity semantics without readiness uplift."
B05-P34-R11,DEFROST_READINESS,PARTIAL_20,DER,GENERIC,SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026;SRC-B05-HEATPUMPMONITOR-API-2026,ADMISSION_ROUTE_ONLY,NIBE_S2125_COTIMED_DEFROST_STATE_HEAT_ELECTRIC_SERIES_REQUIRED;WEATHER_TO_NIBE_BT16_OR_OBS_TIMESERIES_REQUIRED;CROSS_PRODUCT_DEFROST_RUNTIME_COVERAGE_REQUIRED,"DEFROST remains 20%; B05 remains 64%."
