record_id,claim,status,evidence_status,product_scope,source_ids,resolved_scope,residual_gap,notes
B05-P39-R01,WEATHER_TO_NIBE_BT16_OR_OBS_TIMESERIES_REQUIRED,OPEN_NARROWED_TO_RAW_BT28_BT16_COMPRESSOR_DEFROST_SERIES,Q,NIBE_S2125,SRC-B05-NIBE-S2125-IHB;SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026;SRC-B05-P39-PUBLIC-EMONCMS-BT16-PROBE-2026,DIRECT_OBS_ACQUISITION_SPECIFICATION,S2125_RAW_BT28_BT16_COMPRESSOR_DEFROST_TIMESERIES_REQUIRED,"Ambient weather is not promoted to BT16; exact observed-series route is now specified."
B05-P39-R02,S2125_RAW_BT28_BT16_COMPRESSOR_DEFROST_TIMESERIES_REQUIRED,OPEN,Q,NIBE_S2125,SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026;SRC-B05-S2125-HA-INFLUX-DIRECT-STATE-FIELD-2023;SRC-B05-S2125-SMO-S40-USB-LOGGING-FIELD-2023,,S2125_RAW_BT28_BT16_COMPRESSOR_DEFROST_TIMESERIES_REQUIRED,"Need exact-system timestamped BT28, BT16, compressor state/frequency and direct Defrost 0/1/2 with source-native cadence/aggregation semantics."
B05-P39-R03,PUBLIC_MYHEATPUMP_OUTSIDE_TEMPERATURE_AS_BT16,FORBIDDEN,OBS,GENERIC,SRC-B05-P39-PUBLIC-EMONCMS-BT16-PROBE-2026,OUTSIDE_TEMPERATURE_ONLY,S2125_RAW_BT28_BT16_COMPRESSOR_DEFROST_TIMESERIES_REQUIRED,"Two public MyHeatpump surfaces expose metoffice outside_temperature but no BT16/evaporator/controller candidate; ambient feed cannot substitute for evaporator state."
B05-P39-R04,S2125_DIRECT_MODBUS_BT16_ACQUISITION_ROUTE,QUALIFIED_ROUTE,OBS,NIBE_S2125,SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026,BT28_PLUS_BT16_PLUS_COMPRESSOR_PLUS_DEFROST,S2125_RAW_BT28_BT16_COMPRESSOR_DEFROST_TIMESERIES_REQUIRED,"Register authority proves the complete required signal set exists; raw field rows remain missing."
B05-P39-R05,S2125_HOME_ASSISTANT_INFLUX_BT16_ACQUISITION_ROUTE,PARTIAL_ROUTE,OBS,NIBE_S2125,SRC-B05-S2125-HA-INFLUX-DIRECT-STATE-FIELD-2023;SRC-B05-S2125-HA-BT16-DEFROST-FIELD-2025,DIRECT_STATE_HISTORY_AND_BT16_MONITORING_FEASIBLE,S2125_RAW_BT28_BT16_COMPRESSOR_DEFROST_TIMESERIES_REQUIRED,"Published 20s max-grouped defrost query proves historization but is not raw BT16 telemetry."
B05-P39-R06,S2125_USB_RAW_LOG_ACQUISITION_ROUTE,QUALIFIED_ROUTE_PENDING_ACTUAL_EXPORT,OBS,NIBE_S2125,SRC-B05-S2125-SMO-S40-USB-LOGGING-FIELD-2023,EXACT_S2125_USB_LOGGING_IN_FIELD,S2125_RAW_BT28_BT16_COMPRESSOR_DEFROST_TIMESERIES_REQUIRED,"Exact S2125 owner uses USB logging for support; admission requires actual header/register set and rows."
B05-P39-R07,S2125_MYUPLINK_579_ENTITY_SURFACE_AS_RAW_BT16_SERIES,NOT_PROVEN,Q,NIBE_S2125,SRC-B05-HA-MYUPLINK-S2125-SMO20-SURFACE-2024,EXACT_S2125_MYUPLINK_ENTITY_SURFACE_EXISTS,S2125_RAW_BT28_BT16_COMPRESSOR_DEFROST_TIMESERIES_REQUIRED,"Public issue lists a diagnostics attachment but current fetch cannot recover it; no BT16/raw-history content is inferred."
B05-P39-R08,UNKNOWN_AGGREGATION_HISTORY_AS_OBS_BT16,FORBIDDEN,DER,NIBE_S2125,SRC-B05-S2125-HA-INFLUX-DIRECT-STATE-FIELD-2023,RAW_OR_EXPLICIT_AGGREGATION_SEMANTICS_REQUIRED,S2125_RAW_BT28_BT16_COMPRESSOR_DEFROST_TIMESERIES_REQUIRED,"Graph interpolation or grouped history cannot silently become raw product telemetry."
B05-P39-R09,Q-B05-003,OPEN_NARROWED_TO_COMPLETE_RAW_EVENT_PACKAGE_RAW_BT16_SERIES_AND_CROSS_PRODUCT,Q,GENERIC,SRC-B05-P39-PUBLIC-EMONCMS-BT16-PROBE-2026;SRC-B05-NIBE-S2125-MODBUS-DEFROST-2026,WEATHER_BT16_ACQUISITION_ROUTE_NARROWED,S2125_COMPLETE_RAW_DIRECT_EVENT_PACKAGE_REQUIRED;S2125_RAW_BT28_BT16_COMPRESSOR_DEFROST_TIMESERIES_REQUIRED;CROSS_PRODUCT_DEFROST_RUNTIME_COVERAGE_REQUIRED,"No numeric weather-to-BT16 mapping or defrost-frequency curve is admitted."
B05-P39-R10,DEFROST_READINESS,PARTIAL_20,DER,GENERIC,SRC-B05-P39-PUBLIC-EMONCMS-BT16-PROBE-2026;SRC-B05-S2125-SMO-S40-USB-LOGGING-FIELD-2023,OBS_ACQUISITION_ROUTE_NARROWED,S2125_COMPLETE_RAW_DIRECT_EVENT_PACKAGE_REQUIRED;S2125_RAW_BT28_BT16_COMPRESSOR_DEFROST_TIMESERIES_REQUIRED;CROSS_PRODUCT_DEFROST_RUNTIME_COVERAGE_REQUIRED,"DEFROST remains 20%; B05 remains 64%."
