record_id,claim,status,evidence_status,product_controller,source_ids,resolved_scope,residual_gap,notes
B05-P29-R01,Q-B05-005,OPEN_NARROWED_TO_STATEFUL_CONTROLLER_RUNTIME_AND_DHW_HIGH_TEMP_PERFORMANCE,Q,GENERIC,SRC-B05-MITSUBISHI-WM50-FTC6-DHW-CONTROL-2026;SRC-B05-DIMPLEX-WPMTOUCH-DHW-CONTROL-2026,BOUNDED_TWO_CONTROLLER_DISPATCH_SEMANTICS,STATEFUL_DHW_CONTROLLER_RUNTIME_REQUIRED;DHW_HIGH_TEMP_PRODUCT_PERFORMANCE_REQUIRED,Top-level question remains OPEN.
B05-P29-R02,MITSUBISHI_WM50_FTC6_CONTROLLER_BINDING,QUALIFIED_EXACT_PRODUCT_SYSTEM,OBS,PUZ-WM50VHA(-BS)+EHPT20X-MHEDW/FTC6,SRC-B05-MITSUBISHI-WM50-FTC6-BINDING-2026,EXACT_SYSTEM_BINDING,,BRE-verified system combination.
B05-P29-R03,MITSUBISHI_WM50_FTC6_SIMULTANEOUS_OPERATION_SETTING,QUALIFIED_CONFIGURABLE,OBS,PUZ-WM50VHA(-BS)+EHPT20X-MHEDW/FTC6,SRC-B05-MITSUBISHI-WM50-FTC6-DHW-CONTROL-2026,ON_OFF_SETTING_DEFAULT_OFF,THERMAL_SPLIT_IF_ENABLED_REQUIRED,Controller mode is known; energy split is not.
B05-P29-R04,MITSUBISHI_WM50_FTC6_POST_TIMEOUT_HEATING_PRIORITY,QUALIFIED_BOUNDED,OBS,PUZ-WM50VHA(-BS)+EHPT20X-MHEDW/FTC6,SRC-B05-MITSUBISHI-WM50-FTC6-DHW-CONTROL-2026,SPACE_HEATING_PRIORITY_DURING_POST_DHW_RESTRICTION,PRE_TIMEOUT_CONTROLLER_STATE_REQUIRED,Applies only after maximum DHW operation time has passed and restriction is active.
B05-P29-R05,DIMPLEX_LA2030CP_WPM_TOUCH_CONTROLLER_BINDING,QUALIFIED_EXACT_PRODUCT_CONTROLLER,OBS,LA2030CP+WPM_TOUCH,SRC-B05-DIMPLEX-LA2030CP-WPMTOUCH-BINDING-2026,EXACT_PRODUCT_CONTROLLER_BINDING,,Manufacturer QIG explicitly binds LA2030CP and WPM Touch.
B05-P29-R06,DIMPLEX_WPM_TOUCH_DHW_PREEMPTS_HEATING_CIRCULATION,QUALIFIED_BOUNDED,OBS,LA2030CP+WPM_TOUCH,SRC-B05-DIMPLEX-WPMTOUCH-DHW-CONTROL-2026,DHW_REQUEST_DURING_HEATING_SWITCHES_CIRCULATION,DHW_HIGH_TEMP_PRODUCT_PERFORMANCE_REQUIRED,Hydraulic dispatch is proven; energy performance is not.
B05-P29-R07,DIMPLEX_LA2030CP_HIGH_TEMP_CAPABILITY,QUALIFIED_OPERATING_ENVELOPE_ONLY,OBS,LA2030CP+WPM_TOUCH,SRC-B05-DIMPLEX-LA2030CP-HIGH-TEMP-2026,FLOW_UP_TO_70C,DHW_HIGH_TEMP_PRODUCT_PERFORMANCE_REQUIRED,Operating limit is not a performance point.
B05-P29-R08,STATEFUL_DHW_CONTROLLER_RUNTIME_REQUIRED,OPEN,Q,GENERIC,SRC-B05-MITSUBISHI-WM50-FTC6-DHW-CONTROL-2026;SRC-B05-DIMPLEX-WPMTOUCH-DHW-CONTROL-2026,,STATEFUL_DHW_CONTROLLER_RUNTIME_REQUIRED,Coincident hourly loads do not identify controller state.
B05-P29-R09,DHW_HIGH_TEMP_PRODUCT_PERFORMANCE_REQUIRED,OPEN,Q,GENERIC,SRC-B05-DIMPLEX-LA2030CP-HIGH-TEMP-2026,,DHW_HIGH_TEMP_PRODUCT_PERFORMANCE_REQUIRED,Exact capacity/input/COP at dispatched DHW temperature remains required.
B05-P29-R10,DHW_MODE_READINESS,PARTIAL_45,DER,GENERIC,SRC-B05-MITSUBISHI-WM50-FTC6-DHW-CONTROL-2026;SRC-B05-DIMPLEX-WPMTOUCH-DHW-CONTROL-2026,CONTROLLER_SEMANTICS_IMPROVED,STATEFUL_DHW_CONTROLLER_RUNTIME_REQUIRED;DHW_HIGH_TEMP_PRODUCT_PERFORMANCE_REQUIRED,B05 overall remains 64%.
