parameter_id,variable,identification_status,lower_bound,upper_bound,unit,evidence_status,authority,hard_constraint,cell_allocation_required,allowed_treatment,forbidden_inference,residual_gap,notes
B02-P65-I01,OCCUPIED_DWELLING_UNIVERSE,POINT_IDENTIFIED,4008541,4008541,dwelling,OBS,B02-P22/KSH WBL011,yes,no,EXACT_CONTROL,PROGRAMME_TARGET_EQUALS_FULL_STOCK,,Exact occupied-stock universe.
B02-P65-I02,DISTRICT_HEATING_DWELLINGS,POINT_IDENTIFIED,618724,618724,dwelling,DER,B02-P22,yes,no,EXACT_TOPOLOGY_CONTROL,DISTRICT_HEATING_EQUALS_RADIATOR,,Exact source-native topology control; emitter remains unresolved.
B02-P65-I03,CENTRAL_HEATING_DWELLINGS,RUNTIME_POINT_IDENTIFIED,,,dwelling,DER,B02-P22,yes,no,RUNTIME_EXACT_TOPOLOGY_CONTROL,CENTRAL_HEATING_EQUALS_RADIATOR_OR_SURFACE,,Computed deterministically from the committed WBL011 full joint.
B02-P65-I04,ROOM_BY_ROOM_OR_NO_HEAT_DWELLINGS,RUNTIME_POINT_IDENTIFIED,,,dwelling,DER,B02-P22,yes,no,RUNTIME_EXACT_TOPOLOGY_CONTROL,ROOM_BY_ROOM_EQUALS_GAS_CONVECTOR,,Computed deterministically from the committed WBL011 full joint.
B02-P65-I05,PRIMARY_GAS_CONVECTOR_SHARE,POINT_CALIBRATED,0.233,0.233,share,ASS,B02-P39,yes,yes,APPROVED_CALIBRATED_MARGIN,OBS_OR_TOPOLOGY_SUBSET_PROMOTION,,Published rounded full-sample primary-heating gas-convector margin reproduced by the approved P39 calibrated model.
B02-P65-I06,SURFACE_HEATING_COOLING_PRESENT_SHARE,INTERVAL_IDENTIFIED,0.33,0.66,share,DER,B02-P62/P64,yes,no,NATIONAL_VALIDATION_INTERVAL,POINT_ESTIMATE_OR_SURFACE_ONLY_PROMOTION,,Common EHI houses/apartments band; national interval is denominator-invariant.
B02-P65-I07,RADIATOR_PRESENT_SHARE,LATENT,0,1,share,Q,B02-P65,no,yes,SET_LATENT,RADIATOR_COMPLEMENT_FROM_SURFACE,MUST_PROPAGATE,"No national numeric radiator prevalence is admitted."
B02-P65-I08,RADIATOR_SURFACE_MIXED_SHARE,SET_IDENTIFIED,0,0.66,share,Q,B02-P65,yes,yes,FRECHET_BOUNDED_LATENT,POINT_ESTIMATE_WITHOUT_SOURCE,MUST_PROPAGATE,"Candidate-specific sharp bounds are max(0,R+S-1) <= M <= min(R,S)."
B02-P65-I09,OTHER_EMITTER_PRESENT_SHARE,LATENT,0,1,share,Q,B02-P65,no,yes,SET_LATENT,FORCE_BINARY_RADIATOR_SURFACE_PARTITION,MUST_PROPAGATE,"OTHER may include fan-coil and other emitter families and may overlap presence variables."
B02-P65-I10,P21_STRATUM_EMITTER_ALLOCATION,LATENT_SIMPLEX,,,share,Q,B02-P65,yes,yes,SET_LATENT_WITH_AGGREGATE_CONSTRAINTS,EHI_SOURCE_CATEGORY_EQUALS_P21_CELL,MUST_PROPAGATE,"No exact EHI-to-P21 mapping is needed for the national band; cell allocation remains latent."
B02-P65-I11,EHI_TO_P21_SEMANTIC_COVERAGE,RETIRED_AS_STANDALONE_BLOCKER,,,,DER,B02-P64/P65,no,no,NO_DIRECT_MAPPING_REQUIRED_FOR_NATIONAL_SET,CLAIM_OF_CATEGORY_EQUIVALENCE,,National set identification uses EHI only as an aggregate validation constraint.
B02-P65-I12,Q-B02-004,MODEL_STATE,OPEN,,,,Q,B02-P65,no,no,SET_IDENTIFIED_COMPOSITION,CLAIM_OF_POINT_IDENTIFIED_EMITTER_MIX,"TRANSITION_MODEL_SET_PROPAGATION;ACTION_OUTCOME_BOUNDS","Emitter composition can now be carried as a feasible set. Remaining work is to propagate that set through P65-compatible transition outcomes and produce bounded COP/CAPEX/procurement outputs."
