formula_id,module_id,layer,output_variable_id,expression,input_variable_ids,output_unit,status,notes
FORM-B06-SEQUENTIAL-ANNUAL-DEMAND,B06,PHYSICAL_OUTPUT,VAR-B06-POST-ANNUAL-SPACE-HEAT,baseline_annual_space_heat_kWh × product_i(1 − annual_reduction_fraction_i),VAR-B06-BASELINE-ANNUAL-SPACE-HEAT;VAR-B06-INTERVENTION-ANNUAL-FRACTION,kWh/year,DER,Each intervention applies to the prior post-state; missing factor or applicability yields Q.
FORM-B06-SEQUENTIAL-PEAK-DEMAND,B06,PHYSICAL_OUTPUT,VAR-B06-POST-PEAK-HEAT-LOAD,baseline_peak_heat_load_kW × product_i(1 − peak_reduction_fraction_i),VAR-B06-BASELINE-PEAK-HEAT-LOAD;VAR-B06-INTERVENTION-PEAK-FRACTION,kW,DER,Peak effect is independent from annual effect and is not inferred from annual energy.
FORM-B06-ANNUAL-REDUCTION,B06,PHYSICAL_OUTPUT,VAR-B06-POST-ANNUAL-SPACE-HEAT,baseline_annual_space_heat_kWh − post_annual_space_heat_kWh,VAR-B06-BASELINE-ANNUAL-SPACE-HEAT;VAR-B06-POST-ANNUAL-SPACE-HEAT,kWh/year,DER,Documented output relationship; reduction percentage remains a separate output.
FORM-B06-P3-TRANSMISSION-LOSS,B06,PEAK_LOAD_METHOD,VAR-B06-ENVELOPE-TRANSMISSION-H,sum_i(U_i × A_i × correction_i),VAR-B06-DESIGN-OUTDOOR-TEMP,W/K,DER,Each component needs explicit U area boundary and correction; the temperature is applied only after the heat-loss coefficient is complete.
FORM-B06-P3-VENTILATION-LOSS,B06,PEAK_LOAD_METHOD,VAR-B06-VENTILATION-H,air_volumetric_heat_capacity × explicit_airflow × (1 − heat_recovery_efficiency),VAR-B06-VENTILATION-H,W/K,DER,Airflow is volume × explicit ACH or direct airflow; no hidden default.
FORM-B06-P3-DESIGN-LOAD,B06,PEAK_LOAD_METHOD,VAR-B06-BASELINE-DESIGN-HEAT-LOAD,(H_transmission + H_ventilation + H_thermal_bridge) × (T_indoor − T_outdoor),VAR-B06-ENVELOPE-TRANSMISSION-H;VAR-B06-VENTILATION-H;VAR-B06-THERMAL-BRIDGE-H;VAR-B06-DESIGN-OUTDOOR-TEMP;VAR-B06-DESIGN-INDOOR-TEMP,kW,DER,Direct physical design-point calculation; annual energy and installed capacity are prohibited inputs.
FORM-B06-P3-PEAK-REDUCTION,B06,PHYSICAL_OUTPUT,VAR-B06-PEAK-REDUCTION-KW,baseline_design_heat_load_kW − post_design_heat_load_kW,VAR-B06-BASELINE-DESIGN-HEAT-LOAD;VAR-B06-POST-DESIGN-HEAT-LOAD,kW,DER,Baseline and post states are recalculated independently.
FORM-B06-P4-EMITTER-OUTPUT,B06,SUPPLY_TEMPERATURE_EFFECT,VAR-B06-EMITTER-AVAILABLE-OUTPUT,quantity × nominal_output × (delta_t_mean / nominal_delta_t)^n,VAR-B06-EMITTER-QUANTITY;VAR-B06-EMITTER-NOMINAL-OUTPUT;VAR-B06-EMITTER-NOMINAL-DELTA-T;VAR-B06-EMITTER-EXPONENT-N,kW,DER,delta_t_mean is source-defined logarithmic mean when c<0.7 and arithmetic mean otherwise; flow return room and correction method must be explicit.
FORM-B06-P4-REQUIRED-SUPPLY,B06,SUPPLY_TEMPERATURE_EFFECT,VAR-B06-REQUIRED-SUPPLY-TEMP-DESIGN,minimum explicit flow temperature whose source-supported emitter output is at least design_load,VAR-B06-BASELINE-DESIGN-HEAT-LOAD;VAR-B06-EMITTER-AVAILABLE-OUTPUT,degC,DER,No W35/W45/W55 snapping; missing return rule or emitter evidence is Q.
FORM-B06-P4-B05-BRIDGE,B06,B05_HANDOFF,VAR-B06-B05-DESIGN-POINT-BRIDGE,space_heat_load + required_supply_temperature + design_outdoor_temperature + dhw + B05 operating point,VAR-B06-POST-DESIGN-HEAT-LOAD;VAR-B06-REQUIRED-SUPPLY-TEMP-DESIGN;VAR-B06-DESIGN-OUTDOOR-TEMP;VAR-B06-DHW-PEAK,kW/degC,DER,Uses the existing B05 bounded performance map and preserves explicit capacity shortfall.
