item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B05-P8-R01,METEOROLOGICAL_WINTER_WINDOW,CONTRACTED,,,time window,POL,B05-P8,WINTER_BLOCK_DEFINITION,WEATHER_EVENT_TRUTH,,"Winter_Y = Dec 1 of Y-1 00:00 to Mar 1 of Y 00:00 Europe/Budapest, converted to UTC; aligns with B08-P3 reporting semantics."
B05-P8-R02,WINTER_MEAN_TA_METRIC,EXECUTABLE,,,degC,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026;B05-P8,HISTORICAL_COLD_WINTER_METRIC,OFFICIAL_RETURN_PERIOD_LABEL,"MULTIYEAR_COMPLETE_WINTER_MATERIALIZATION_REQUIRED","Mean source-native ta over a complete winter only; any missing hour invalidates the block."
B05-P8-R03,WINTER_COLDEST_72H_MEAN_TA_METRIC,EXECUTABLE,,,degC,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026;B05-P8,MULTIDAY_COLD_STRESS_METRIC,OFFICIAL_RETURN_PERIOD_LABEL,"MULTIYEAR_COMPLETE_WINTER_MATERIALIZATION_REQUIRED","Coldest contiguous 72-hour mean ta wholly inside each complete winter."
B05-P8-R04,EMPIRICAL_RETURN_PERIOD_PLOTTING_POSITION,CONTRACTED,,,annual recurrence,DER,B05-P8,PROJECT_DERIVED_HISTORICAL_RECURRENCE,OFFICIAL_HUNGAROMET_1_IN_10;PARAMETRIC_TAIL_EXTRAPOLATION,"MULTIYEAR_COMPLETE_WINTER_MATERIALIZATION_REQUIRED","For rank r among n winters: p=r/(n+1), T=(n+1)/r. Target 10-year recurrence is bracketed by adjacent observed order statistics; no point interpolation."
B05-P8-R05,TEN_YEAR_EMPIRICAL_COLD_BRACKET,METHOD_READY,,,degC,DER/Q,B05-P8,PROGRAMME_STRESS_SCENARIO_AFTER_MATERIALIZATION,OFFICIAL_HUNGAROMET_1_IN_10;FUTURE_CLIMATE_PROBABILITY,"MULTIYEAR_COMPLETE_WINTER_MATERIALIZATION_REQUIRED;STATIONARITY_SENSITIVITY_REQUIRED","Historical empirical stress bracket only. Prospective use is SCN sensitivity unless separate climate-stationarity/nonstationarity authority is added."
B05-P8-R06,CURRENT_COMMITTED_COMPLETE_WINTER_BLOCKS,NO_MULTIYEAR_BLOCK_SERIES,0,0,winter blocks,Q,B05-P3/B05-P8,CURRENT_REPOSITORY_AUDIT,RETURN_PERIOD_ESTIMATE,"EXTERNAL_RAW_ARCHIVE_REACQUISITION_AND_DERIVED_BLOCK_MATERIALIZATION_REQUIRED","Committed data contain five 2025 calendar-year station profiles plus one 72-hour 2005 extreme event, not a multi-year sequence of complete Dec-Feb blocks."
B05-P8-R07,OBSERVED_RECORD_COLD_72H_ANCHOR,VALIDATED,-14.286,-14.286,degC,OBS,B05-P3,OBSERVED_STRESS_ANCHOR,RETURN_PERIOD_ESTIMATE,,"Szombathely 2005-02-07 09:00Z to 2005-02-10 08:00Z; coldest 72-hour ta window selected from the then-acquired multi-station archive. OBS event != recurrence estimate."
B05-P8-R08,RAW_ARCHIVE_DERIVATION_MATERIALIZER,EXECUTABLE,,,tool,DER,B05-P8,REPRODUCIBLE_REDERIVATION,RAW_ZIP_REPOSITORY_COMMIT,EXTERNAL_RAW_ARCHIVES_REQUIRED,"tools/materialize_b05_extreme_weather.py consumes the five external historical HABP_1H ZIPs and emits only derived winter/extreme/return-period CSVs."
B05-P8-R09,MULTI_STATION_STRESS_ENVELOPE,EXECUTABLE_METHOD,,,degC,DER,B05-P8,SPATIAL_STRESS_ENVELOPE,NATIONAL_POPULATION_WEIGHTED_CLIMATE;NATIONAL_RETURN_PERIOD,"ALL_STATION_BRACKETS_REQUIRED;SPATIAL_WEIGHTING_REQUIRED_IF_NATIONAL_MEAN_CLAIM","Qualified station brackets may be enveloped without weights; this remains a station envelope, not a national frequency statistic."
B05-P8-R10,Q-B05-002,OPEN_NARROWED,,,state,Q,B05-P8,RETURN_PERIOD_EVIDENCE_TARGET,CLAIM_OF_OFFICIAL_1_IN_10_OR_NUMERIC_RESULT_WITHOUT_BLOCK_SERIES,"EXTERNAL_RAW_ARCHIVE_REACQUISITION_AND_DERIVED_BLOCK_MATERIALIZATION_REQUIRED;STATIONARITY_SENSITIVITY_REQUIRED","Winter/event metrics and non-parametric return-period method are now executable. Numeric station brackets are not yet committed because the current repository lacks the multi-year complete-winter block series. Official HungaroMet 1-in-10 remains unclaimed."
