item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P78-D01,WBL011_FULL_STOCK_JOINT,MATERIALIZED,116452,116452,rows,OBS,SRC-B02-KSH-CENSUS-API-2022,NATIONAL_POPULATION_KEYS,SYNTHETIC_CROSS_PROJECTION_JOIN,,"Exact 2022 occupied-stock full joint: county x settlement x construction period x wall material x floor-area band x comfort x heating mode x heating fuel."
B02-P78-D02,WBL011_OCCUPIED_UNIVERSE,MATERIALIZED,4008541,4008541,dwellings,OBS,SRC-B02-KSH-CENSUS-API-2022,NATIONAL_POPULATION_WEIGHTING,TECHNICAL_ELIGIBILITY_POINT_ESTIMATE,,"Exact full-joint dwelling sum."
B02-P78-D03,P21_BUILDING_TYPE_ON_WBL_GRAIN,MATERIALIZED_CALIBRATED,,,probability,ASS,B02-P21,NATIONAL_ARCHETYPE_WEIGHTING,OBS_PROMOTION,,"FAMILY_HOUSE/MULTI_DWELLING remains calibrated with uncertainty."
B02-P78-D04,WBL_FLOOR_AREA_BAND,MATERIALIZED_SET_BOUNDED,,,m2 band,OBS,SRC-B02-KSH-CENSUS-API-2022,AREA_CONSTRAINT,HEATED_AREA_POINT;OPEN_ENDED_BAND_MIDPOINT,HEATED_AREA_OR_DIRECT_GEOMETRY_SURFACE_REQUIRED,"Eight source-native bands are present. SQM_GE120 has no finite source-native upper endpoint."
B02-P78-D05,KEOP_NATIONAL_SYNTHETIC_AVERAGE_ARCHETYPES,CALIBRATION_AUTHORITY,23,23,building types,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022;SRC-B02-BME-RBSM-2026;SRC-B02-HU-EPISCOPE-AVERAGE-BUILDING-METHOD,ARCHETYPE_CALIBRATION,CURRENT_POST_RETROFIT_NATIONAL_OBSERVATION,,"2026 BME paper reports a representative 2029-building survey underlying 23 synthetic average buildings: 12 single-family and 11 multi-family types."
B02-P78-D06,TYPE5_HEATED_FLOOR_AREA,CALIBRATION_ONLY,103.4,103.4,m2,DER,SRC-B02-BME-RBSM-2026,TYPE5_CALIBRATION,ALL_TYPE_HEATED_AREA;WBL_CELL_HEATED_AREA,,"Type 5 is a one-storey single-family archetype and cannot stand in for all 23 types or all WBL cells."
B02-P78-D07,BASELINE_COMPONENT_U_VALUE_DISTRIBUTIONS,PUBLIC_23_TYPE_BASELINE_NUMERIC_AUTHORITY,,,W/m2K distribution,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022;SRC-B02-BME-RBSM-2026,BASELINE_ARCHETYPE_CALIBRATION;P21_WBL_CROSSWALK_INPUT,ALL_TYPE_POST_RETROFIT_U_VALUE_SURFACE,POST_RETROFIT_COMPONENT_U_VALUE_SURFACE_REQUIRED,"Csoknyai 2022 Table 8.3 publishes type-specific survey-derived U-value statistics across the 23 types, including renovated/unrenovated distinctions and occurrence. This is public baseline/calibration authority; action-conditioned post-retrofit U-values remain to be materialized."
B02-P78-D08,POST_RETROFIT_ENVELOPE_GEOMETRY,Q,,,component area,Q,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022;B02-P78,NONE,FLOOR_AREA_ONLY_RECONSTRUCTION;BUDAORS_AS_NATIONAL_CURRENT_STATE,POST_RETROFIT_ENVELOPE_GEOMETRY_SURFACE_REQUIRED,"EPISCOPE average-building method and Budaors historical calibration prove a valid modelling construct, not the current action-conditioned national geometry surface."
B02-P78-D09,POST_RETROFIT_VENTILATION,PARTIAL_CURRENT_METHOD_HVENT_SURFACE,25.431534722,331.4115,W/K,POL/DER/SCN,SRC-B06-HU-ENERGY-METHOD-2023;SRC-B02-BME-RBSM-2026;B02-P85;B02-P87,BOUNDED_B06_VENTILATION_COMPONENT,OBSERVED_NATIONAL_POST_RETROFIT_DISTRIBUTION;TYPE5_TO_ALL_STOCK,POST_RETROFIT_AIRTIGHTNESS_AND_HRV_PREVALENCE_REQUIRED,"Superseded by P87: 14-stratum H_vent and ventilation-only peak component are materialized from current method semantics and P85 volume bounds. Type-5 empirical ventilation/infiltration remains calibration only."
B02-P78-D10,POST_RETROFIT_THERMAL_BRIDGE_H,Q,,,W/K,Q,SRC-B02-BME-RBSM-2026,NONE,ZERO_THERMAL_BRIDGE_DEFAULT,POST_RETROFIT_THERMAL_BRIDGE_SURFACE_REQUIRED,"2026 BME paper explicitly states survey databases do not provide reliable thermal-bridge distributions."
B02-P78-D11,DESIGN_OUTDOOR_TEMPERATURE,PARTIAL_CURRENT_STANDARD_ZONE_DOMAIN,-12,-10,degC,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,BOUNDED_CURRENT_STANDARD_ZONE_DOMAIN,NATIONAL_SINGLE_DEFAULT;WEATHER_MINIMUM_AS_DESIGN_TEMP;OLD_MINUS15_MINUS13_MINUS11_MAP,COMPLETE_LOCATION_TO_CURRENT_STANDARD_ZONE_MAPPING_REQUIRED,"Superseded by B02-P86 current-standard state: MSZ 24140:2026 zone domain -12/-11/-10 C and 20 public city anchors are materialized. Exact national settlement-to-zone mapping and local authority outside the reported baseline scope remain Q."
B02-P78-D12,DESIGN_INDOOR_TEMPERATURE,CURRENT_METHOD_SERVICE_REFERENCE,20,20,degC,POL,SRC-B06-HU-ENERGY-METHOD-2023,EXPLICIT_SERVICE_CONDITION,OBSERVED_HOUSEHOLD_SETPOINT,,"Current residential calculation method supplies 20 C as the service/reference condition. This is not a stock-observed setpoint and project authority may override it."
B02-P78-D13,ACTION_TO_POST_STATE_PHYSICAL_MAPPING,Q,,,transition mapping,Q,B06-P63,POST_STATE_CONSTRUCTION,GENERIC_INTERVENTION_PERCENT,ACTION_TO_POST_STATE_PHYSICAL_MAPPING_REQUIRED,"P63 recalculates explicit before/after states but does not assign post-state physical parameters to every WBL cell."
B02-P78-D14,NATIONAL_POST_RETROFIT_DESIGN_LOAD_SURFACE_REQUIRED,PARTIAL_RESOLVED_INPUT_COVERAGE_DECOMPOSED,,,contract,Q,B02-P78,FAIL_CLOSED_DESIGN_LOAD_MATERIALIZATION,PRIMARY_ENERGY_TO_PEAK;TABULA_EXAMPLE_TO_NATIONAL_POINT,"HEATED_AREA_OR_DIRECT_GEOMETRY_SURFACE_REQUIRED;POST_RETROFIT_ENVELOPE_GEOMETRY_SURFACE_REQUIRED;POST_RETROFIT_COMPONENT_U_VALUE_SURFACE_REQUIRED;POST_RETROFIT_AIRTIGHTNESS_AND_HRV_PREVALENCE_REQUIRED;POST_RETROFIT_THERMAL_BRIDGE_SURFACE_REQUIRED;DESIGN_OUTDOOR_TEMPERATURE_MAPPING_REQUIRED;ACTION_TO_POST_STATE_PHYSICAL_MAPPING_REQUIRED","The national population-key layer is strong and the archetype calibration layer exists; the remaining blockers are now exact physical post-state inputs."
B02-P78-D15,Q-B02-004,SUPERSEDED_BY_P79_CURRENT_STATE,,,state,Q,B02-P78,LAYERED_SET_PROPAGATION,CLAIM_OF_NATIONAL_DESIGN_LOAD_POINT,"HEATED_AREA_OR_DIRECT_GEOMETRY_SURFACE_REQUIRED;POST_RETROFIT_ENVELOPE_GEOMETRY_SURFACE_REQUIRED;POST_RETROFIT_COMPONENT_U_VALUE_SURFACE_REQUIRED;POST_RETROFIT_AIRTIGHTNESS_AND_HRV_PREVALENCE_REQUIRED;POST_RETROFIT_THERMAL_BRIDGE_SURFACE_REQUIRED;DESIGN_OUTDOOR_TEMPERATURE_MAPPING_REQUIRED;ACTION_TO_POST_STATE_PHYSICAL_MAPPING_REQUIRED;NATIONAL_P65_SUPPLY_TEMPERATURE_SURFACE_REQUIRED;B05_MATERIALIZED_DESIGN_POINT_COVERAGE_REQUIRED;B05_COLD_W45_PRODUCT_GRID_REQUIRED;B05_CONTINUOUS_W55_PRODUCT_SURFACE_REQUIRED;REUSE_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_CAPEX_BOUND_REQUIRED;REUSE_ACTION_AUTHORITY_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_REQUIRED;NONREUSE_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_CAPEX_BOUND_REQUIRED;NON_GAS_CONVECTOR_EMITTER_INTERVENTION_ASSIGNMENT;ROOM_GRAIN_ACTION_DISTRIBUTION;MARKET_REALIZED_COST_DISTRIBUTION_IF_CENTRAL_ESTIMATE_REQUIRED","P78 replaces the broad national design-load surface blocker with field-level physical input blockers and admits the 23-type Hungarian synthetic-average layer only as calibration authority."
