item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P77-R01,B06_TO_B05_RECORD_PROJECT_METHOD,QUALIFIED_TRANSITION_DERIVED_METHOD,,,contract,DER,B06-P63/B06-P65/B05,RECORD_OR_PROJECT_PHYSICAL_RESPONSE,NATIONAL_RESPONSE_WITHOUT_INPUT_SURFACES,,"The executable chain already exists: post-state design load -> P65 required supply temperature -> bounded B05 product map."
B02-P77-R02,NATIONAL_POST_RETROFIT_DESIGN_LOAD_SURFACE,Q,,,archetype/cell surface,Q,B02-P77,NONE,P21_PRIMARY_ENERGY_AS_DESIGN_LOAD,NATIONAL_POST_RETROFIT_DESIGN_LOAD_SURFACE_REQUIRED,"B06 methodology is executable and calibrated, but retrofit_readiness explicitly keeps national/building-stock physical-state input coverage partial."
B02-P77-R03,NATIONAL_P65_REQUIRED_SUPPLY_TEMPERATURE_SURFACE,Q,,,archetype/cell surface,Q,B02-P77,NONE,EMITTER_CLASS_AS_FIXED_TEMPERATURE,NATIONAL_P65_SUPPLY_TEMPERATURE_SURFACE_REQUIRED,"P65 requires room-by-room design, complete signed MEP design, or design-condition measurement. No representative national household emitter-design surface is materialized."
B02-P77-R04,B05_REFERENCE_W35_EXTREME_WEATHER_DOMAIN,PARTIAL_QUANTIFIED,0.486111,0.486111,share,OBS,B05-P4/B05-P5,PRODUCT_DOMAIN_AUDIT,HEATING_RUNTIME_COVERAGE;NATIONAL_PRODUCT_COVERAGE,B05_W35_BELOW_MINUS15_PRODUCT_GRID_REQUIRED_IF_EXTREME_IN_SCOPE,"STIEBEL HPA-O 4 reference product: observed 72h cold profile has 35/72 hours inside W35 source-native -15..+7 C domain and 37/72 below it."
B02-P77-R05,B05_REFERENCE_W45_EXTREME_WEATHER_DOMAIN,PARTIAL_QUANTIFIED,0.125,0.125,share,OBS,B05-P5,PRODUCT_DOMAIN_AUDIT,HEATING_RUNTIME_COVERAGE;NATIONAL_PRODUCT_COVERAGE,B05_COLD_W45_PRODUCT_GRID_REQUIRED,"STIEBEL HPA-O 4 reference product: 9/72 extreme-profile hours inside W45 source-native -7..+7 C domain; 63/72 below the cold boundary."
B02-P77-R06,B05_REFERENCE_W55_CONTINUOUS_DOMAIN,Q,,,share,Q,B05-P5,NONE,ISOLATED_A7_W55_AS_CONTINUOUS_SURFACE,B05_CONTINUOUS_W55_PRODUCT_SURFACE_REQUIRED,"A7/W55 exists but no continuous cold-side W55 surface is admitted."
B02-P77-R07,B05_PRODUCT_OPERATING_POINT_COVERAGE_REQUIRED,PARTIAL_QUANTIFIED_PRODUCT_DOMAIN,,,contract,Q,B02-P77,FAIL_CLOSED_PRODUCT_MAP,B05_OPERATING_LIMIT_AS_PERFORMANCE_MAP,"B05_COLD_W45_PRODUCT_GRID_REQUIRED;B05_CONTINUOUS_W55_PRODUCT_SURFACE_REQUIRED;B05_W35_BELOW_MINUS15_PRODUCT_GRID_REQUIRED_IF_EXTREME_IN_SCOPE","Existing product-domain evidence is now explicit by supply-temperature surface; unresolved cold/high-supply cells remain Q."
B02-P77-R08,NATIONAL_TRANSITION_RESPONSE_MATERIALIZATION_BY_ARCHETYPE_REQUIRED,DECOMPOSED_EXECUTABLE_GATES,,,contract,Q,B02-P77,FAIL_CLOSED_NATIONAL_MATERIALIZATION,GENERIC_EXTERNAL_AWHP_PERCENT_RESPONSE,"NATIONAL_POST_RETROFIT_DESIGN_LOAD_SURFACE_REQUIRED;NATIONAL_P65_SUPPLY_TEMPERATURE_SURFACE_REQUIRED;B05_MATERIALIZED_DESIGN_POINT_COVERAGE_REQUIRED","The broad blocker is replaced by three ordered executable gates. Method existence does not imply population input coverage."
B02-P77-R09,WEATHER_DOMAIN_COVERAGE_BOUNDARY,BOUNDARY,,,contract,DER,B05-P5,PRODUCT_MAP_VALIDATION,HEATING_RUNTIME_SHARE;SEASONAL_COP_SHARE,,"Weather-domain coverage counts temperature hours only. It does not condition on heat demand or required supply temperature and therefore is not runtime coverage."
B02-P77-R10,Q-B02-004,SUPERSEDED_BY_P78_CURRENT_STATE,,,state,Q,B02-P77,LAYERED_SET_PROPAGATION,CLAIM_OF_NATIONAL_RESPONSE,"NATIONAL_POST_RETROFIT_DESIGN_LOAD_SURFACE_REQUIRED;NATIONAL_P65_SUPPLY_TEMPERATURE_SURFACE_REQUIRED;B05_MATERIALIZED_DESIGN_POINT_COVERAGE_REQUIRED;B05_COLD_W45_PRODUCT_GRID_REQUIRED;B05_CONTINUOUS_W55_PRODUCT_SURFACE_REQUIRED;REUSE_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_CAPEX_BOUND_REQUIRED;REUSE_ACTION_AUTHORITY_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_REQUIRED;NONREUSE_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_CAPEX_BOUND_REQUIRED;NON_GAS_CONVECTOR_EMITTER_INTERVENTION_ASSIGNMENT;ROOM_GRAIN_ACTION_DISTRIBUTION;MARKET_REALIZED_COST_DISTRIBUTION_IF_CENTRAL_ESTIMATE_REQUIRED","P77 turns the generic national-response and product-coverage blockers into ordered population-input and product-domain gates without inventing a national AWHP percentage."
