item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P73-C01,CENTRAL_HEATING_DWELLINGS,POINT_IDENTIFIED,2216178,2216178,dwelling,DER,B02-P22/B02-P72,LATENT_SPLIT_DENOMINATOR,HYDRONIC_REUSE_READY_INFERENCE,,Exact CENTRAL_HEATING population inside the canonical non-district physical scope.
B02-P73-C02,CENTRAL_HEATING_NONREUSE_FRACTION,SET_LATENT,0,1,share,ASS,B02-P73,NUISANCE_PARAMETER_PROPAGATION,POINT_ESTIMATE;MIDPOINT_DEFAULT;INDEPENDENCE_ASSUMPTION,,No public authority identifies the point split; the full admissible interval is propagated.
B02-P73-C03,CENTRAL_HEATING_REUSE_FRACTION,SET_LATENT,0,1,share,ASS,B02-P73,NUISANCE_PARAMETER_PROPAGATION,POINT_ESTIMATE;MIDPOINT_DEFAULT;INDEPENDENCE_ASSUMPTION,,Complement of the same latent central split; not an independently estimated parameter.
B02-P73-C04,PROGRAMME_NONREUSE_SHARE,SET_IDENTIFIED,0.346224885,1,share,ASS,B02-P72/B02-P73,BOUNDED_PROPAGATION,POINT_NONREUSE_SHARE,,Lower endpoint is exact NHEAT-only nonreuse; upper endpoint assigns all CENTRAL_HEATING dwellings to nonreuse.
B02-P73-C05,PROGRAMME_REUSE_SHARE,SET_IDENTIFIED,0,0.653775115,share,ASS,B02-P72/B02-P73,BOUNDED_PROPAGATION,POINT_REUSE_SHARE,,Upper endpoint is the exact CENTRAL_HEATING share within physical scope.
B02-P73-C06,PROGRAMME_NONREUSE_DWELLINGS,SET_IDENTIFIED,1173639,3389817,dwelling-equivalent,ASS,B02-P72/B02-P73,PROGRAMME_QUANTITY_BOUNDS,POINT_NONREUSE_COUNT,,The complete latent central split maps bijectively to this bounded programme quantity.
B02-P73-C07,PROGRAMME_REUSE_DWELLINGS,SET_IDENTIFIED,0,2216178,dwelling-equivalent,ASS,B02-P72/B02-P73,PROGRAMME_QUANTITY_BOUNDS,POINT_REUSE_COUNT,,No point assignment is minted.
B02-P73-C08,CENTRAL_HEATING_REUSE_VS_NONREUSE_ASSIGNMENT,RETIRED_AS_POINT_BLOCKER,0,1,latent share,ASS,B02-P73,SET_PROPAGATION,CLAIM_OF_IDENTIFIED_POINT_SHARE,"REUSE_PATH_OUTCOME_BOUNDS;NONREUSE_PATH_OUTCOME_BOUNDS","The assignment remains unknown but is fully represented as x in [0,1]; point identification is not required for bounded programme propagation."
B02-P73-C09,CENTRAL_DISTRIBUTION_MEDIUM_AND_REUSE_ADEQUACY,VALIDATION_AND_TIGHTENING_GAP,,,record/archetype evidence,Q,B02-P73,INTERVAL_TIGHTENING;RECORD_LEVEL_DECISION,NATIONAL_POINT_SHARE,"REUSE_PATH_OUTCOME_BOUNDS;NONREUSE_PATH_OUTCOME_BOUNDS","KSH CENTRAL_HEATING proves centralized heat supply topology, not hydronic medium or AWHP reuse adequacy. Such evidence can tighten x or decide records but is not required to preserve a valid full-set bound."
B02-P73-C10,POINT_ASSIGNMENT_REQUIREMENT,NOT_REQUIRED_IF_PATH_OUTCOMES_BOUNDED,,,contract,DER,B02-P73,BOUNDED_PROPAGATION,POINT_SHARE_REQUIREMENT,"REUSE_PATH_OUTCOME_BOUNDS;NONREUSE_PATH_OUTCOME_BOUNDS","Once both path-specific outcome envelopes exist, the complete latent x set can be propagated without selecting a midpoint."
B02-P73-C11,Q-B02-004,OPEN_NARROWED,,,state,Q,B02-P73,LAYERED_SET_PROPAGATION,CLAIM_OF_NATIONAL_POINT_ACTION_OR_RESPONSE,"REUSE_PATH_OUTCOME_BOUNDS;NONREUSE_PATH_OUTCOME_BOUNDS;NON_GAS_CONVECTOR_EMITTER_INTERVENTION_ASSIGNMENT;ROOM_GRAIN_ACTION_DISTRIBUTION;MARKET_REALIZED_COST_DISTRIBUTION_IF_CENTRAL_ESTIMATE_REQUIRED","Central point assignment is no longer a blocker; outcome evidence on both distribution paths is the relevant distribution residual."
