item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P86-T01,CURRENT_STANDARD_ID,QUALIFIED,,,standard,POL,SRC-B02-MSZ-24140-2026,CURRENT_HUNGARIAN_DESIGN_METHOD_AUTHORITY,OLD_STANDARD_AS_CURRENT,,"MSZ 24140:2026 valid from 2026-04-01; official MSZT metadata says it replaces MSZ 24140:2015."
B02-P86-T02,CURRENT_STANDARD_ZONE_DOMAIN,QUALIFIED_CURRENT_STANDARD_ZONE_DOMAIN,-12,-10,degC,POL/DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,BOUNDED_CURRENT_STANDARD_DESIGN_TEMPERATURE_DOMAIN,NATIONAL_SINGLE_POINT;OLD_MINUS15_MINUS13_MINUS11_MAP,"COMPLETE_LOCATION_TO_CURRENT_STANDARD_ZONE_MAPPING_REQUIRED","Public current-standard interpretation reports the F1 map zone set -12/-11/-10 C. Domain bound does not identify the exact zone of every settlement."
B02-P86-T03,CURRENT_STANDARD_ZONE_MINUS12,QUALIFIED,-12,-12,degC,DER,SRC-B02-BIMLINE-MSZ24140-2026,PUBLIC_MAP_CONTROL_POINTS,COUNTY_WIDE_ASSIGNMENT;HOUSEHOLD_POINT_AUTHORITY,"EXACT_MAP_GEOMETRY_REQUIRED_FOR_NONANCHOR_LOCATIONS","Named -12 C anchors include Nyiregyhaza, Debrecen, Bekescsaba and a small area around Sopron."
B02-P86-T04,CURRENT_STANDARD_ZONE_MINUS11,QUALIFIED,-11,-11,degC,DER,SRC-B02-BIMLINE-MSZ24140-2026,PUBLIC_MAP_CONTROL_POINTS,COUNTY_WIDE_ASSIGNMENT;HOUSEHOLD_POINT_AUTHORITY,"EXACT_MAP_GEOMETRY_REQUIRED_FOR_NONANCHOR_LOCATIONS","Named -11 C anchors include Budapest, Gyor, Tatabanya, Salgotarjan, Eger, Miskolc, Szolnok, Kecskemet, Szeged, Szombathely and Zalaegerszeg."
B02-P86-T05,CURRENT_STANDARD_ZONE_MINUS10,QUALIFIED,-10,-10,degC,DER,SRC-B02-BIMLINE-MSZ24140-2026,PUBLIC_MAP_CONTROL_POINTS,COUNTY_WIDE_ASSIGNMENT;HOUSEHOLD_POINT_AUTHORITY,"EXACT_MAP_GEOMETRY_REQUIRED_FOR_NONANCHOR_LOCATIONS","Named -10 C anchors include Veszprem, Szekesfehervar, Kaposvar, Szekszard and Pecs; a smaller area is reported north of Gyor."
B02-P86-T06,PUBLIC_CITY_CONTROL_POINTS,MATERIALIZED,20,20,cities,DER,SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_MAP_VALIDATION_ANCHORS,COMPLETE_NATIONAL_POLYGON_RECONSTRUCTION,"MACHINE_READABLE_CURRENT_STANDARD_ZONE_GEOMETRY_REQUIRED","Twenty named city anchors are materialized; no polygon is reconstructed from prose."
B02-P86-T07,BASELINE_APPLICATION_SCOPE,PARTIAL_CONTRACT,30000,300,mixed,POL/DER,SRC-B02-BIMLINE-MSZ24140-2026,FAIL_CLOSED_LOCATION_ADMISSION,AUTOMATIC_ALL_SETTLEMENT_ASSIGNMENT,"LOCAL_DESIGN_AUTHORITY_REQUIRED_FOR_SMALLER_SETTLEMENT;LOCAL_DESIGN_AUTHORITY_REQUIRED_FOR_HIGHER_ELEVATION","Public technical interpretation reports baseline map values for settlements above 30000 population and elevations <=300 m. Outside that scope P86 remains Q absent explicit authority."
B02-P86-T08,PROJECT_SPECIFIC_ADJUSTMENT,EXPLICIT_AUTHORITY_ONLY,,,degC,POL/DER,SRC-B02-BIMLINE-MSZ24140-2026,PROJECT_LEVEL_DESIGN_OVERRIDE,HIDDEN_ADJUSTMENT;POPULATION_DEFAULT,"PROJECT_SPECIFIC_DESIGN_ADJUSTMENT_AUTHORITY_REQUIRED","Local urban heat island, sensitive function and other project-risk adjustments are not silently converted to population defaults."
B02-P86-T09,OLD_THREE_ZONE_MAP,RETIRED_AS_CURRENT,-15,-11,degC,HISTORICAL,LEGACY_MSV_04_140,HISTORICAL_COMPARISON,CURRENT_2026_DESIGN_INPUT,,"Old -15/-13/-11 C practice is not the current MSZ 24140:2026 zone map."
B02-P86-T10,GOVERNMENT_METEO_STANDARD_YEAR,SEPARATE_METHOD_LAYER,,,hourly climate,POL,SRC-B06-HU-ENERGY-METHOD-2023,ANNUAL_ENERGY_STANDARDIZATION,DESIGN_OUTDOOR_TEMPERATURE_MAPPING,,"2023 government Meteo standard-year data are retained for annual energy methods and must not be substituted for the current design-temperature map."
