record_id,claim,status,evidence_status,product_scope,source_ids,resolved_scope,residual_gap,notes
B05-P41-R01,EXACT_S2125_MULTI_TIMESTAMP_HISTORY_EXISTS,RESOLVED_BOUNDED,OBS,NIBE_S2125,"SRC-B05-P41-SVENPAUSH-S2125-INFLUX-HISTORY-2025;SRC-B05-S2125-HA-INFLUX-DIRECT-STATE-FIELD-2023;SRC-B05-S2125-HA-BT16-DEFROST-FIELD-2025;SRC-B05-P41-WPNUTZER-S2125-MYUPLINK-CSV-2024;SRC-B05-P41-HANS1966-S2125-INFLUX-HISTORY-2023;SRC-B05-P41-LASSECB-S2125-HA-DEFROST-HISTORY-2025;SRC-B05-P41-SCHINGELDI-S2125-RAW-MULTITIMESTAMP-2024",MULTIPLE_EXACT_FIELD_SYSTEMS_HAVE_HISTORY,S2125_MULTI_TIMESTAMP_BT28_BT16_COMPRESSOR_DEFROST_SERIES_REQUIRED,"The remaining blocker is acquisition/publication of one complete raw four-signal series, not evidence that S2125 history can exist."
B05-P41-R02,AUDITED_PUBLIC_S2125_HISTORY_SURFACES_NO_RAW_FOUR_SIGNAL_EXPORT_FOUND,RESOLVED_BOUNDED,DER,NIBE_S2125,"SRC-B05-P41-SVENPAUSH-S2125-INFLUX-HISTORY-2025;SRC-B05-S2125-HA-INFLUX-DIRECT-STATE-FIELD-2023;SRC-B05-S2125-HA-BT16-DEFROST-FIELD-2025;SRC-B05-P41-WPNUTZER-S2125-MYUPLINK-CSV-2024;SRC-B05-P41-OEM-S2125-READONLY-VIEWER-OFFER-2025;SRC-B05-P41-HANS1966-S2125-INFLUX-HISTORY-2023;SRC-B05-P41-LASSECB-S2125-HA-DEFROST-HISTORY-2025;SRC-B05-P41-SCHINGELDI-S2125-RAW-MULTITIMESTAMP-2024",BOUNDED_PUBLIC_ACQUISITION_AUDIT,S2125_MULTI_TIMESTAMP_BT28_BT16_COMPRESSOR_DEFROST_SERIES_REQUIRED,"No audited public surface yielded source-native multi-timestamp rows containing all four mandatory channels. This is not global absence."
B05-P41-R03,PUBLIC_GRAPH_OR_GROUPED_GRAFANA_QUERY_AS_RAW_SERIES,FORBIDDEN,DER,NIBE_S2125,SRC-B05-S2125-HA-INFLUX-DIRECT-STATE-FIELD-2023,GROUPED_VISUAL_OR_QUERY_ONLY,S2125_MULTI_TIMESTAMP_BT28_BT16_COMPRESSOR_DEFROST_SERIES_REQUIRED,"A 20 s grouped max query proves history exists but cannot substitute for source rows."
B05-P41-R04,MYUPLINK_CSV_EXPORT_CAPABILITY_AS_ACQUIRED_FOUR_SIGNAL_DATA,FORBIDDEN,OBS,NIBE_S2125-8,SRC-B05-P41-WPNUTZER-S2125-MYUPLINK-CSV-2024,TIMESTAMPED_CSV_EXPORT_ROUTE_ONLY,S2125_MULTI_TIMESTAMP_BT28_BT16_COMPRESSOR_DEFROST_SERIES_REQUIRED,"Owner uses CSV export, but actual file and complete four-signal coverage are not public."
B05-P41-R05,READONLY_VIEWER_OFFER_AS_PUBLIC_DATA,FORBIDDEN,OBS,NIBE_S2125-12,SRC-B05-P41-OEM-S2125-READONLY-VIEWER-OFFER-2025,NONPUBLIC_ACCESS_ROUTE_ONLY,S2125_MULTI_TIMESTAMP_BT28_BT16_COMPRESSOR_DEFROST_SERIES_REQUIRED,"No viewer link or credential is public; P41 does not request or attempt non-public access."
B05-P41-R06,S2125_MULTI_TIMESTAMP_BT28_BT16_COMPRESSOR_DEFROST_SERIES_REQUIRED,OPEN,Q,NIBE_S2125,"SRC-B05-P40-SVENPAUSH-S2125-REST-SNAPSHOT-FCE467-2026;SRC-B05-P41-SVENPAUSH-S2125-INFLUX-HISTORY-2025;SRC-B05-S2125-HA-INFLUX-DIRECT-STATE-FIELD-2023;SRC-B05-S2125-HA-BT16-DEFROST-FIELD-2025;SRC-B05-P41-HANS1966-S2125-INFLUX-HISTORY-2023;SRC-B05-P41-LASSECB-S2125-HA-DEFROST-HISTORY-2025;SRC-B05-P41-SCHINGELDI-S2125-RAW-MULTITIMESTAMP-2024",OWNER_LOCAL_HISTORY_SURFACES_IDENTIFIED,S2125_MULTI_TIMESTAMP_BT28_BT16_COMPRESSOR_DEFROST_SERIES_REQUIRED,"Physical requirement is unchanged: acquire one exact raw multi-timestamp four-signal series with timing/scaling semantics."
B05-P41-R07,Q-B05-003,OPEN_NARROWED_TO_COMPLETE_RAW_EVENT_PACKAGE_MULTI_TIMESTAMP_BT16_SERIES_AND_CROSS_PRODUCT,Q,GENERIC,"SRC-B05-P41-SVENPAUSH-S2125-INFLUX-HISTORY-2025;SRC-B05-P41-WPNUTZER-S2125-MYUPLINK-CSV-2024;SRC-B05-P41-HANS1966-S2125-INFLUX-HISTORY-2023;SRC-B05-P41-LASSECB-S2125-HA-DEFROST-HISTORY-2025;SRC-B05-P41-SCHINGELDI-S2125-RAW-MULTITIMESTAMP-2024",PUBLICATION_BOUNDARY_NARROWED,S2125_COMPLETE_RAW_DIRECT_EVENT_PACKAGE_REQUIRED;S2125_MULTI_TIMESTAMP_BT28_BT16_COMPRESSOR_DEFROST_SERIES_REQUIRED;CROSS_PRODUCT_DEFROST_RUNTIME_COVERAGE_REQUIRED,"No numeric weather-to-BT16 model, defrost-frequency curve or event kWh is admitted."
B05-P41-R08,DEFROST_READINESS,PARTIAL_20,DER,GENERIC,SRC-B05-P41-SVENPAUSH-S2125-INFLUX-HISTORY-2025,OWNER_LOCAL_HISTORY_PROVEN_PUBLIC_RAW_ROWS_MISSING,S2125_COMPLETE_RAW_DIRECT_EVENT_PACKAGE_REQUIRED;S2125_MULTI_TIMESTAMP_BT28_BT16_COMPRESSOR_DEFROST_SERIES_REQUIRED;CROSS_PRODUCT_DEFROST_RUNTIME_COVERAGE_REQUIRED,"DEFROST remains 20%; B05 remains 64%."
B05-P41-R09,PUBLIC_RAW_S2125_MULTITIMESTAMP_ROWS_ACQUIRED_NON_TARGET_CHANNEL_SET,RESOLVED_BOUNDED,OBS,NIBE_S2125-8,SRC-B05-P41-SCHINGELDI-S2125-RAW-MULTITIMESTAMP-2024,SOURCE_NATIVE_TIMESTAMPED_BT12_BT25_BF1_ROWS_PUBLIC,S2125_MULTI_TIMESTAMP_BT28_BT16_COMPRESSOR_DEFROST_SERIES_REQUIRED,"Exact public S2125-8 export rows are acquired with UTC-offset timestamps and non-target BT12/BT25/BF1 channels. Raw S2125 history existence is no longer merely owner-local, but the required target four-signal series remains absent from the published sample."
B05-P41-R10,OWNER_SIDE_COMPLETE_FOUR_SIGNAL_HISTORY_EXISTS,RESOLVED_BOUNDED,OBS,NIBE_S2125-12,"SRC-B05-S2125-HA-MULTISIGNAL-HISTORYGRAPH-2024;SRC-B05-S2125-HA-BT16-DEFROST-FIELD-2025",HAVISOFT_SAME_SYSTEM_BT28_BT16_COMPRESSOR_DIRECT_DEFROST_HISTORY_PROVEN,S2125_MULTI_TIMESTAMP_BT28_BT16_COMPRESSOR_DEFROST_SERIES_REQUIRED,"One exact S2125-12 + VVM S320 Home Assistant environment is now proven to contain all four target histories owner-side. This does not substitute for acquisition of source-native public rows."
