item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P80-U01,KEOP23_TABLE_8_3_BASELINE_UVALUE_MATRIX,MATERIALIZED,23,23,types,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,ARCHETYPE_BASELINE_CALIBRATION,CURRENT_2026_STOCK_OBSERVATION;HOUSEHOLD_POINT_U_VALUE,CURRENT_NO_ACTION_BASELINE_U_SURFACE_REQUIRED,"Table 8.3 source-native U-value statistics are materialized for all 23 types. N/A and source zeros are preserved raw; nonpositive values are not admitted as physical U inputs."
B02-P80-U02,P79_CANDIDATE_SET_BASELINE_UVALUE_ENVELOPE,QUALIFIED_SET_VALUED_CALIBRATION,,,W/m2K,DER,B02-P79/B02-P80,BASELINE_ARCHETYPE_CALIBRATION,HOUSEHOLD_CONFIDENCE_INTERVAL;CURRENT_POST_STATE_POINT,WITHIN_TYPE_UVALUE_DISTRIBUTION_REQUIRED_IF_TIGHTENING_NEEDED,"Candidate-type min/max envelopes are available by WBL construction period x P21 building group. They are model-set calibration envelopes."
B02-P80-U03,REFERENCE_RETROFIT_EXTERNAL_WALL_U_MAX,QUALIFIED_SOURCE_NATIVE_REFERENCE_RETROFIT_UPPER_BOUND,,0.24,W/m2K,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,REFERENCE_ENVELOPE_RETROFIT_POST_STATE,REALIZED_POINT_U_VALUE;CURRENT_LEGAL_REQUIREMENT,NATIONAL_ENVELOPE_ACTION_ASSIGNMENT_REQUIRED,"Table 9.1 source-native reference-retrofit requirement used by the dissertation model."
B02-P80-U04,REFERENCE_RETROFIT_FLAT_ROOF_U_MAX,QUALIFIED_SOURCE_NATIVE_REFERENCE_RETROFIT_UPPER_BOUND,,0.17,W/m2K,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,REFERENCE_ENVELOPE_RETROFIT_POST_STATE,REALIZED_POINT_U_VALUE;CURRENT_LEGAL_REQUIREMENT,NATIONAL_ENVELOPE_ACTION_ASSIGNMENT_REQUIRED,"Table 9.1 source-native reference-retrofit requirement."
B02-P80-U05,REFERENCE_RETROFIT_ATTIC_FLOOR_U_MAX,QUALIFIED_SOURCE_NATIVE_REFERENCE_RETROFIT_UPPER_BOUND,,0.17,W/m2K,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,REFERENCE_ENVELOPE_RETROFIT_POST_STATE,REALIZED_POINT_U_VALUE;CURRENT_LEGAL_REQUIREMENT,NATIONAL_ENVELOPE_ACTION_ASSIGNMENT_REQUIRED,"Table 9.1 source-native reference-retrofit requirement."
B02-P80-U06,REFERENCE_RETROFIT_BASEMENT_CEILING_U_MAX,QUALIFIED_SOURCE_NATIVE_REFERENCE_RETROFIT_UPPER_BOUND,,0.26,W/m2K,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,REFERENCE_ENVELOPE_RETROFIT_POST_STATE,REALIZED_POINT_U_VALUE;CURRENT_LEGAL_REQUIREMENT,NATIONAL_ENVELOPE_ACTION_ASSIGNMENT_REQUIRED,"Table 9.1 source-native reference-retrofit requirement."
B02-P80-U07,REFERENCE_RETROFIT_WINDOW_U_MAX,QUALIFIED_SOURCE_NATIVE_REFERENCE_RETROFIT_UPPER_BOUND,,1.15,W/m2K,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,REFERENCE_ENVELOPE_RETROFIT_POST_STATE,REALIZED_POINT_U_VALUE;CURRENT_LEGAL_REQUIREMENT,NATIONAL_ENVELOPE_ACTION_ASSIGNMENT_REQUIRED,"Table 9.1 source-native reference-retrofit requirement for timber/PVC frame windows."
B02-P80-U08,REFERENCE_RETROFIT_PITCHED_ROOF_U,Q,,,W/m2K,Q,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,NONE,GENERIC_ROOF_VALUE_AS_EXPLICIT_TABLE_ROW,TABLE_9_1_HAS_NO_EXPLICIT_PITCHED_ROOF_ROW,"The extracted Table 9.1 has explicit rows for external wall, flat roof, attic floor, basement ceiling and window. P80 does not silently map the pitched-roof component."
B02-P80-U09,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP_POST_STATE,ACTION_CONDITIONED_PARTIAL_MAPPING,,,component U upper bounds,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022;B02-P80,POST_STATE_MODEL_CONSTRUCTION,NATIONAL_ACTION_FREQUENCY,"NATIONAL_ENVELOPE_ACTION_ASSIGNMENT_REQUIRED;TABLE_9_1_HAS_NO_EXPLICIT_PITCHED_ROOF_ROW;COMPONENT_AREA_GEOMETRY_SURFACE_REQUIRED","Section 9.2.4.2 explicitly defines an air-to-water heat-pump case combined with the cost-optimal reference envelope retrofit. P80 binds only the explicit component U constraints."
B02-P80-U10,AIR_TO_WATER_HP_ONLY_ENVELOPE_STATE,PRESERVES_ENVELOPE_BUT_CURRENT_BASELINE_Q,,,component U,Q,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022;B02-P80,TRANSITION_SEMANTICS,HISTORICAL_TABLE_8_3_AS_2026_CURRENT_STATE,CURRENT_NO_ACTION_BASELINE_U_SURFACE_REQUIRED,"The source explicitly models HP-only with unchanged envelope. National 2026 current U-values are not identified by the historical baseline matrix."
