wbl_period_code,building_group,candidate_type_ids,candidate_count,heated_floor_area_per_dwelling_min_m2,heated_floor_area_per_dwelling_max_m2,status,evidence_status,authority,forbidden_use,notes
Y_LT1919,FAMILY_HOUSE,1;2;3,3,69.9,107.6,SET_IDENTIFIED,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,POINT_TYPE_ASSIGNMENT,"Period overlap only; wall technology is not used until an exact KSH wall-code crosswalk is admitted."
Y1919-1945,FAMILY_HOUSE,1;2;3;4,4,69.9,107.6,SET_IDENTIFIED,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,POINT_TYPE_ASSIGNMENT,"WBL includes 1945, so type 4 remains possible."
Y1946-1960,FAMILY_HOUSE,4;5;6,3,84.5,150.1,SET_IDENTIFIED,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,POINT_TYPE_ASSIGNMENT,"WBL includes 1960, crossing the 1959/1960 typology boundary."
Y1961-1980,FAMILY_HOUSE,5;6;7;8,4,84.5,180.5,SET_IDENTIFIED,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,POINT_TYPE_ASSIGNMENT,"WBL includes 1980, crossing the 1979/1980 typology boundary."
Y1981-2000,FAMILY_HOUSE,7;8;9;10,4,96.4,200.1,SET_IDENTIFIED,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,POINT_TYPE_ASSIGNMENT,"WBL spans two source typology periods."
Y2001-2010,FAMILY_HOUSE,9;10;11;12,4,99.2,233.8,SET_IDENTIFIED,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,POINT_TYPE_ASSIGNMENT,"WBL spans 2001-2005 and 2006+ source types."
Y_GE2011,FAMILY_HOUSE,11;12,2,108.2,233.8,SET_IDENTIFIED,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,POINT_TYPE_ASSIGNMENT,"Small/large split remains latent because WBL dwelling area is not source building useful area."
Y_LT1919,MULTI_DWELLING,13;17,2,71.9333333333,87.35,SET_IDENTIFIED,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,POINT_TYPE_ASSIGNMENT,"Small versus large multifamily is not identified by P21."
Y1919-1945,MULTI_DWELLING,13;14;17;18;19,5,54.8388888889,87.35,SET_IDENTIFIED,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,POINT_TYPE_ASSIGNMENT,"WBL includes 1945; 1945-start small/large/industrial types remain possible."
Y1946-1960,MULTI_DWELLING,14;18;19;20,4,54.8388888889,77.7333333333,SET_IDENTIFIED,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,POINT_TYPE_ASSIGNMENT,"1960 introduces panel type 20."
Y1961-1980,MULTI_DWELLING,14;18;19;20;21,5,54.8388888889,77.7333333333,SET_IDENTIFIED,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,POINT_TYPE_ASSIGNMENT,"1980 introduces panel type 21."
Y1981-2000,MULTI_DWELLING,14;15;18;21;22,5,55.4064516129,77.7333333333,SET_IDENTIFIED,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,POINT_TYPE_ASSIGNMENT,"WBL spans 1981-1989 and 1990-2000."
Y2001-2010,MULTI_DWELLING,15;16;22;23,4,60.4714285714,87.1833333333,SET_IDENTIFIED,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,POINT_TYPE_ASSIGNMENT,"WBL spans 2001-2005 and 2006+."
Y_GE2011,MULTI_DWELLING,16;23,2,60.4714285714,87.1833333333,SET_IDENTIFIED,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,POINT_TYPE_ASSIGNMENT,"Small versus large multifamily remains latent."
