variable_id,module_id,layer,name,definition,unit,status,source_ids,notes
VAR-B08-TIMESTAMP,B08,GRID_BOUNDARY_CONTRACT,Időbélyeg,Explicit interval timestamp,datetime,SCN,SRC-B08-SCN-GRID-FIXTURE,Required for deterministic aggregation.
VAR-B08-TIMESTEP-HOURS,B08,GRID_BOUNDARY_CONTRACT,Lépésidő,Explicit interval duration,h,SCN,SRC-B08-SCN-GRID-FIXTURE,No implicit hourly assumption.
VAR-B08-SOURCE-ENTITY,B08,GRID_BOUNDARY_CONTRACT,Forrás entitás,Stable household or source entity key,text,SCN,SRC-B08-SCN-GRID-FIXTURE,Part of duplicate key.
VAR-B08-REGION-ID,B08,GRID_BOUNDARY_CONTRACT,Régió azonosító,Explicit region identifier,text,SCN,SRC-B08-SCN-GRID-FIXTURE,County-like fixture region only.
VAR-B08-REGION-SCHEME,B08,GRID_BOUNDARY_CONTRACT,Régiós séma,Explicit geography scheme label,text,SCN,SRC-B08-SCN-GRID-FIXTURE,Mixed schemes fail closed; not a DSO claim.
VAR-B08-B01-STATE,B08,STATE_TRACE,B01 állapot,Carried canonical B01 state ID,text,SCN,SRC-B08-SCN-GRID-FIXTURE,No synthetic state-count load.
VAR-B08-TRUTH-CONTEXT,B08,PROVENANCE,Truth context,REAL or SCN record context,text,SCN,SRC-B08-SCN-GRID-FIXTURE,Nested context is never promoted.
VAR-B08-EVIDENCE-STATUS,B08,PROVENANCE,Evidence status,Status carried and aggregated,enum,SCN,SRC-B08-SCN-GRID-FIXTURE,Mixed or Q evidence propagates Q.
VAR-B08-GROSS-IMPORT-KW,B08,GRID_BOUNDARY_CONTRACT,Bruttó import,Explicit AC/grid-side import power,kW,SCN,SRC-B08-SCN-GRID-FIXTURE,Non-negative physical input.
VAR-B08-GROSS-EXPORT-KW,B08,GRID_BOUNDARY_CONTRACT,Bruttó export,Explicit AC/grid-side export power,kW,SCN,SRC-B08-SCN-GRID-FIXTURE,Legal permission remains outside B08.
VAR-B08-NET-LOAD-KW,B08,HOURLY_AGGREGATION,Nettó hálózati terhelés,Import minus export,kW,DER,SRC-B08-SCN-GRID-FIXTURE,Negative net load is valid.
VAR-B08-UP-FLEX-KW,B08,PHYSICAL_FLEX_AGGREGATION,Fizikai felfelé rugalmasság,Explicit physical upward flex,kW,SCN,SRC-B08-SCN-GRID-FIXTURE,Capability does not change load.
VAR-B08-DOWN-FLEX-KW,B08,PHYSICAL_FLEX_AGGREGATION,Fizikai lefelé rugalmasság,Explicit physical downward flex,kW,SCN,SRC-B08-SCN-GRID-FIXTURE,No dispatch or VPP decision.
VAR-B08-BATTERY-CHARGE-KW,B08,B07_HANDOFF,Battery töltési teljesítmény,Lossless B07 diagnostic ledger,kW,SCN,SRC-B08-SCN-GRID-FIXTURE,Diagnostic only; not an independent battery authority.
VAR-B08-BATTERY-DISCHARGE-KW,B08,B07_HANDOFF,Battery kisütési teljesítmény,Lossless B07 diagnostic ledger,kW,SCN,SRC-B08-SCN-GRID-FIXTURE,Diagnostic only; not an independent battery authority.
VAR-B08-SOC-FRACTION,B08,B07_HANDOFF,SOC hányad,Lossless B07 SOC trace,fraction,SCN,SRC-B08-SCN-GRID-FIXTURE,Never summed as energy or power.
VAR-B08-HANDOFF-STATUS,B08,PROVENANCE,B07 handoff státusz,Upstream B07 status retained,text,SCN,SRC-B08-SCN-GRID-FIXTURE,Caller cannot replace upstream truth status.
VAR-B08-IMPORT-KWH,B08,ENERGY_INTEGRATION,Import energia,Import power times timestep,kWh,DER,SRC-B08-SCN-GRID-FIXTURE,Explicit timestep conversion.
VAR-B08-EXPORT-KWH,B08,ENERGY_INTEGRATION,Export energia,Export power times timestep,kWh,DER,SRC-B08-SCN-GRID-FIXTURE,Explicit timestep conversion.
VAR-B08-NET-KWH,B08,ENERGY_INTEGRATION,Nettó energia,Nettó power times timestep,kWh,DER,SRC-B08-SCN-GRID-FIXTURE,No hidden annualization.
VAR-B08-PEAK-IMPORT-KW,B08,PEAK_EXTRACTION,Bruttó import csúcs,Deterministic maximum gross import,kW,DER,SRC-B08-SCN-GRID-FIXTURE,Tied timestamps retained.
VAR-B08-PEAK-EXPORT-KW,B08,PEAK_EXTRACTION,Bruttó export csúcs,Deterministic maximum gross export,kW,DER,SRC-B08-SCN-GRID-FIXTURE,Tied timestamps retained.
VAR-B08-PEAK-NET-KW,B08,PEAK_EXTRACTION,Nettó terhelési csúcs,Deterministic maximum net load,kW,DER,SRC-B08-SCN-GRID-FIXTURE,Tied timestamps retained.
VAR-B08-OBSERVED-SERIES-ID,B08,OBSERVED_LOAD_EVIDENCE,Forrás natív sorozatazonosító,Stable source series identifier for an observed load panel,text,Q,SRC-B08-ENTSOE-ACTUAL-TOTAL-LOAD-2026,Required for duplicate detection and revision lineage.
VAR-B08-OBSERVED-TIMESTAMP-UTC,B08,OBSERVED_TIME_CONTRACT,Normalizált intervallumkezdet,Timezone-aware interval start normalized to UTC,datetime,Q,SRC-B08-ENTSOE-ACTUAL-TOTAL-LOAD-2026;SRC-B08-ENTSOE-REST-API-IG-2024,Source offset is preserved in provenance; no naive timestamps.
VAR-B08-OBSERVED-INTERVAL-END-UTC,B08,OBSERVED_TIME_CONTRACT,Normalizált intervallumvége,Timezone-aware interval end normalized to UTC,datetime,Q,SRC-B08-ENTSOE-ACTUAL-TOTAL-LOAD-2026;SRC-B08-ENTSOE-REST-API-IG-2024,Interval end equals start plus explicit source resolution.
VAR-B08-OBSERVED-RESOLUTION,B08,OBSERVED_TIME_CONTRACT,Forrás natív felbontás,ENTSO-E source-native market time unit resolution,enum,Q,SRC-B08-ENTSOE-DDD-2023;SRC-B08-ENTSOE-REST-API-IG-2024,Only PT15M/PT30M/PT60M accepted; no implicit hourly conversion.
VAR-B08-OBSERVED-LOAD-MW,B08,OBSERVED_LOAD_EVIDENCE,Observed total load power,Source-native actual total load power,MW,Q,SRC-B08-ENTSOE-ACTUAL-TOTAL-LOAD-2026;SRC-B08-ENTSOE-DDD-2023,OBS only for A65/A16/A04 source rows; missing remains Q.
VAR-B08-OBSERVED-TIMESTEP-HOURS,B08,OBSERVED_TIME_CONTRACT,Observed interval duration,Explicit source-native interval duration,h,Q,SRC-B08-ENTSOE-DDD-2023;SRC-B08-ENTSOE-REST-API-IG-2024,Derived from accepted resolution and never assumed to be one hour.
VAR-B08-OBSERVED-ENERGY-MWH,B08,OBSERVED_TIME_CONTRACT,Derived interval energy,Observed-load power multiplied by explicit interval duration,MWh,DER,SRC-B08-ENTSOE-ACTUAL-TOTAL-LOAD-2026;SRC-B08-ENTSOE-DDD-2023,Explicit DER transformation only; no silent resampling.
VAR-B08-OBSERVED-REGION-GRAIN,B08,OBSERVED_SPATIAL_GRAIN,Observed spatial grain,Source-native Hungarian control-area/bidding-zone grain,enum,Q,SRC-B08-ENTSOE-ACTUAL-TOTAL-LOAD-2026;SRC-B08-ENTSOE-MARKET-AREAS-2024,No county or DSO relabelling; Q-B01-002 remains open.
VAR-B08-OBSERVED-PROVENANCE,B08,OBSERVED_LOAD_EVIDENCE,Acquisition provenance,Publisher URL retrieval revision licence and checksum metadata,text,Q,SRC-B08-ENTSOE-ACTUAL-TOTAL-LOAD-2026;SRC-B08-ENTSOE-REUSE-LIST-2019,Raw external only until primary-owner reuse status and an acquired response checksum are recorded.
