record_id,claim,status,evidence_status,product_scope,source_ids,resolved_scope,residual_gap,notes
B05-P35-R01,HEATPUMPMONITOR_DEFROST_AND_LOSS_DISPLAY,RESOLVED_NEGATIVE_HEAT_PROXY,DER,HPM_PUBLIC_DASHBOARD,SRC-B05-HEATPUMPMONITOR-CODE-A68FDC-2026,NEGATIVE_HEATPUMP_HEAT_NOT_COOLING_ACCUMULATED_AS_DEFROST_AND_LOSS,DIRECT_NIBE_DEFROST_STATE_REQUIRED,"Exact source-code semantics; proxy may include defrost but is not direct controller event identity."
B05-P35-R02,HEATPUMPMONITOR_NEGATIVE_HEAT_AS_DIRECT_DEFROST_IDENTITY,FORBIDDEN,DER,GENERIC,SRC-B05-HEATPUMPMONITOR-CODE-A68FDC-2026,,SILKEBORG_S2125_OWNER_RAW_DIRECT_STATE_EXPORT_REQUIRED,"EVENT_SHAPE/NEGATIVE_HEAT_PROXY != DIRECT_NIBE_DEFROST_STATE."
B05-P35-R03,HEATPUMPMONITOR_PUBLIC_TIMESERIES_CUSTOM_STATE_EXPOSURE,NOT_PROVEN,Q,HPM_252,SRC-B05-HEATPUMPMONITOR-CODE-A68FDC-2026;SRC-B05-HEATPUMPMONITOR-API-2026,CONFIGURED_APP_FEEDS_ONLY,SILKEBORG_S2125_OWNER_RAW_DIRECT_STATE_EXPORT_REQUIRED,"Public available/data endpoints operate on the configured MyHeatpump app feed map; no public direct-defrost feed for system 252 is admitted."
B05-P35-R04,SILKEBORG_S2125_DIRECT_STATE_FIELD_LOG,QUALIFIED_FIELD_CONTEXT,OBS,HPM_252,SRC-B05-OEM-S2125-SILKEBORG-DEFROST-2026,OWNER_HOME_ASSISTANT_DEFROSTING_MODE_AND_LAST_DEFROST,SILKEBORG_S2125_OWNER_RAW_DIRECT_STATE_EXPORT_REQUIRED,"Direct-state logging exists in owner field context but raw timestamped export is missing."
B05-P35-R05,SILKEBORG_S2125_MODBUS_TCP_ACQUISITION_PATH,QUALIFIED_FIELD_CONTEXT,OBS,HPM_252,SRC-B05-OEM-S2125-MODBUS-TCP-FIELD-2024,NIBE_INTERNAL_SENSORS_VIA_MODBUS_TCP_TO_EMONCMS,SILKEBORG_S2125_OWNER_RAW_DIRECT_STATE_EXPORT_REQUIRED,"Technical acquisition path exists; exact Defrost register-to-feed binding is not published."
B05-P35-R06,JKJAER_PUBLIC_EMONHUB_SITE_CONFIG,NOT_AVAILABLE_PUBLICLY,Q,HPM_252,SRC-B05-JKJAER-EMONHUB-FORK-5B231D-2024,,SILKEBORG_S2125_OWNER_RAW_DIRECT_STATE_EXPORT_REQUIRED,"Current public fork exposes no owner-specific commit/config from which the site register binding can be reconstructed. This is not a claim about private/local configuration."
B05-P35-R07,HPM252_REMOTE_API_PROBE,BLOCKED_REMOTE_403,OBS,HPM_252,SRC-B05-P35-HPM252-REMOTE-PROBE-2026,ACCESS_PATH_RESULT,SILKEBORG_S2125_COTIMED_ELECTRIC_THERMAL_EXPORT_REQUIRED,"HTTP 403 before metadata retrieval is not interpreted as data/feed absence."
B05-P35-R08,NIBE_S2125_COTIMED_DEFROST_STATE_HEAT_ELECTRIC_SERIES_REQUIRED,OPEN_NARROWED_TO_OWNER_DIRECT_STATE_EXPORT_AND_COTIMED_METER_JOIN,Q,HPM_252,SRC-B05-HEATPUMPMONITOR-CODE-A68FDC-2026;SRC-B05-OEM-S2125-SILKEBORG-DEFROST-2026;SRC-B05-OEM-S2125-MODBUS-TCP-FIELD-2024;SRC-B05-HEATPUMPMONITOR-S2125-SILKEBORG-252-2026,,SILKEBORG_S2125_OWNER_RAW_DIRECT_STATE_EXPORT_REQUIRED;SILKEBORG_S2125_COTIMED_ELECTRIC_THERMAL_EXPORT_REQUIRED,"P35 separates the missing direct-state artifact from the meter-series artifact and forbids proxy substitution."
B05-P35-R09,SILKEBORG_S2125_OWNER_RAW_DIRECT_STATE_EXPORT_REQUIRED,OPEN,Q,HPM_252,SRC-B05-OEM-S2125-SILKEBORG-DEFROST-2026;SRC-B05-OEM-S2125-MODBUS-TCP-FIELD-2024;SRC-B05-JKJAER-EMONHUB-FORK-5B231D-2024,,SILKEBORG_S2125_OWNER_RAW_DIRECT_STATE_EXPORT_REQUIRED,"Required artifact: raw timestamped direct controller Defrost state for the exact Silkeborg system with source/register/feed identity."
B05-P35-R10,SILKEBORG_S2125_COTIMED_ELECTRIC_THERMAL_EXPORT_REQUIRED,OPEN,Q,HPM_252,SRC-B05-HEATPUMPMONITOR-S2125-SILKEBORG-252-2026;SRC-B05-HEATPUMPMONITOR-API-2026;SRC-B05-P35-HPM252-REMOTE-PROBE-2026,,SILKEBORG_S2125_COTIMED_ELECTRIC_THERMAL_EXPORT_REQUIRED,"Required artifact: raw electrical and thermal series on a common timebase and explicit meter boundaries for the same direct-state event window."
