item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,role,forbidden_use,residual_gap,notes
B02-P109-U01,KEHOP_417_COMPLETION_MEASURE_CATEGORY,QUALIFIED_ADMIN_FIELD,,,field,POL,SRC-B06-HU-KEHOP-417-COMPLETION-2025,COMPLETED_PROJECT_ACTION_CLASSIFICATION,PUBLIC_COMPLETED_PROJECT_COUNT,MFB_KEHOP_COMPLETION_INDICATOR_1103_EXTRACT_REQUIRED,"4.1.7 requires project-level physical-completion reporting of the MEKH measure category."
B02-P109-U02,KEHOP_418_COMPLETION_MEASURE_CATEGORY,QUALIFIED_ADMIN_FIELD,,,field,POL,SRC-B02-HU-KEHOP-418-COMPLETION-INDICATORS-2025,COMPLETED_PROJECT_ACTION_CLASSIFICATION,PUBLIC_COMPLETED_PROJECT_COUNT,MFB_KEHOP_COMPLETION_INDICATOR_1103_EXTRACT_REQUIRED,"4.1.8 uses the same completion-indicator field in Budapest."
B02-P109-U03,MEKH_WINDOW_CATEGORY_1103,QUALIFIED_EXACT_TAXONOMY,1103,1103,measure_code,POL,SRC-B06-HU-EKR-18-2025,WINDOW_ACTION_COHORT_KEY,REGISTERED_HEM_FROM_CATEGORY,KEHOP_EKR1103_OVERLAP_OR_HEM_ATTRIBUTION_REQUIRED,"Current taxonomy binds 1103 to building-structure renovation / window replacement."
B02-P109-U04,KEHOP_417_418_NATIONAL_GEOGRAPHY,QUALIFIED_PROGRAMME_FAMILY_SCOPE,,,scope,POL,SRC-B02-HU-KEHOP-417-418-SCOPE-2026,NATIONAL_KEHOP_COHORT_SCOPE,ALL_HUNGARIAN_REPLACED_WINDOWS,,4.1.7 outside Budapest plus 4.1.8 Budapest removes programme-family geography gap only.
B02-P109-U05,KEHOP_COMPLETED_WINDOW_PROJECT_TECHNICAL_COHORT_REQUIRED,SUPERSEDED_BY_EXACT_ADMIN_EXTRACT_AND_JOIN,,,state,POL/DER,B02-P108;B02-P109,EVIDENCE_ACQUISITION_CONTRACT,CLAIM_GENERIC_COHORT_STILL_UNDEFINED,MFB_KEHOP_COMPLETION_INDICATOR_1103_EXTRACT_REQUIRED;KEHOP_1103_FINAL_TECHNICAL_DOCUMENT_JOIN_REQUIRED,"P109 proves the cohort key already exists administratively; remaining work is extract access plus technical document join."
B02-P109-U06,MFB_KEHOP_COMPLETION_INDICATOR_1103_EXTRACT,NOT_PUBLICLY_IDENTIFIED,,,state,Q,B02-P109,COHORT_ENUMERATION,COUNT_FROM_PROGRAMME_TOTALS,MFB_KEHOP_COMPLETION_INDICATOR_1103_EXTRACT_REQUIRED,"Need complete enumeration for declared programme/time scope; convenience samples are rejected."
B02-P109-U07,KEHOP_1103_FINAL_TECHNICAL_DOCUMENT_JOIN,QUALIFIED_SCHEMA_NOT_MATERIALIZED,,,state,Q,B02-P108;B02-P109,COMPONENT_PERFORMANCE_COHORT,UNLINKED_HET_OR_CATALOGUE_U,KEHOP_1103_FINAL_TECHNICAL_DOCUMENT_JOIN_REQUIRED,"Join 1103 project IDs to final HET/final calculation or invoice-linked installed-product DoP under P108 rules."
B02-P109-U08,KEHOP_HEM_OVERLAP,PROJECT_LEVEL_EXPLICIT_BINDING_REQUIRED,,,state,Q,SRC-B06-HU-KEHOP-417-COMPLETION-2025;B02-P109,EKR_DEDUPLICATION,MEASURE_CATEGORY_1103_AS_HEM_ID,KEHOP_EKR1103_OVERLAP_OR_HEM_ATTRIBUTION_REQUIRED,"HEM compensation requires a written HEM-generation agreement when used, but is optional. Category 1103 alone does not prove HEM creation/registration."
B02-P109-U09,RCO18,PROGRAMME_OUTPUT_ONLY,,,household,POL,SRC-B06-HU-KEHOP-417-COMPLETION-2025;SRC-B02-HU-KEHOP-418-COMPLETION-INDICATORS-2025,PROGRAMME_OUTPUT_CONTROL,WINDOW_1103_COHORT_SIZE,MFB_KEHOP_COMPLETION_INDICATOR_1103_EXTRACT_REQUIRED,"RCO18 counts better-energy-performance households, not component-specific window projects."
B02-P109-U10,NATIONAL_P102_BOUND_EFFECT,UNCHANGED_NO_1103_COMPLETION_EXTRACT,0.8278610299446981,0.9844857269628596,share,ASS,B02-P102;B02-P109,PROGRAMME_ACTION_CALIBRATION,NUMERIC_TIGHTENING_FROM_SCHEMA_ONLY,CURRENT_REPLACED_WINDOW_COMPLIANCE_POPULATION_SURFACE_REQUIRED,"No public completion-indicator extract is admitted; HP_ONLY remains [0,17.2138970055%]."
