record_id,claim,status,evidence_status,product_scope,source_ids,resolved_scope,residual_gap,notes
B05-P36-R01,SILKEBORG_S2125_PUBLIC_EMONCMS_APP_ROUTE,RESOLVED_PUBLIC_READ_ROUTE,OBS,HPM_252,SRC-B05-OEM-S2125-PUBLIC-EMONCMS-APP-2024;SRC-B05-P36-SILKEBORG-EMONCMS-METER-PROBE-2026,NIBE_S2125_PUBLIC_READ_ONLY_APP_RECOVERED_WITHOUT_STORING_CREDENTIAL,,"Hosted readback is reproducible from the public owner post; repository stores no read credential."
B05-P36-R02,SILKEBORG_S2125_COTIMED_ELECTRIC_THERMAL_EXPORT_REQUIRED,RESOLVED_EXACT_PUBLIC_COTIMED_METER_EXPORT,OBS,HPM_252,SRC-B05-P36-SILKEBORG-EMONCMS-METER-PROBE-2026,"heatpump_elec=501345 W/10s; heatpump_heat=501342 W/10s; 8297 common non-null timestamps in audited 24h window",,"Exact raw response digests are pinned; raw third-party payloads are not committed."
B05-P36-R03,SILKEBORG_S2125_OWNER_RAW_DIRECT_STATE_EXPORT_REQUIRED,OPEN,Q,HPM_252,SRC-B05-OEM-S2125-SILKEBORG-DEFROST-2026;SRC-B05-OEM-S2125-MODBUS-TCP-FIELD-2024;SRC-B05-P36-SILKEBORG-EMONCMS-METER-PROBE-2026,,SILKEBORG_S2125_OWNER_RAW_DIRECT_STATE_EXPORT_REQUIRED,"Standard public app metadata exposes meter/state-of-circuit feeds but no directly bound NIBE Defrost=0/1/2 feed; owner field context proves direct logging exists but raw state series remains missing."
B05-P36-R04,SILKEBORG_S2125_INTERVAL_MEAN_OR_QUALIFIED_CUMULATIVE_DELTA_REQUIRED,RESOLVED_QUALIFIED_CUMULATIVE_DELTA_ROUTE,DER,HPM_252,SRC-B05-EMONCMS-PHPFINA-NOAVG-669ACA-2025;SRC-B05-EMONCMS-MYHEATPUMP-KWH-52FF3D-2026;SRC-B05-P36-SILKEBORG-KWH-SEMANTICS-PROBE-2026,MYHEATPUMP_CUMULATIVE_KWH_ROLE_PLUS_END_MINUS_START_CONTRACT_PLUS_EXACT_SIGNED_FIELD_BEHAVIOUR,,"Direct W integration remains forbidden; the cumulative-delta route is qualified in bounded exact-system scope."
B05-P36-R05,NIBE_S2125_COTIMED_DEFROST_STATE_HEAT_ELECTRIC_SERIES_REQUIRED,OPEN_NARROWED_TO_OWNER_RAW_DIRECT_STATE_EXPORT,Q,HPM_252,SRC-B05-P36-SILKEBORG-EMONCMS-METER-PROBE-2026;SRC-B05-EMONCMS-MYHEATPUMP-KWH-52FF3D-2026;SRC-B05-P36-SILKEBORG-KWH-SEMANTICS-PROBE-2026;SRC-B05-OEM-S2125-SILKEBORG-DEFROST-2026,COTIMED_METER_EXPORT_AND_CUMULATIVE_DELTA_ROUTE_RESOLVED,SILKEBORG_S2125_OWNER_RAW_DIRECT_STATE_EXPORT_REQUIRED,"Meter acquisition and bounded event-energy route are no longer source blockers; direct event identity/boundary remains."
B05-P36-R06,NEGATIVE_HEAT_COMMON_POINTS_AS_DIRECT_DEFROST_IDENTITY,FORBIDDEN,DER,HPM_252,SRC-B05-P36-SILKEBORG-EMONCMS-METER-PROBE-2026;SRC-B05-HEATPUMPMONITOR-CODE-A68FDC-2026,596_NEGATIVE_HEAT_COMMON_POINTS_OBSERVED,SILKEBORG_S2125_OWNER_RAW_DIRECT_STATE_EXPORT_REQUIRED,"Measured negative heat is useful event-shape evidence but is not NIBE Defrost=1/2 controller state."
B05-P36-R07,PHPFINA_NATIVE_10S_POWER_AS_INTERVAL_MEAN,NOT_PROVEN,Q,HPM_252,SRC-B05-EMONCMS-PHPFINA-NOAVG-669ACA-2025,FIXED_INTERVAL_NO_AVERAGING,,"Direct power integration remains unavailable, but P36 resolves a separate cumulative-delta route."
B05-P36-R08,PUBLIC_KWH_FEEDS_AS_QUALIFIED_EVENT_DELTA,RESOLVED_BOUNDED_CUMULATIVE_DELTA_ROUTE,DER,HPM_252,SRC-B05-EMONCMS-MYHEATPUMP-KWH-52FF3D-2026;SRC-B05-P36-SILKEBORG-KWH-SEMANTICS-PROBE-2026,"App defines cumulative electric/thermal kWh and end-minus-start calculation; exact field probe shows 68 four-feed timestamps, 42/42 negative thermal points with negative heat-kWh delta, zero reset-like >1 kWh steps in 67 audited deltas",SILKEBORG_S2125_OWNER_RAW_DIRECT_STATE_EXPORT_REQUIRED,"Event-specific boundary readings can only be selected after raw direct state supplies OFF->event->OFF timestamps."
B05-P36-R09,Q-B05-003,OPEN_NARROWED_TO_DIRECT_STATE_WEATHER_TO_BT16_AND_CROSS_PRODUCT,Q,GENERIC,SRC-B05-P36-SILKEBORG-EMONCMS-METER-PROBE-2026;SRC-B05-EMONCMS-MYHEATPUMP-KWH-52FF3D-2026;SRC-B05-P36-SILKEBORG-KWH-SEMANTICS-PROBE-2026,COTIMED_METER_EXPORT_AND_CUMULATIVE_DELTA_ROUTE_RESOLVED,SILKEBORG_S2125_OWNER_RAW_DIRECT_STATE_EXPORT_REQUIRED;WEATHER_TO_NIBE_BT16_OR_OBS_TIMESERIES_REQUIRED;CROSS_PRODUCT_DEFROST_RUNTIME_COVERAGE_REQUIRED,"No numeric event kWh is admitted because no direct raw defrost event boundary is available."
B05-P36-R10,DEFROST_READINESS,PARTIAL_20,DER,GENERIC,SRC-B05-P36-SILKEBORG-EMONCMS-METER-PROBE-2026;SRC-B05-EMONCMS-MYHEATPUMP-KWH-52FF3D-2026;SRC-B05-P36-SILKEBORG-KWH-SEMANTICS-PROBE-2026,COTIMED_METER_AND_CUMULATIVE_ENERGY_ROUTE_RESOLVED,SILKEBORG_S2125_OWNER_RAW_DIRECT_STATE_EXPORT_REQUIRED;WEATHER_TO_NIBE_BT16_OR_OBS_TIMESERIES_REQUIRED;CROSS_PRODUCT_DEFROST_RUNTIME_COVERAGE_REQUIRED,"DEFROST remains 20%; B05 remains 64%."
