item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P74-A01,EKR_211_SECONDARY_RECONSTRUCTION_ACTION_FAMILY,QUALIFIED_SCOPE_LIMITED_HUNGARIAN_TECHNICAL_AUTHORITY,,,action family,POL,SRC-B02-HU-EKR-211-SECONDARY-HEATING-2026,REUSE_PATH_TECHNICAL_ACTION_VALIDATION,NATIONAL_REUSE_SHARE;FAMILY_HOUSE_SCOPE_TRANSFER;AWHP_ENERGY_SAVING_TRANSFER,REUSE_FAMILY_HOUSE_OR_FULL_NATIONAL_SCOPE_ACTION_AUTHORITY_REQUIRED,"Current EKR 2.11 recognizes/mandates one-pipe conversion, individual emitter controls, hydraulic balancing, conditional cast-iron radiator replacement and other secondary-side measures inside its stated scope."
B02-P74-A02,EKR_211_HYDRAULIC_BALANCING,MANDATORY_WITHIN_SOURCE_SCOPE,,,technical requirement,POL,SRC-B02-HU-EKR-211-SECONDARY-HEATING-2026,HYDRONIC_REUSE_ACTION_VALIDATION,PROOF_OF_CURRENT_BALANCING_FOR_ANY_SPECIFIC_DWELLING,RECORD_LEVEL_HYDRAULIC_EVIDENCE,"The source requires a hydraulically balanced system or balancing during the measure; existing valves require review/verification."
B02-P74-A03,EKR_211_CAST_IRON_RADIATOR_REPLACEMENT,CONDITIONAL_MANDATORY,,,technical requirement,POL,SRC-B02-HU-EKR-211-SECONDARY-HEATING-2026,EMITTER_REPLACEMENT_ACTION_VALIDATION,NATIONAL_CAST_IRON_RADIATOR_PREVALENCE,ROOM_GRAIN_ACTION_DISTRIBUTION,"Large-water-volume sectional cast-iron radiators trigger replacement under the source condition; no population frequency follows."
B02-P74-A04,EKR_211_SOURCE_NATIVE_SAVING_RANGE,SOURCE_NATIVE_ONLY,0.04,0.14,share,POL,SRC-B02-HU-EKR-211-SECONDARY-HEATING-2026,EKR_ACCOUNTING_REFERENCE,AWHP_PROGRAMME_ENERGY_SAVING_OUTCOME;COP_RESPONSE,AWHP_PATH_RESPONSE_AUTHORITY_REQUIRED,"Source table contains 4/6/10% base cases and conditional +3% radiator-replacement/temperature-reduction and +1% heat-reflector effects, reaching 8/10/14% source-native accounting cases. These are not transferred to AWHP."
B02-P74-A05,EKR_211_MINIMUM_7C_REDUCTION_CONDITION,SOURCE_NATIVE_CONDITION,7,,degC,POL,SRC-B02-HU-EKR-211-SECONDARY-HEATING-2026,LOWER_TEMPERATURE_ACTION_VALIDATION,AWHP_DESIGN_FLOW_TEMPERATURE_DEFAULT;POPULATION_TEMPERATURE_DISTRIBUTION,RECORD_OR_ARCHETYPE_TRANSITION_DESIGN_AUTHORITY_REQUIRED,"The +3% EKR case requires replacement of all large-water-volume cast-iron radiators and at least 7 C supply-temperature reduction; this is a measure condition, not an AWHP setpoint."
B02-P74-A06,EKR_211_NEW_ENERGY_CARRIER_EXCLUSION,TRANSFER_PROHIBITED,,,boundary,POL,SRC-B02-HU-EKR-211-SECONDARY-HEATING-2026,NONE,AWHP_ENERGY_SAVING_PERCENT_TRANSFER,AWHP_PATH_RESPONSE_AUTHORITY_REQUIRED,"Current EKR 2.11 excludes application when a new energy carrier is introduced into heating. Therefore its saving percentages cannot be used as direct heat-pump programme response."
B02-P74-A07,KEHOP_NONREUSE_COMPLETE_EMITTER_PACKAGE_COST,QUALIFIED_OFFICIAL_UPPER_BOUND,0,3556000,Ft/készlet,POL,SRC-B02-HU-KEHOP-417-MAX-COST-2025,NONREUSE_PATH_PROGRAMME_COST_UPPER_BOUND,MARKET_TYPICAL;EXPECTED_REALIZED_COST;REUSE_PATH_COST_BOUND,NONREUSE_KEHOP_SCOPE_CROSSWALK_REQUIRED,"Existing P67 authority: new emitters, secondary heating circuit, HMV tank, controls, modern pipework, materials, installation and removal; 1,422,400 material + 2,133,600 labour = 3,556,000 HUF/set maximum."
B02-P74-A08,NONREUSE_PATH_CAPEX_UPPER_AUTHORITY,PARTIAL_RESOLVED_SCOPE_LIMITED,0,3556000,Ft/készlet,POL,B02-P67/B02-P74,PATH_SPECIFIC_UPPER_BOUND,NATIONAL_MULTIPLICATION_WITHOUT_SCOPE_CROSSWALK,NONREUSE_KEHOP_SCOPE_CROSSWALK_REQUIRED,"The generic nonreuse CAPEX-price-authority search is narrowed: a Hungarian official upper bound exists, but the KEHOP eligible project set is not automatically the entire national nonreuse population."
B02-P74-A09,REUSE_PATH_OUTCOME_AUTHORITY,PARTIAL_TECHNICAL_ONLY,,,contract,Q,B02-P74,TECHNICAL_ACTION_VALIDATION,CLAIM_OF_COMPLETE_REUSE_RESPONSE,"REUSE_PATH_CAPEX_BOUND_REQUIRED;REUSE_FAMILY_HOUSE_OR_FULL_NATIONAL_SCOPE_ACTION_AUTHORITY_REQUIRED;AWHP_PATH_RESPONSE_AUTHORITY_REQUIRED","EKR supplies a scope-limited Hungarian secondary-side action authority but not a complete AWHP response or national reuse cost envelope."
B02-P74-A10,Q-B02-004,OPEN_NARROWED,,,state,Q,B02-P74,LAYERED_SET_PROPAGATION,CLAIM_OF_COMPLETE_PATH_OUTCOME,"REUSE_PATH_CAPEX_BOUND_REQUIRED;REUSE_FAMILY_HOUSE_OR_FULL_NATIONAL_SCOPE_ACTION_AUTHORITY_REQUIRED;NONREUSE_KEHOP_SCOPE_CROSSWALK_REQUIRED;AWHP_PATH_RESPONSE_AUTHORITY_REQUIRED;NON_GAS_CONVECTOR_EMITTER_INTERVENTION_ASSIGNMENT;ROOM_GRAIN_ACTION_DISTRIBUTION;MARKET_REALIZED_COST_DISTRIBUTION_IF_CENTRAL_ESTIMATE_REQUIRED","P74 replaces generic REUSE/NONREUSE outcome searching with claim-specific residuals and explicitly prohibits EKR saving-percentage transfer to AWHP."
